"start","end","text"
"540","1700"," Chers étudiants, bonjour."
"2460","5160"," Aujourd'hui, on va voir le dernier cours"
"5160","6580"," de la neonatologie."
"7560","9720"," Elle va concerner les embryons phytopathiques. "
"12280","15680"," Les embryons phytopathiques, c'est un ensemble de"
"15680","18880"," pathologies qui est dans des malformations chez le"
"18880","20920"," foetus ou bien chez le nouveau-né après"
"20920","21600"," sa naissance."
"22500","23900"," Il est dû à des agressions de l "
"23900","26740","'embryon ou du foetus par des agents multiples,"
"27080","29900"," soit des bactéries, soit des virus, soit des"
"29900","32880"," parasites ou bien des substances toxiques comme l "
"32880","36580","'alcool ou comme le tabac."
"37360","40620"," Il y a aussi le rayonnement X qui"
"40620","43340"," peut agresser l'embryon et le foetus. "
"44440","47100"," La date de l'agression, est-ce qu "
"47100","48480","'il s'agit d'une période d'organisation"
"48480","52740"," ou bien développement fœtal, elle va déterminer les"
"52740","54540"," signes cliniques qu'on va voir chez le"
"54540","57020"," foetus ou bien chez le nouveau-né après"
"57020","57640"," sa naissance."
"58140","60900"," Des formes cliniques qui sont polymorphes parfois, donc"
"60900","65560"," on a plusieurs étiologies qui sont pareilles, d "
"65560","69180","'où l'intérêt de connaître les principales pathologies,"
"70500","75160"," les principales étiologies des embryons phytopathiques."
"75880","78300"," L'intérêt de la prévention, certains embryons phytopathiques"
"78300","82980"," peuvent être évités par la vaccination, l'aribiole"
"82980","88520"," ou bien par une surveillance, c'est-à "
"88520","91400","-dire la sérologie de la toxoplasmose. "
"91640","93300"," D'où l'intérêt de la surveillance des"
"93300","95180"," grossesses qui doivent être bien suivies."
"98670","101210"," Toxoplasmose T, c'est la toxoplasmose O, c "
"101210","105430","'est autre, syphilis ou bien intoxication, l'alcoolisme"
"105430","111670"," maternel peut donner des embryos phytopathiques, le tabagisme"
"111670","115610"," aussi, le tabagisme direct ou indirect, l'infection"
"115610","118490"," au virus de l'aribiole peut donner des"
"118490","119390"," embryos phytopathiques."
"120070","122910"," C, c'est le mygalovirus, H, l'herpès"
"122910","123530"," simplex. "
"125350","127850"," Au Maroc en 2021, malheureusement, nous continuons à"
"127850","130590"," avoir certaines malformations après la naissance."
"131650","134330"," Il faut vous dire que le diagnostic est"
"134330","136370"," après la naissance, ce n'est pas un"
"136370","139830"," diagnostic précoce, et d'où l'intérêt de"
"139830","143170"," faire un bon suivi des grossesses."
"144510","147890"," Sur le plan physiopathologique, c'est la date"
"147890","149670"," d'agression qui va déterminer s'il s "
"149670","151870","'agit d'une embryopathie ou bien d'une"
"151870","152590"," phytopathie. "
"154650","158350"," Entre le premier jour et le quinzième jour,"
"158750","164570"," il y a un disque embryonnaire, donc c "
"164570","166050","'est la loi de Thurien, soit on a"
"166050","167970"," mort ou bien pas d'anomalie."
"169250","171350"," Après 15 jours, il y a l'organogénèse,"
"171550","172550"," c'est la mise en place de divers"
"172550","174850"," organes, et s'il est venue l'agression"
"174850","178150"," par un agent extérieur, donc il y a"
"178150","180190"," un risque d'embryopathie, tout en sachant qu "
"180190","182970","'il y a certaines embryopathies en rapport avec"
"182970","186130"," certaines anomalies génétiques."
"186810","188930"," Pour notre cas, on va parler uniquement des"
"188930","193050"," embryophytopathies d'origine bactérienne virale ou parasitaire, ou"
"193050","195050"," bien en rapport avec une intoxication. "
"196330","198670"," Donc c'est plus fréquent de voir les"
"198670","201870"," malformations au cours de cette période, entre le"
"201870","203090"," G15 et 3 mois."
"203610","207670"," Après 3 mois, c'est la phétogénèse, c "
"207670","210650","'est une période de croissance, de différenciation du"
"210650","211110"," foetus."
"211550","214570"," Donc on va voir certaines anomalies de croissance"
"214570","217950"," de certains organes, donc on appelle ça des"
"217950","218590"," phytopathies. "
"220210","222510"," On va commencer par la toxoplasmose."
"223370","227490"," En France, 56% des femmes en âge"
"227490","229190"," de procréer ne sont pas immunisées."
"229450","231230"," Il y a un grand risque d'avoir"
"232750","234470"," une toxoplasmose congénitale. "
"235650","238910"," 265 toxoplasmose congénitale, pas en plus souvent, c "
"238910","239630","'est asymptomatique."
"239810","241310"," Au Maroc, on n'a pas de statistique."
"241790","243870"," L'infection à VIH augmente en risque de"
"243870","245250"," toxoplasmose congénitale. "
"245950","249870"," Ça c'est un rappel du cycle de"
"249870","252350"," la toxoplasmose, donc le chat c'est l "
"252350","253150","'hôte définitive."
"253850","259149"," Il y a soit le porc, soit les"
"259149","261750"," vaches, ou bien le coq qui peut être"
"261750","265790"," des intermédiaires de l'hôte principal."
"266190","267530"," Et puis donc il y a l'infection"
"267530","270930"," de la maman et le passage à travers"
"270930","272330"," le placenta. "
