"start","end","text"
"460","3460"," Bonjour chers étudiants, dans ce cours, nous allons"
"3460","7000"," traiter les particularités des fractures chez l'enfant."
"9970","12190"," D'abord, il faut connaître les différents types"
"12190","16690"," de fractures spécifiques à l'enfant, classifier les"
"16690","20990"," fractures d'économe épiphyselle, interpréter une radiographie du"
"20990","24790"," cône chez l'enfant, décrire les possibilités thérapeutiques"
"24790","28170"," propres à l'enfant et décrire les complications"
"28170","29830"," propres à l'enfant."
"29830","35010"," Dans la pathologie infantile, les membres représentent le"
"35010","38250"," premier motif de consultation aux urgences pédiatriques. "
"39350","42190"," Les garçons présentent plus de fractures que les"
"42190","44570"," filles, bien sûr parce que les garçons sont"
"44570","45330"," plus turbulents."
"46270","48130"," La fracture du poignet est la plus fréquente,"
"48610","51470"," elle représente 20 à 35% des fractures"
"51470","52450"," du membre chez l'enfant."
"53150","55670"," Parfois cette fracture peut être le mode de"
"55670","58630"," découvert d'une pathologie sous-jacente qui peut"
"58630","61870"," être soit une lésion biligne, parfois même une"
"61870","62510"," tumeur maligne. "
"63030","66510"," L'enfant est constitué de deux épiphyses de"
"66510","67050"," chaque côté."
"69650","72190"," Le cartilage de croissance sépare l'épiphyse de"
"72190","74950"," la métaphyse, il assure la croissance en longueur"
"74950","78870"," et le périostre, qui est épais, enveloppe la"
"78870","83350"," région métaphysodiaphysaire et permet la croissance en largeur."
"84170","86970"," L'épiphyse de l'enfant présente des propriétés"
"86970","89930"," propres à chaque segment et variable en fonction"
"89930","92530"," de l'âge, au contraire du squelette de"
"92530","93010"," l'adulte. "
"94150","97310"," Ainsi, l'épiphyse est en grande partie cartilagineuse,"
"98050","102130"," source de difficultés de diagnostic radiographique parce que"
"102130","104570"," tout ce qui est cartilagineux n'est pas"
"104570","107950"," visible sur la radiographie standard ou même sur"
"107950","108410"," le scanner."
"108410","111670"," D'autre part, l'épiphyse supporte le cartilage"
"111670","114470"," de croissance sur le plan mécanique et vasculaire."
"115570","118150"," La métaphyse est constituée d'un os spongieux,"
"118370","122250"," dense, peu corticalisé, enveloppé d'un périostre très"
"122250","122630"," solide. "
"123250","124930"," C'est le siège de fractures partielles qu "
"124930","127370","'on appelle fractures en mousse de beurre, d "
