"start","end","text"
"1029","5830"," Bonjour, aujourd'hui on va voir un chapitre"
"5830","10990"," intitulé Proctologie pédiatrique qui regroupe un ensemble de"
"10990","14930"," pathologies qui sont dans la plupart bénignes et"
"14930","17950"," qui peuvent nécessiter un traitement médical ou chirurgical"
"17950","22470"," et aussi certaines pathologies qui vont nous guider"
"22470","25390"," vers des pathologies plus générales."
"25710","28770"," C'est un chapitre qui est important et"
"28770","34190"," qui est plus souvent un motif de consultation"
"34190","35290"," pédiatrique."
"36850","38730"," Donc, comme on l'a dit tout à"
"38730","41090"," l'heure, ça regroupe un ensemble de pathologies"
"41090","44830"," dont le substratum anatomico-commun c'est qu "
"44830","47750","'il touche la région recto-anale de l "
"47750","47990","'enfant. "
"48750","50070"," Dans la plupart des cas c'est des"
"50070","52170"," pathologies bénignes qu'on va voir par la"
"52170","53910"," suite, c'est-à-dire bénignes, c'est "
"53910","56550","-à-dire que le traitement peut être juste"
"56550","60410"," médical, qui une fois traité peut disparaître."
"61210","65050"," Et le diagnostic il repose essentiellement sur l "
"65050","67890","'examen de la marge anale, sur l'examen"
"67890","70350"," de la région périnéale."
"70810","73210"," Et l'examen de la marge anale de"
"73210","76870"," la région périnéale est un temps essentiel dans"
"76870","79630"," l'examen de tout enfant car il peut"
"79630","88220"," déceler des pathologies qui ne sont pas le"
"88220","91420"," motif de consultation et qui font partie intégrante"
"91420","92740"," de l'examen de tout enfant. "
"94220","97900"," Chez le grand enfant il pourra verbaliser la"
"97900","101460"," pathologie, il pourra verbaliser les signes, mais chez"
"101460","103180"," le tout petit, le nouveau-né ou le"
"103180","106280"," nourrissant c'est délicat et donc on va"
"106280","110800"," se baser sur les dires des parents ou"
"110800","113500"," bien encore mieux sur l'examen clinique, donc"
"113500","114980"," sur l'examen de la région anale."
"116000","118280"," Et ces pathologies, dont la plupart sont des"
"118280","122700"," pathologies bénignes, elles peuvent cacher certaines pathologies chroniques,"
"122940","124500"," on le verra par la suite."
"125040","128199"," Elles regroupent un ensemble de pathologies dans les"
"128199","131560"," plus importantes, donc la jugée nécessaire pour le"
"131560","135060"," cours C, le prolapsus rectal, le polyprectal, l "
"135060","136000","'abcès et la fissure. "
"142960","147760"," L'objectif du cours c'est essentiellement de"
"147760","155220"," savoir reconnaître ces lésions anorectales lors de l "
"155220","155620","'examen."
"156040","157920"," Il est essentiel de faire l'examen de"
"157920","160060"," la marge anale chez tout enfant et donc"
"160060","162480"," on doit les reconnaître et aussi préciser la"
"162480","163800"," façon de les traiter."
"167600","169580"," Donc la région qui est intéressée par la"
"169580","172960"," proctologie pédiatrique, c'est la région anorectale, la"
"172960","175680"," partie terminale du rectum et la partie de"
"175680","178860"," l'anus, avec tout le complexe qui est"
"178860","182040"," autour sphinctérien, donc le sphincter interne, sphincter externe,"
"182320","185240"," avec le muscle, le releveur de l'anus"
"185240","191560"," et l'espace cellulaire ici, d'accord, l "
"191560","193720","'espace périanal, donc c'est là où se"
"193720","196100"," fait une grande partie des communications, surtout quand"
"196100","202080"," on parle de fistules anales, et donc tout"
"202080","204880"," ce complexe est mis en jeu dans cette"
"204880","208560"," proctologie pédiatrique en fonction de la pathologie qu "
"208560","209960","'on va voir par la suite. "
"210640","213940"," Donc premier chapitre qu'on va commencer, c "
"213940","215380","'est le prolapsus rectal."
"215580","217200"," C'est quoi ce prolapsus rectal?"
"217600","219280"," Le prolapsus rectal c'est quoi?"
"219780","222000"," C'est l'issue d'une partie de"
"222000","223960"," la paroi rectale à travers l'anus, c "
"223960","224620","'est-à-dire qu'il y a une"
"224620","228160"," partie de la paroi rectale, c'est-à "
"228160","229980","-dire, quand on dit paroi rectale, on dit"
"229980","231740"," avec toutes les composantes de la paroi, c "
"231740","233140","'est-à-dire la muqueuse, la musculeuse, la"
"233140","236660"," sphinctérie muqueuse, et donc qui vont glisser à"
"236660","239540"," travers l'anus, donc sortir à travers l "
"239540","240860","'anus, et on va les retrouver à l "
"240860","241800","'examen clinique."
"242600","245220"," Et ces prolapsus, il y a deux types,"
"245380","247920"," il y a un type muqueux et un"
"247920","248760"," prolapsus total. "
"248900","250060"," Ça veut dire quoi prolapsus muqueux?"
"250100","251660"," Prolapsus muqueux, c'est-à-dire qu'il"
"251660","255579"," y a juste la muqueuse qui a glissé"
"255579","258019"," et qui va se retrouver au niveau de"
"258019","258740"," l'anus."
"259220","261400"," Par contre, le prolapsus total, c'est toute"
"261400","266320"," la paroi du rectum qui va s'invaginer"
"266320","268380"," et va sortir à travers l'anus qu "
"268380","269880","'on va retrouver à l'examen clinique."
"270960","273580"," Mais heureusement, le prolapsus muqueux, il est le"
"273580","276520"," plus fréquent, on le retrouve dans 95%"
"276520","278040"," des cas, c'est un prolapsus qui est"
"278040","279760"," muqueux, et on va voir par la suite"
"279760","282980"," pourquoi on a ce prolapsus. "
"283540","285820"," Il survient chez les deux sexes, les deux"
"285820","290460"," enfants peuvent être atteints de prolapsus rectal, dont"
"290460","293360"," la plupart du temps il est muqueux, il"
"293360","295740"," survient entre l'âge de 1 à 5"
"295740","297600"," ans, son qui est prédominant, donc les deux"
"297600","298580"," sexes sont atteints."
"300670","303710"," Pour comprendre ce prolapsus, il y a certains"
"303710","311050"," facteurs qui peuvent favoriser ce glissement de la"
"311050","313490"," paroi rectale et qui va se retrouver au"
"313490","314290"," niveau de l'anus."
"314750","317810"," On peut avoir des facteurs anatomiques, ce qui"
"317810","320090"," veut dire que soit la muqueuse rectale est"
"320090","322750"," lâche, donc elle s'invagit facilement, elle va"
"322750","332470"," glisser facilement, on la"
"332470","336570"," dépose pour que le rectum épouse la concavité"
"336570","339290"," de sa crotte, si elle est rectiligne, elle"
"339290","344130"," va favoriser le glissement de cette muqueuse ou"
"344130","346610"," de la paroi rectale, donc il y a"
"346610","350550"," deux facteurs anatomiques, soit elle est lâche, soit"
"350550","352370"," on a la concavité sacrée qui n'est"
"352370","356170"," pas concave mais qui est plutôt rectiligne, ou"
"356170","359310"," bien on peut avoir aussi des facteurs fonctionnels,"
"359410","360770"," ça veut dire quoi fonctionnel, ça veut dire"
"360770","362070"," que c'est un enfant qui est assis"
"362070","363970"," sur le pot, qui va pousser de toute"
"363970","368370"," façon très très fort, et en poussant très"
"368370","371290"," fort, il va faire descendre la paroi rectale,"
"371550","374150"," qui va passer dans la lumière, la lumière"
"374150","377210"," anale, et on la retrouve à l'extériorisé,"
"378350","381010"," et c'est poussé, ils sont favorisés chaque"
"381010","384150"," fois qu'on a un problème de constipation,"
"384710","386350"," donc soit c'est un enfant qui reste"
"386350","387990"," longtemps sur le pot, il y a des"
"387990","390350"," mamans qui laissent leur enfant, lors de l "
"390350","395390","'apprentissage de la propreté, donc ils laissent leur"
"395390","397390"," enfant longtemps assis sur le pot, et bien"
"397390","399930"," ça, ça favorise le prolapsus, parce que l "
"399930","402030","'enfant est assis et il pousse, ou bien"
"402030","404130"," lors de la constipation, et bien lors de"
"404130","406570"," la constipation aussi, les enfants, ils augmentent la"
"406570","409270"," pression intra-abdominale, et donc ils vont pousser"
"409990","412830"," le rectum vers le bas, et favoriser le"
"412830","415850"," prolapsus, ou bien des celles qui sont sèches,"
"415970","417850"," donc les celles qui sont sèches, lors de"
"417850","421190"," la descente, elles tirent avec elles la muqueuse"
"421190","423490"," rectale, et on va se retrouver avec un"
"423490","424090"," prolapsus. "
"425970","429690"," Donc des fois, le prolapsus rectal, donc soit"
"429690","431650"," il est dû à des facteurs anatomiques, ou"
"431650","434410"," bien des facteurs fonctionnels, d'accord, ou bien"
"434410","437110"," il peut faire partie d'un tableau, et"
"437110","439890"," qu'on va retrouver lors d'une pathologie"
"439890","442370"," telle qu'une constipation, donc un enfant qui"
"442370","444430"," est constipé le plus souvent, il peut faire,"
"444490","446630"," développer un prolapsus rectal, et il va faire"
"446630","448770"," partie, d'une fois que vous a traité"
"448770","450850"," la constipation, le prolapsus va disparaître."
"451670","454550"," Ou bien, une diarrhée, donc des celles qui"
"454550","458430"," sont liquidiennes, avec une augmentation du péristaltisme aussi,"
"458910","463470"," du péristaltisme intestinal, donc rectal, on va avoir"
"463470","465970"," le passage de la muqueuse rectale, ou bien"
"465970","471770"," de la musse, donc dans le prolapsus, ou"
"471770","475870"," bien une dysurie, dysurie, qui dit dysurie, dit"
"475870","480430"," augmentation de la pression intra-abdominale, donc lors"
"480430","482350"," des poussées, l'enfant il va pousser, donc"
"482350","485530"," il va pousser aussi sur son rectum, et"
"485530","487930"," il va favoriser ce prolapsus."
"488730","491790"," La mucoviscidose, la mucoviscidose parce qu'elle nous"
"491790","498310"," donne un assèchement, un assèchement de celles, donc"
"498310","501590"," on a un assèchement des celles, et donc"
"501590","504170"," des celles qui sont dures, qui vont favoriser,"
"505510","508950"," qui vont coller à la muqueuse rectale, et"
"508950","511030"," ils vont entraîner avec eux, cette muqueuse, et"
"511030","512250"," favoriser le prolapsus. "
"513409","515650"," Alors, la même chose, quand on a un"
"515650","517270"," effort de tour, donc l'effort de tour,"
"517470","519630"," ça augmente, ça donne une augmentation de la"
"519630","522350"," pression intra-abdominale, donc ça favorise aussi le"
"522350","525510"," prolapsus, et vous comprenez très bien, quand on"
"525510","528370"," a une agilisie sacrée, donc agilisie sacrée, qui"
"528370","529490"," dit agilisie sacrée, dit il n'y a"
"529490","531770"," pas de sacrum, donc on parlait tout à"
"531770","533570"," l'heure d'un sacrum qui n'est"
"533570","538210"," pas concave, il va favoriser le prolapsus, ici"
"538210","539670"," il n'y a pas de sacrum, et"
"539670","546230"," donc aussi ça favorise le prolapsus, pourquoi?"
"546410","548750"," Parce que le sacrum, donc on a la"
"548750","551410"," concavité, donc le rectum il doit épouser la"
"551410","554730"," concavité du sacrum, et aussi on a le"
"554730","556410"," musculo-pharocybe de l'anus et tout, donc"
"556410","560690"," tout ceci, on n'a plus le complexe"
"560690","561470"," qu'on a vu tout à l'heure"
"561470","563650"," dans l'anatomie, qui est respecté."
"565170","568510"," Donc retenez, que ce qui favorise le prolapsus,"
"568650","571810"," ça peut être des facteurs anatomiques, ou fonctionnels,"
"572110","574910"," ou éthiologiques, donc quand on a un prolapsus,"
"575050","576370"," il faut penser, est-ce que c'est"
"576370","579310"," une simple constipation, dans la plupart des cas,"
"579630","581410"," est-ce qu'on a des diarrhées, ou"
"581410","583010"," bien on a une augmentation de la pression"
"583010","586810"," intra-abdominale lors des diésuries, ou des poussées"
"586810","590190"," lors de la position sur le pot, donc"
"590190","592190"," en poussant sur le pot, ou bien on"
"592190","598970"," a une pathologie de la muqueuse, donc pathologie"
"598970","601490"," en rapport avec la mucoviscidose, avec un assèchement"
"601490","604430"," des selles, donc la mucoviscidose, tout ceci pour"
"604430","608290"," dire que le prolapsus peut cacher certaines éthiologies."
"610530","616430"," Alors le diagnostic, il est diagnostic clinique, soit"
"616430","618270"," c'est un enfant qui, lors de l "
"618270","621170","'examen, on retrouve un enfant normal, on ne"
"621170","623090"," voit rien, et on va se baser sur"
"623090","626350"," les dires des parents, et la maman, elle"
"626350","627770"," va vous dire qu'à chaque fois qu "
"627770","629530","'il fait ses selles, elle a une sortie"
"629530","632450"," d'un cylindre de muqueuse qui est rouge,"
"632810","635010"," lors de la défecation, ou bien après celle "
"635010","636990","-ci, et la mère elle est formelle, chaque"
"636990","639550"," fois qu'il va partir à la selle,"
"639930","642470"," on a quelque chose qui sort de l "
"642470","645470","'anus et qui est rouge tout le temps,"
"645790","647430"," donc c'est permanent pour elle, donc chaque"
"647430","648830"," fois qu'il fait ses selles, donc elle"
"648830","650710"," le voit, soit lors de la défecation, soit"
"650710","653610"," après, et des fois les parents vont le"
"653610","656350"," réintégrer à la main. "
"656990","659750"," Donc ce prolapsus, il peut être long, de"
"659750","663130"," 2 à 5 cm, avec issue de muqueuse,"
"663230","665310"," ou bien des fois de sang, et c "
"665310","666370","'est juste, il n'y a pas de"
"666370","668290"," douleur, mais c'est juste, il va gêner,"
"668450","672410"," donc les parents vont se poser la question,"
"672590","673830"," c'est quoi ceci, de quoi il s "
"673830","676330","'agit, des fois ils viennent, ils sont alarmés,"
"676650","679010"," ils ont peur, quelque chose qui sort lors"
"679010","680830"," de la défecation, donc ça les fait peur,"
"681430","685010"," ou bien il y a aussi un peu"
"685010","686950"," de sang qui se retrouve dans la culotte"
"686950","689350"," de leur enfant, donc il ne donne pas"
"689350","691170"," de douleur, mais c'est surtout une gêne."
"694260","696060"," Alors la réintégration, comme on l'a dit"
"696060","698040"," tout à l'heure, la maman peut la"
"698040","701000"," faire par une simple pression, par les doigts,"
"701460","703700"," ou bien elle fait une réintégration spontanée, donc"
"703700","706640"," ça disparaît de façon spontanée, mais ce qui"
"706640","708420"," gêne le plus souvent et qui pose des"
"708420","710680"," problèmes, c'est qu'ils récidivent, donc chaque"
"710680","716380"," fois, chaque selle, on va avoir ce cylindre,"
"716420","719160"," ce cylindre qui sort lors de la défecation,"
"719420","721040"," donc chaque fois c'est la même chose,"
"721140","721800"," c'est la même chose."
"722400","727640"," Alors ce prolapsus, comme on l'a dit,"
"727820","730380"," il peut être soit lors de la défecation,"
"730520","732400"," soit des fois on le retrouve à l "
"732400","734100","'examen, donc on le retrouve à l'examen"
"734100","736980"," clinique, bien sûr l'examen va porter sur"
"736980","738580"," un examen général, comme on l'a dit"
"738580","740620"," tout à l'heure, le prolapsus peut cacher"
"740620","744140"," certaines pathologies chroniques, telles que la mycophysidose, il"
"744140","746160"," faut faire attention, il faut examiner s'il"
"746160","747540"," n'y a pas d'autres problèmes, s "
"747540","749200","'il n'y a pas un problème d "
"749200","753780","'ingénieur sacré, etc, et rechercher la constipation, donc"
"753780","756500"," les antécédents de constipation, depuis quand il y"
"756500","757980"," a ces constipations, qu'est-ce qu'il"
"757980","760980"," y a, est-ce que ça fait partie"
"760980","763520"," d'une pathologie chronique, ou est-ce que"
"763520","765380"," c'est juste une constipation liée à une"
"765380","767480"," erreur diététique, etc. "
