"start","end","text"
"330","4970"," Bonjour, aujourd'hui on va aborder le cours"
"4970","7330"," du conseil génétique."
"8130","11330"," Quels sont les objectifs de ce cours ?"
"11910","14410"," D'abord, vous devez être capable de donner"
"14410","17710"," la définition du conseil génétique."
"19010","22590"," Citer les objectifs, les principes et les indications"
"22590","24330"," du conseil génétique. "
"25130","27590"," De même, vous devez être capable de calculer"
"27590","28750"," le risque génétique."
"28750","33070"," Et enfin, vous devez être capable d'expliquer"
"33070","36890"," les possibilités offertes à un couple à risque."
"38190","40590"," Le plan du cours est le suivant. "
"41250","44690"," Après une introduction, on va aborder les objectifs"
"44690","46550"," et les principes du conseil génétique."
"47990","51670"," Après, on va voir de quoi dépend la"
"51670","52950"," prise de décision."
"55170","59030"," Ensuite, on va aborder les indications du conseil"
"59030","59440"," génétique. "
"60380","64820"," Après, la manière de calculer le risque génétique."
"65500","70900"," Et avant de conclure, on va aborder la"
"70900","75140"," question importante de respect d'éthique médicale en"
"75140","78320"," matière de consultation de conseil génétique."
"78860","82140"," D'abord, c'est quoi un conseil génétique"
"82140","82570"," ?"
"83300","87740"," Le conseil génétique, c'est une consultation médicale. "
"87740","92180"," Mais c'est une consultation spécialisée de médecine"
"92180","93740"," préventive."
"94640","96500"," Pourquoi de médecine préventive ?"
"96500","98880"," Parce qu'elle a pour but d'évaluer"
"98880","102560"," le risque de survenue ou de récurrence d "
"102560","105960","'une maladie ou d'une malformation, par exemple"
"105960","110000"," une fente, la myopalatine, dans la descendance d "
"110000","113160","'un couple, chez les apparentés d'un sujet"
"113160","116920"," atteint ou dans une population à risque."
"117980","121980"," C'est un processus médical de communication entre"
"121980","125620"," un médecin généticien et un consultant, qu'il"
"125620","126860"," soit malade ou non. "
"127600","130540"," Durant cette consultation, par exemple, chez un couple"
"130540","133620"," qui a déjà un enfant atteint, on doit"
"133620","138400"," donner à ce couple-là l'information la"
"138400","141800"," plus précise, la plus complète et la plus"
"141800","145660"," actualisée, pour qu'il puisse prendre la décision"
"145660","149040"," d'avoir ou non un autre enfant."
"152350","155490"," Quels sont les objectifs du conseil génétique ?"
"155490","159030"," Premièrement, préciser le diagnostic."
"160110","163270"," Contrairement à ce que vous pouvez croire, dans"
"163270","167370"," nos consultations de génétique, parmi les premiers, on"
"167370","169770"," n'a pas tout le temps des patients"
"169770","172850"," qui consultent avec un diagnostic déjà précis. "
"173330","176570"," Par exemple, on reçoit des nouveau-nés ou"
"176570","180330"," des enfants ou des nourrissons qui ont une"
"180330","181070"," hypotonie."
"181730","184230"," Donc c'est à nous, généticiens, de préciser"
"184230","185650"," le diagnostic."
"187570","190950"," Deuxièmement, expliquer le mode de transmission. "
"191770","194730"," Est-ce que c'est une pathologie génique,"
"194830","195970"," par exemple ?"
"195970","197850"," Et si elle est génique, est-ce qu "
"197850","198830","'elle se transmet ?"
"198830","200270"," Est-ce qu'elle est monogénique ?"
"200270","201770"," Est-ce qu'elle se transmet de manière"
"201770","203330"," Mendelienne ?"
"203330","204730"," Est-ce qu'elle se transmet de manière"
"204730","206690"," autosomique ou liée à l'X ?"
"206690","208170"," Est-ce qu'elle se transmet de manière"
"208170","211290"," récessive ou dominante ?"
"211290","215970"," Troisièmement, évaluer le risque de survenue ou de"
"215970","219210"," récurrence d'une malformation ou d'une maladie"
"219210","221570"," génique ou chromosomique."
"222250","226610"," Quatrièmement, informer sur les possibilités d'un diagnostic"
"226610","230650"," prénatal, qu'il soit chromosomique ou génique."
"230930","232310"," Les types de prélèvements. "
"232310","234990"," Est-ce que c'est un prélèvement sanguin"
"234990","240410"," maternel, donc pour évaluer, faire les tests sur"
"240410","242470"," l'ADN foetal circulant ?"
"242470","244390"," Est-ce que c'est une amniosynthèse ?"
"244390","245590"," Est-ce que c'est une biopsie de"
"245590","246230"," trophoblast ?"
"246230","247510"," C'est ce qu'on va voir dans"
"247510","249670"," le cours de diagnostic prénatal."
"250150","254010"," Et j'insiste sur la fiabilité des résultats."
"255230","261790"," Cinquièmement, j'aimerais bien insister sur le fait"
"261790","265270"," que le conseil génétique doit être effectué en"
"265270","267310"," dehors de toute situation d'urgence. "
"267770","269770"," Ça nous arrive souvent en consultation de conseil"
"269770","273890"," génétique de recevoir des femmes enceintes en septième"
"273890","276630"," ou huitième mois de grossesse, même s'il"
"276630","277950"," y a un risque de récurrence."
"278750","280910"," Est-ce qu'on peut faire un prélèvement"
"280910","281750"," ?"
"281750","282550"," D'accord ?"
"282550","286050"," Donc, le conseil génétique doit être fait en"
"286050","289050"," dehors de toute situation d'urgence."
"291780","296040"," Maintenant, quels sont les principes du conseil génétique"
"296040","296620"," ?"
"296620","298660"," Le premier principe. "
"299380","302560"," Le conseil génétique se base sur un diagnostic"
"302560","309000"," précis, qui implique un diagnostic communiqué par un"
"309000","313520"," document écrit par le clinicien qui nous a"
"313520","318180"," adressé le patient, ou bien un compte rendu"
"318180","319520"," médical."
"320740","324620"," Il faut aussi nous faire parvenir en consultation"
"324620","329000"," de conseil génétique tous les examens complémentaires effectués,"
"329460","334160"," qu'ils soient biologiques, radiologiques ou électrophysiologiques."
"334880","337060"," Et souvent, on reçoit en consultation de conseil"
"337060","340720"," génétique un couple qui a deux enfants décédés"
"340720","345840"," dans un tableau clinique similaire, sans avoir un"
"345840","346860"," diagnostic précis. "
"347400","349280"," S'il vous plaît, chaque fois que vous"
"349280","351760"," nous envoyez des couples avec des enfants décédés,"
"352280","355600"," envoyez-nous les dossiers médicaux des enfants décédés,"
"356060","358940"," y compris l'échographie obstétrique."
"363860","367500"," Là, quels sont les deuxièmes principes du conseil"
"367500","368700"," génétique ?"
"368700","373000"," La connaissance du monde de transmission de la"
"373000","373920"," maladie."
"375860","381100"," La consultation de conseil génétique commence par une"
"381100","381800"," anamnèse. "
"382300","385660"," Dans cette anamnèse, on va voir les antécédents"
"385660","387020"," obstétriques."
"387700","389860"," Est-ce que c'est une grossesse menée"
"389860","392320"," à terme, ou pas ?"
"392320","393440"," Est-ce qu'il y a prise de"
"393440","397840"," médicaments teratogènes, de plantes médicinales teratogènes ?"
"397840","399400"," Est-ce qu'il y avait une infection"
"399400","402620"," au cours de la grossesse, des aïcidos au"
"402620","404460"," cours de la grossesse ?"
"404460","407620"," Et le type d'accouchement."
"407800","409240"," Est-ce que c'est un accouchement à"
"409240","411380"," domicile, par césarienne ?"
"411380","412400"," Est-ce qu'il n'y avait pas"
"412400","414940"," de souffrance néonatale ?"
"415360","418020"," Et le score d'avatar, et aussi le"
"418020","420760"," poids de naissance, le périmètre crânien de naissance"
"420760","422820"," et la taille à la naissance. "
"422820","427240"," Après, on dessine l'arbre généalogique."
"430460","435160"," Donc, avant de passer à ce diapo de"
"435160","441000"," connaissances actualisée, j'insiste sur l'arbre généalogique."
"441260","443440"," Vous allez le dessiner comme je vous ai"
"443440","446700"," expliqué dans le cours de mode de transmission. "
"447140","449980"," Cet arbre généalogique doit être le plus complet"
"449980","450960"," possible."
"451590","456760"," Il faut y noter tous les antécédents médicaux"
"456760","459860"," dans la famille, les décès, les malformations."
"460960","465120"," Rien qu'avec l'arbre généalogique, parfois on"
"465120","467900"," s'intéresse, on s'oriente vers telle ou"
"467900","469040"," telle pathologie. "
"469500","472220"," J'insiste sur l'intérêt de dessiner un"
"472220","475640"," arbre généalogique le plus complet possible et de"
"475640","479400"," prendre le temps pour dessiner cet arbre généalogique."
"482080","486120"," Troisième principe du conseil génétique, ce sont les"
"486120","487940"," connaissances actualisées."
"488180","493180"," Ces connaissances actualisées sont retrouvées dans les ouvrages"
"493180","497720"," et revues spécialisées de génétique médicale ou bien"
"497720","499260"," sur les bases de données. "
"499860","501440"," Donc, on a soit des bases de données"
"502700","507600"," où il faut faire une inscription et payer."
"507600","511940"," Donc, comme logiciel, l'on donne DataBase, le"
"511940","515240"," Poisson ou bien, donc, des bases de données"
"515240","520679"," online, gratuites, comme le site Orphanet ou Omni."
"522299","526360"," Maintenant, quelles sont les indications du conseil génétique"
"526360","526840"," ?"
"526840","530300"," Quand vous serez médecin généraliste ou un médecin"
"530300","534120"," spécialiste, quelles sont les situations qui vont vous"
"534120","538500"," pousser à adresser vos patients à une consultation"
"538500","540200"," de génétique ?"
"540200","543420"," Parmi les situations fréquentes, ce sont des couples"
"543420","546120"," qui ont déjà eu un enfant atteint. "
"546420","548900"," Par exemple, un couple qui a déjà un"
"548900","554380"," enfant atteint du drépanocytose, une maladie autosomique récessive,"
"554520","557120"," par exemple, ou un couple qui a déjà"
"557120","561970"," un enfant atteint d'une maladie pathologique chromosomique,"
"561970","565070"," par exemple, une trisomie 21."
"565570","567370"," Ce couple a le droit de s'inquiéter"
"567370","571870"," sur les enfants à venir."
"572530","575290"," Donc, il faut les adresser en consultation de"
"575290","579070"," conseil génétique pour leur expliquer est-ce qu "
