"start","end","text"
"1220","1700"," Bonjour."
"3200","6740"," Le cours d'aujourd'hui est intitulé «"
"6740","10920"," Éléments de génétique de population et leurs intérêts"
"10920","13880"," dans les pathologies monogéniques »."
"16350","18990"," Les objectifs de ce cours sont les suivants."
"20090","23090"," Donner la définition de la génétique des populations. "
"24210","28510"," Être capable d'estimer la fréquence génique et"
"28510","29310"," génotypique."
"30310","33510"," Donner la définition et les conditions nécessaires de"
"33510","34990"," la loi de Hardy-Winberg."
"35730","40270"," Connaître les applications médicales de la loi de"
"40270","41590"," Hardy et Weinberg. "
"42730","47110"," Donner la définition de la consanguinité, du coefficient"
"47110","50630"," de consanguinité et du coefficient de parenté."
"51910","56210"," Être capable de calculer le coefficient de consanguinité"
"56210","57190"," et de parenté."
"57190","62190"," Et enfin, citer les effets de la consanguinité. "
"66020","67820"," Le plan du cours est le suivant."
"68560","73600"," Après une introduction, on va aborder le chapitre"
"73600","79200"," sur l'estimation des fréquences géniques et génotypiques."
"79890","84180"," Par la suite, on abordera la loi de"
"84180","89360"," Hardy-Weinberg, y compris la définition, les conditions"
"89360","93900"," nécessaires, la démonstration à partir des fréquences alléliques"
"93900","97600"," et les applications de cette loi aux maladies"
"97600","99000"," autosomiques récessives. "
"99880","103320"," Par la suite, on abordera le chapitre sur"
"103320","108080"," la consanguinité, y compris la définition, le coefficient"
"108080","112660"," de consanguinité, le coefficient de parenté, les effets"
"112660","117360"," de la consanguinité, la consanguinité et le conseil"
"117360","117960"," génétique."
"118540","121280"," Et enfin, on va terminer ce cours par"
"121280","122020"," une conclusion."
"128560","132820"," Lors du cours précédent, à savoir les modes"
"132820","138060"," de transmission, on a vu comment les caractères"
"138060","141720"," se transmettent d'une génération à l'autre. "
"141720","145360"," Je parle des caractères héréditaires monogéniques."
"146340","149880"," Donc, cette étude de la transmission des caractères"
"149880","152600"," héréditaires d'une génération à l'autre, c "
"152600","155800","'est ce qu'on appelle la génétique formelle."
"156480","161340"," Alors que la génétique des populations, c'est"
"161340","166560"," la discipline qui étudie comment les gènes se"
"166560","170500"," répartissent dans les populations et comment ils se"
"170500","175660"," transmettent d'une génération à l'autre au"
"175660","178340"," sein d'une population concernée. "
"182100","185260"," Donc, c'est la finalité de la génétique"
"185260","191080"," des populations dans le domaine médical."
"192900","197240"," Elle a un grand intérêt pour la consultation"
"197240","201340"," du conseil génétique puisqu'elle permet de calculer"
"201340","205600"," les risques de certains mariages pour la descendance."
"206440","211200"," De même, cette génétique des populations permet de"
"211200","215920"," définir et d'évaluer une politique de prévention"
"215920","218380"," à l'échelle d'une population. "
"219120","221720"," À titre d'exemple, le dépistage à la"
"221720","225320"," naissance des hétérozygotes ou le dépistage des couples"
"225320","226640"," hétérozygotes."
"229940","239430"," Fréquences du génotype, toujours dans les fréquences géniques."
"240070","243990"," La fréquence génique petit p du gène grand"
"243990","247610"," A est égale à la fréquence des homozygotes"
"247610","251990"," grand A grand A plus la moitié de"
"251990","255870"," la fréquence des hétérozygotes grand A petit A."
"256870","261110"," Alors que petit Q c'est la fréquence"
"261110","264490"," génique du petit du gène petit A qui"
"264490","268290"," est égale à la fréquence des homozygotes petit"
"268290","270870"," A petit A qu'on appelle grand Q"
"270870","278810"," plus la moitié de la fréquence des hétérozygotes"
"278810","280930"," qu'on appelle grand H."
"283870","287490"," Puisque dans la population, prenons une population de"
"287490","291790"," 100%, donc une population de 100%, on a"
"291790","296730"," les homozygotes grand A grand A, les homozygotes"
"296730","299830"," petit A petit A et les hétérozygotes grand"
"299830","300990"," A petit A."
"301230","304510"," Puisque dans cette population est 100%, donc la"
"304510","307810"," fréquence des homozygotes grand A grand A qui"
"307810","311490"," est grand P plus la fréquence des homozygotes"
"311490","313550"," petit A petit A qui est égale à"
"313550","316590"," grand Q plus la fréquence des hétérozygotes grand"
"316590","318670"," A petit A qui est égale à H,"
"319210","321770"," donc la somme est égale à 100%. "
"321770","323790"," Donc 100% c'est égal à 1."
"324270","327230"," Donc il faut retenir que la fréquence des"
"327230","330790"," homozygotes grand P plus la fréquence des homozygotes"
"330790","334510"," grand Q plus la fréquence des hétérozygotes est"
"334510","335870"," égale à 1."
"337310","339930"," Prenons maintenant des exemples."
"340790","344270"," Soit une population de 100 individus."
"345090","348130"," Quand on dit 100 individus, on est des"
"348130","349750"," sujets diploïdes. "
"350190","351350"," Prenons un gène."
"352130","356150"," Donc, si on prend un gène donné, donc"
"356150","359630"," on aura pour ces 100 individus, puisqu'on"
"359630","362630"," est des sujets diploïdes, 200 gènes."
"362770","365710"," Pour un locus donné, on aura 200 gènes. "
"365710","367610"," N'oubliez pas qu'on est des sujets"
"367610","368370"," diploïdes."
"368870","372390"," Pour les gènes situés sur des autosomes, on"
"372390","373770"," a deux exemplaires."
"374170","377050"," Un gène d'origine maternelle et un gène"
"377050","378230"," d'origine paternelle. "
"378590","382150"," Pour un gène donné chez 100 individus, on"
"382150","384470"," va parler de 200 gènes."
"384470","390270"," Donc, soit P, la fréquence des homozygotes A,"
"390850","396390"," A, qui est égale à 30%."
"396390","400030"," Donc, chez ces 100 individus, on a la"
"400030","405270"," fréquence des homozygotes A, A, qui est égale"
"405270","406310"," à 30%. "
"406310","411570"," Puisque 30 individus sont homozygotes A, A."
"412500","416490"," On a 60 individus parmi ces 100 qui"
"416490","419190"," sont héterozygotes A, A."
"419350","422790"," Donc, grand H est égal à 60%."
"422790","427030"," Et 10% de ces 100 individus sont"
"427030","429170"," homozygotes A, A."
"429510","432790"," Donc, grand Q est égal à 10%."
"432790","435710"," Comme je viens de l'expliquer, puisque pour"
"435710","439410"," un gène donné autosomique, on en a deux"
"439410","440170"," exemplaires. "
"440170","443890"," Donc, le nombre total de gènes pour ce"
"443890","447090"," locus donné dans cette population de 100 individus"
"447090","450750"," est de 2 fois 100, qui est égal"
"450750","451930"," à 200."
"452510","456010"," Maintenant, quel est le nombre total de gènes"
"456010","457290"," grand A?"
"457810","460950"," Puisqu'on a des sujets homozygotes, le nombre"
"460950","462610"," est de 30."
"463610","467410"," Et puisque c'est des sujets diploïdes. "
"467410","470790"," Donc, ça sera 30 fois 2."
"471130","471650"," D'accord?"
"472130","475530"," Sans oublier les 60 hétérozygotes."
"475950","479290"," Les 60 hétérozygotes ont un seul exemplaire du"
"479290","479810"," grand A."
"480150","482590"," Donc, ça sera 2 fois 30 pour les"
"482590","485650"," homozygotes plus les hétérozygotes 60."
"485930","487930"," Donc, ça va faire 120. "
"488470","493930"," Donc, on a 120 gènes grand A chez"
"493930","494770"," cette population."
"494770","499250"," Donc, comment on va calculer la fréquence génique"
"499250","500630"," du gène grand A?"
"501170","504650"," C'est le nombre total des gènes grand"
"504650","507990"," A, qui est 120, sur le nombre total"
"507990","510830"," des gènes pour ce locus là, qui est"
"510830","511250"," 200."
"511690","514330"," Donc, ça sera 120 sur 200, qui est"
"514330","518630"," égal à 60%, qui est 0,6. "
"519549","522610"," Maintenant, comment on va calculer le nombre de"
"522610","523530"," gènes petit A?"
"523530","526710"," Puisqu'on a dit que les homozygotes petit"
"526710","529450"," A, petit A, ils sont au nombre de"
"529450","529950"," 10."
"530670","533010"," Et puisqu'ils sont homozygotes, ça veut dire"
"533010","535550"," pour ce gène petit A, ils ont deux"
"535550","536230"," exemplaires."
"536330","537610"," Ça sera 2 fois 10. "
"537970","541110"," Plus, on a 60 hétérozygotes qui ont un"
"541110","542770"," seul exemplaire de petit A."
"543110","547070"," Donc, ça sera 2 fois 10 plus 60"
"547070","547910"," petit A."
"548130","549670"," Donc, ça sera 80."
"549670","553610"," Donc, on a 80 exemplaires du gène petit"
"553610","553870"," A."
"554130","557050"," Comment on va calculer la fréquence génique du"
"557050","557930"," gène petit A?"
"558310","561110"," Donc, le nombre total du gène petit A"
"561110","563990"," dans cette population, qui est 80, sur le"
"563990","566410"," nombre total de gènes pour ce locus là,"
"566430","567230"," qui est de 200."
"567630","570310"," Donc, ça sera 80 sur 200, qui est"
"570310","574610"," égal à 0,4, qui correspond à 40%. "
"575610","578430"," Étant donné que grand P est égal à"
"578430","583690"," 0,3, comme on l'a calculé, grand"
"583690","588010"," Q qui est égal à 0,1, et"
"588010","592370"," grand H qui est égal à 0,6."
"593170","596570"," Donc, on peut calculer les fréquences géniques à"
"596570","600410"," partir des fréquences génotypiques."
"600410","603250"," Donc, petit P, c'est la fréquence génique"
"603250","604350"," du petit A."
"604890","608330"," Donc, la fréquence des homozygotes grand A, grand"
"608330","613790"," A, c'est 0,3 plus la moitié"
"613790","618350"," des hétérozygotes, des fréquences génotypiques des hétérozygotes. "
"618770","622690"," Donc, ça sera 1,5 fois 0,6."
"624210","627670"," Donc, ça sera 0,3 plus 0,3"
"627670","629810"," et c'est égal à 0,6."
"630770","631230"," D'accord?"
"631890","636270"," Donc, c'est ce qui correspond à ce"
"636270","637150"," qu'on a calculé. "
"637610","639550"," On va faire la même chose pour la"
"639550","641870"," fréquence génique petit Q du petit A."
"642570","646010"," Donc, la fréquence des homozygotes petit A, petit"
"646010","649030"," A, elle est de 0,1 plus la"
"649030","650030"," moitié des hétérozygotes."
"651070","652890"," Donc, 1,5 fois 0,6, ça sera"
"652890","656650"," 0,3, 0,1 qui est égal à"
"656650","657270"," 0,4."
"657570","659310"," C'est ce qui correspond à ce qu "
"659310","660330","'on a calculé. "
"660710","662950"," Donc là, c'est une autre façon de"
"662950","667850"," démontrer que la fréquence génique d'un gène"
"667850","672070"," correspond à la fréquence génotypique des homozygotes plus"
"672070","675150"," la moitié de la fréquence génotypique des hétérozygotes."
"678320","680640"," Qu'en est-il de la loi de"
"680640","682640"," Hardy-Weinberg?"
"683280","690240"," En 1908, Hardy, un mathématicien britannique, et M."
"690380","696660"," Weinberg, un physicien et médecin allemand, parviennent séparément"
"696660","701600"," mais simultanément à une même loi théorique selon"
"701600","707260"," laquelle la fréquence des génotypes reste constante d "
"707260","709280","'une génération à l'autre."
"712860","718940"," Pour démontrer cette loi de Hardy-Weinberg, on"
"718940","726100"," suppose les conditions nécessaires suivantes, à savoir que"
"726100","730720"," la dimension de la population étudiée est grande. "
"731640","735920"," Donc ça veut dire un effectif illimité et"
"735920","737860"," qu'il n'y a pas de migration."
"738740","739580"," Ça d'une part."
"741040","746200"," Deuxième condition, que les mariages s'effectuent au"
"746200","746720"," hasard. "
"746880","748160"," C'est ce qu'on appelle « pas"
"748160","749520"," en mixi »."
"749520","752460"," Ça veut dire que les conjoints ne sont"
"752460","754860"," pas apparentés, donc il n'y a pas"
"754860","760080"," de consanguinité, et que les unions sont aléatoires,"
"760300","760960"," au hasard."
"761560","764940"," Ça veut dire que le choix du conjoint"
"764940","769140"," est indépendant du phénotype."
"770180","772540"," Les couples se forment au hasard. "
"773600","776800"," Troisième condition nécessaire à la loi de Hardy "
"776800","780220","-Weinberg, il n'y a pas de nouvelle"
"780220","787360"," mutation des gènes responsables du caractère étudié ou"
"787360","792260"," que le taux de mutation est suffisamment faible"
"792260","794560"," pour être négligeable."
"795400","800460"," Dernière condition nécessaire à l'application de la"
"800460","803360"," loi de Hardy-Weinberg, c'est qu'il"
"803360","807800"," n'y a pas de sélection favorisant ou"
"807800","814020"," défavorisant les divers génotypes dont dépendent les différents"
"814020","816980"," phénotypes du caractère étudié."
"821420","824340"," Je viens de dire dans la diapositive précédente"
"824340","828840"," que parmi les conditions nécessaires à l'application"
"828840","831440"," de la loi de Hardy-Weinberg, c'est"
"831440","834800"," l'absence de sélection pour tel ou tel"
"834800","835960"," caractère. "
"837260","838700"," Pourquoi ?"
"838700","841400"," Parce que s'il y a une sélection,"
"842400","847460"," les fréquences alléliques pourront varier d'une génération"
"847460","849260"," à l'autre et on ne peut pas"
"849260","852460"," appliquer la loi de Hardy-Weinberg."
"853460","859120"," Donc, la sélection positive de génotypes favorables se"
"859120","862840"," traduit souvent dans les populations humaines comme l "
"862840","865620","'élimination de mutations responsables de maladies."
"866500","871160"," De même, de nombreux variants géniques sont avantageux"
"871160","876240"," dans un contexte particulier et neutres ou défavorables"
"876240","878700"," dans un autre environnement. "
"878700","882780"," Les plus simples à visualiser sont les facteurs"
"882780","885100"," de résistance aux infections."
"885760","890120"," On va prendre comme exemple deux sélections."
"891120","895840"," C'est les hétérosigotes pour la drépanocytose. "
"896260","901020"," La drépanocytose ou l'anémie falciforme est une"
"901020","908500"," pathologie sévère, évolutive, autosomique, récessive qui est due"
"908500","911420"," à une mutation au niveau du gène de"
"911420","912320"," la bétaglobine."
"913020","918120"," Cette mutation consiste en la transversion d'une"
"918120","922680"," adénine en thymine en codensis à l'origine"
"922680","926120"," de la transformation de l'acide glutamique en"
"926120","927300"," valine."
"928940","932280"," Il est à noter que les sujets hétérosigotes"
"932280","938620"," pour cette mutation sont relativement résistants au paludisme,"
"938900","939480"," la malaria. "
"941580","946600"," Leur érythrocyte constitue pour le parasite qui est"
"946600","953700"," le plasmodium falciparum responsable du paludisme un environnement"
"953700","959160"," moins favorable que ceux des individus homozygotes sains."
"959160","963140"," C'est pourquoi les hétérosigotes souffrent d'une"
"963140","967060"," forme moins sévère de la malaria ou même"
"967060","968520"," en sont épargnés."
"970020","974620"," La protection contre le paludisme conférée par l "
"974620","979920","'hétérosigocie est un avantage dans les régions impaludées"
"979920","983020"," comme vous le voyez sur la carte géographique"
"983020","983640"," suivante. "
"985880","989860"," Avec une morbidité et une mortalité réduites, les"
"989860","994260"," hétérosigotes ont plus de chances de survivre et"
"994260","995980"," de pouvoir se reproduire."
"996340","999780"," Donc il y a un avantage sélectif de"
"999780","1006060"," cette hétérosigocie pour la mutation entraînant la drépanocytose."
"1006660","1010680"," Ceci explique la fréquence élevée de l'allèle"
"1010680","1013920"," muté observé dans ces régions. "
"1013920","1018560"," Donc la mutation falciforme a pris naissance de"
"1018560","1023720"," manière indépendante au moins dans 4 ou 5"
"1023720","1027839"," régions impaludées différentes et s'est ensuite répandue"
"1027839","1029920"," dans les populations correspondantes."
"1030839","1033900"," L'anémie falciforme constitue ainsi chez l'homme"
"1033900","1038300"," le meilleur exemple d'un avantage sélectif pour"
"1038300","1042380"," les hétérosigotes pour un allèle muté responsable d "
"1042380","1045339","'une maladie sévère à l'état homozygote."
"1045720","1048800"," Là c'est juste pour expliquer une sélection"
"1048800","1050540"," ou un avantage sélectif. "
"1050940","1053520"," Je reviens à la loi de Hardy-Weinberg"
"1053520","1056780"," dont pour appliquer cette loi il ne doit"
"1056780","1060260"," pas y avoir un avantage sélectif pour tel"
"1060260","1061600"," ou tel caractère."
"1064320","1069600"," Voici un schéma qui récapitule les différentes conditions"
"1069600","1073160"," nécessaires à l'application de la loi de"
"1073160","1078280"," Hardy-Weinberg à savoir une population avec un"
"1078280","1079920"," effectif infini."
"1081040","1084540"," Les mariages doivent se faire au hasard, pas"
"1084540","1087400"," de panmixie, pas de consanguinité. "
"1088200","1090200"," De même, il ne doit pas y avoir"
"1090200","1092440"," de nouvelles mutations."
"1092440","1095400"," Et aussi, il ne doit pas y avoir"
"1095400","1098600"," un avantage sélectif du caractère étudié."
"1104570","1110370"," Pour comment démontrer cette loi de Hardy-Weinberg"
"1110370","1115830"," à partir des fréquences alléliques, on va supposer"
"1115830","1121070"," qu'à la génération N, les fréquences des"
"1121070","1124770"," allèles grand A et petit A sont respectivement"
"1124770","1129830"," petit P et petit Q, sachant que P"
"1129830","1132190"," plus Q est égal à 1 qui est"
"1132190","1133030"," 100%. "
"1133030","1135570"," Il s'agit de montrer qu'à la"
"1135570","1139770"," génération suivante qui est N plus 1, ces"
"1139770","1145890"," mêmes fréquences alléliques demeurent inchangées lorsque toutes les"
"1145890","1150070"," conditions nécessaires à la loi de Hardy-Weinberg"
"1150070","1151470"," sont respectées."
"1153990","1156730"," Quand les fréquences des allèles grand A et"
"1156730","1160510"," petit A à la génération N sont respectivement"
"1160510","1164870"," petit P et petit Q, les fréquences génotypiques"
"1164870","1167870"," à la génération suivante N plus 1 sont"
"1167870","1171510"," respectivement P au carré grand A grand A"
"1171510","1175370"," pour les homozygotes grand A grand A, de"
"1175370","1179870"," PQ grand A petit A pour les hétérozygotes,"
"1180270","1182930"," et Q au carré petit A petit A"
"1182930","1188190"," pour les homozygotes, les homozygotes petit A petit"
"1188190","1188470"," A."
"1198400","1203360"," On va démontrer la constance des fréquences alléliques"
"1203360","1207040"," lors de génération quand la loi de Hardy "
"1207040","1208900","-Weinberg est appliquée."
"1209980","1212280"," Quand les fréquences des allèles grand A et"
"1212280","1216140"," petit A à la génération N sont respectivement"
"1216140","1221240"," petit P et petit Q, les fréquences génotypiques"
"1221240","1226460"," à la génération suivante N plus 1 sont"
"1226460","1230760"," respectivement P au carré grand A grand A."
"1231640","1234820"," Pour la fréquence des hétérozygotes, c'est de"
"1234820","1238620"," PQ grand A petit A et Q au"
"1238620","1240460"," carré petit A petit A."
"1241500","1244560"," Les fréquences alléliques à la génération N plus"
"1244560","1247720"," 1 ne changent pas par rapport à la"
"1247720","1249660"," génération précédente. "
"1249660","1252900"," En effet, à la génération N plus 1,"
"1253980","1257380"," la fréquence du grand A c'est P"
"1257380","1263680"," au carré, donc la fréquence des homozygotes, plus"
"1263680","1265720"," la moitié des hétérozygotes."
"1265800","1269040"," La moitié de PQ grand A petit A"
"1269040","1270020"," c'est PQ."
"1270560","1273220"," Donc on va prendre comme facteur commun P"
"1273220","1277840"," fois entre parenthèses P plus Q, puisqu'on"
"1277840","1279680"," a dit que P plus Q est égal"
"1279680","1280240"," à 1."
"1281240","1281560"," D'accord?"
"1282080","1286400"," Donc la fréquence du gène grand A reste"
"1286400","1287580"," toujours petit P."
"1288140","1290740"," La même chose pour la fréquence du petit"
"1290740","1291060"," A."
"1291600","1294120"," Donc c'est la fréquence des homozygotes qui"
"1294120","1297620"," est Q au carré plus la moitié des"
"1297620","1297940"," hétérozygotes. "
"1298500","1301600"," La moitié de 2PQ c'est PQ."
"1301600","1304960"," On va prendre comme facteur commun le Q"
"1304960","1308140"," fois entre parenthèses P plus Q."
"1308500","1310460"," Puisqu'on a dit que P plus Q,"
"1311120","1314200"," donc les deux gènes, constituent 100%."
"1314200","1315760"," 100% c'est 1."
"1316160","1317940"," Donc P plus Q est égal à 1"
"1317940","1318540"," fois Q."
"1319160","1322520"," Donc la fréquence du petit A reste petit"
"1322520","1322800"," Q."
"1323080","1325800"," La fréquence du grand A reste petit P."
"1325800","1330960"," Par conséquent, dans une population en équilibre palmictique,"
"1331440","1334520"," quand les fréquences alléliques à un locus donné"
"1334520","1338520"," qui a deux allèles grand A, petit A,"
"1338820","1343040"," sont respectivement petit P et petit Q."
"1343400","1346940"," Les fréquences génotypiques à la même génération sont"
"1346940","1350180"," P au carré grand A, grand A, plus"
"1350180","1353120"," 2PQ grand A, petit A, plus Q au"
"1353120","1354540"," carré petit A, petit A."
"1354540","1360580"," On va démontrer ceci grâce à l'allèle"
"1360580","1361460"," de ce tableau. "
"1362320","1366860"," On va démontrer que les fréquences alléliques à"
"1366860","1370080"," la génération N ne changent pas à la"
"1370080","1372200"," génération suivante, N plus A."
"1372820","1376680"," On va prendre deux gènes, donc deux allèles"
"1376680","1379540"," plutôt, l'allèle grand A et l'allèle"
"1379540","1383240"," petit A, au niveau des spermatozoïdes ici, et"
"1383240","1385400"," l'allèle, le même allèle, grand A et"
"1385400","1388460"," petit A, au niveau des ovules."
"1389380","1391840"," Là, c'est lors de la première génération"
"1391840","1394780"," où la fréquence allélique grand A est de"
"1394780","1397600"," l'ordre de 0,7 et la fréquence"
"1397600","1399940"," allélique du gène petit A est de l "
"1399940","1401300","'ordre de 0,3."
"1402200","1406760"," Après la réunion des spermatozoïdes avec les ovules,"
"1406860","1409920"," prenons le premier exemple, réunion d'un spermatozoïde"
"1409920","1411960"," avec l'allèle grand A et d'un"
"1411960","1414440"," ovule avec l'allèle grand A, on aura"
"1414440","1419420"," une fréquence de 0,7 fois 0,7"
"1419420","1421020"," qui est de l'ordre de 0,49. "
"1421460","1423480"," S'il y a réunion d'un spermatozoïde"
"1423480","1426180"," porteur de l'allèle grand A avec un"
"1426180","1428620"," ovule porteur de l'allèle petit A, donc"
"1428620","1431220"," ce sera PQ et ce sera 0,7"
"1431220","1433040"," fois 0,3 qui est de l'ordre"
"1433040","1433880"," de 0,21."
"1434680","1438060"," Si on a une réunion d'un spermatozoïde"
"1438060","1440380"," porteur de l'allèle petit A et d "
"1440380","1442080","'un ovule porteur de l'allèle grand A,"
"1442440","1447100"," les fréquences alléliques seront de l'ordre de"
"1447100","1449760"," 0,7 fois 0,3 qui est de"
"1449760","1450740"," l'ordre de 0,21."
"1451380","1453420"," Et s'il y a une réunion d "
"1453420","1456560","'un spermatozoïde porteur de l'allèle petit A"
"1456560","1459280"," avec un ovule porteur de l'allèle petit"
"1459280","1462360"," A, donc ce sera une fréquence allélique de"
"1462360","1466700"," 0,3 fois 0,3 qui est de"
"1466700","1469080"," l'ordre de 0,09. "
"1469700","1473160"," En respectant la règle suivante au niveau de"
"1473160","1475160"," la génération N plus 1, puisqu'on a"
"1475160","1478500"," dit dans la diapositive précédente que la fréquence"
"1478500","1482040"," grand A au niveau de la génération N"
"1482040","1485820"," plus 1 est égale à PO carré plus"
"1485820","1486300"," PQ."
"1487700","1492220"," Donc PO carré c'était 0,49 plus"
"1492220","1495600"," PQ qui est 0,21."
"1495840","1498200"," Donc la somme sera 0,7. "
"1498320","1500960"," Et vous constatez que la fréquence de l "
"1500960","1503460","'allèle A au niveau de la génération N"
"1503460","1506060"," plus 1 est restée la même par rapport"
"1506060","1507780"," à la génération N."
"1508040","1510500"," La même chose pour la fréquence de l "
"1510500","1512400","'allèle petit A qui est de l'ordre"
"1512400","1514300"," de PO carré plus PQ."
"1514300","1516440"," PO carré comme on l'a calculé tout"
"1516440","1519680"," à l'heure c'est 0,09 plus"
"1519680","1521760"," PQ qui est de l'ordre de 0 "
"1521760","1526040",",21 qui est dans la somme 0,3."
"1526440","1528460"," Et encore une fois vous constatez que la"
"1528460","1530980"," fréquence de l'allèle petit A au niveau"
"1530980","1534400"," de la génération N plus 1 est restée"
"1534400","1537820"," constante par rapport à la génération N."
"1537820","1545800"," Maintenant on va voir l'application de la"
"1545800","1549920"," loi de Hardy et Weinberg aux maladies autosomiques"
"1549920","1550760"," récessives. "
"1552000","1555700"," En effet cette loi permet de calculer la"
"1555700","1559500"," fréquence d'un gène récessif dans une population"
"1559500","1562920"," en équilibre de loi de Hardy et Weinberg."
"1563940","1567100"," Soit petit P la fréquence du gène grand"
"1567100","1570080"," A et petit Q la fréquence du gène"
"1570080","1570900"," petit A."
"1571780","1574140"," La fréquence dans la population des personnes petit"
"1574140","1579380"," A, petit A malades qui sont porteurs de"
"1579380","1582840"," l'allèle muté petit A à l'état"
"1582840","1585680"," homozygote est Q au carré."
"1586220","1589540"," Donc Q au carré est la fréquence des"
"1589540","1591180"," homozygotes malades. "
"1592180","1595300"," Grand R est la fréquence de la maladie"
"1595300","1598620"," dans la population tout en sachant que la"
"1598620","1601160"," fréquence d'une maladie est calculée de la"
"1601160","1602200"," manière suivante."
"1602620","1604520"," C'est le nombre de cas sur le"
