"start","end","text"
"710","3350"," Bonjour, c'est Dr Reis Hanan et nous"
"3350","6770"," allons étudier ensemble le cours intitulé l'œlymphome"
"6770","7710"," hautschkinien."
"11220","15700"," L'œlymphome hautschkinien est défini selon la classification"
"15700","19360"," de l'OMS 2016 comme étant une hémopathie"
"19360","23760"," maligne caractérisée par une prolifération de cellules tumorales"
"23760","30060"," de Redsternberg ou variante, entourée par une population"
"30060","37180"," cellulaire réactionnelle non néoplasique prédominante, faite d'une"
"37180","39860"," hyperplasie lymphoïde majoritaire T, c'est-à-dire"
"39860","44120"," exprimant l'anticorps anti-CD4, c'est-à "
"44120","46440","-dire cluster de différenciation 4, qui est un"
"46440","51280"," récepteur membranaire caractéristique des lymphocytes T, et aussi"
"51280","54360"," quelques lymphocytes B avec quelques plasmocytes."
"55100","58380"," Il est associé à la présence de granulomes"
"58380","62620"," iosinophiles et d'une sclérose en proportion variable. "
"65680","67780"," C'est une tumeur qui est fréquente, 30 "
"67780","68960","% des lymphomes."
"69600","72920"," Elle est exemplaire par son évolutivité clinique lente"
"72920","76720"," qui semble être contrôlée, limitée, lentant aux grands"
"76720","79260"," axes ganglionaires et à la rate."
"80360","83320"," Sa survenue qui touche l'adulte jeune entre"
"83320","85200"," 20 et 40 ans avec un autre pic"
"85200","86000"," à 60 ans. "
"86000","90160"," Sa sensibilité remarquable à la chimiothérapie qui lui"
"90160","95680"," confère la caractéristique de guérison, donc une sensibilité"
"95680","98400"," à la chimiothérapie et aussi à la radiothérapie."
"99560","104020"," Et son pronostic a été amélioré par les"
"104020","106000"," thérapeutiques actuelles."
"106800","109000"," Son diagnostic est anatomopathologique. "
"110300","115000"," L'anatomopathologique dit morphologique et immunohistochimique."
"115080","118300"," Une fois le diagnostic posé, le bilan d "
"118300","121320","'extension se base sur la classification d'un"
"121320","126600"," arbre modifié qui permet d'orienter le traitement"
"126600","127900"," à adopter."
"128360","130800"," C'est une tumeur qui est originale, comme"
"130800","131680"," on l'a dit au niveau de la"
"131680","134940"," définition, par des cellules tumorales malignes. "
"134940","137140"," Ce sont des cellules de Redsterberg ou variantes"
"137140","142040"," d'aspects caractéristiques originaires du centre germinatif des"
"142040","147160"," follicules secondaires qui sont indispensables au diagnostic, mais"
"147160","148140"," non pathognomoniques."
"148280","149740"," C'est-à-dire qu'on peut avoir"
"149740","153640"," des cellules qui ressemblent aux cellules de Redsterberg,"
"153840","156540"," mais qui peuvent être retrouvées dans la mononucléose"
"156540","160160"," infectieuse, dans un ganglion hyperplasique réactionnel à la"
"160160","161440"," mononucléose infectieuse."
"161440","167600"," L'atteinte ganglionaire est quasi constante, mais ce"
"167600","170040"," lymphôme Hodgkinien peut toucher tous les arbres. "
"171460","174060"," Déjà, l'OMS, c'est un des lymphômes"
"174060","176520"," Hodgkiniens en deux grandes catégories."
"176900","180200"," Une catégorie majoritaire qui est le lymphôme Hodgkinien"
"180200","184140"," classique qui représente 95% des lymphômes et"
"184140","187880"," une catégorie minoritaire, le lymphôme Hodgkinien nodulaire à"
"187880","192640"," prédominance lymphocytaire, anciennement appelé le POPMALENERT, qui représente"
"192640","194900"," 5% des lymphômes Hodgkiniens."
"195100","198640"," Ces deux lymphômes ont une clinique particulière, une"
"198640","202300"," évolution particulière et bien sûr un traitement distinct. "
"203340","206720"," Les objectifs du cours seront de définir le"
"206720","209460"," lymphôme Hodgkinien, de décrire une cellule de Redsterberg"
"209460","212080"," ou variante, de citer les différents types du"
"212080","213900"," lymphôme de Hodgkin selon la classification de l "
"213900","217040","'OMS 2016 et de connaître les critères diagnostiques"
