"start","end","text"
"0","3890"," Nous allons traiter aujourd'hui le cours des tumeurs de l'estomac."
"6760","9880"," Les cancers de l'estomac représentent 8% des cancers dans le monde."
"10680","15000"," Ce sont des cancers agressifs qui seraient plus mortels que le cancer du poumon. "
"16980","21100"," 90% des tumeurs malignes de l'estomac sont des carcinomes."
"21940","24700"," Le chef de file est l'adéno-carcino."
"27610","32850"," Les tumeurs de l'estomac comportent aussi deux autres tumeurs importantes à connaître. "
"34230","43370"," Ainsi, l'estomac est un important site des lymphomes extra-ganglionaires et des tumeurs stromales dites gistes."
"45620","49900"," Concernant les rappels anatomiques, l'estomac est subdivisé en plusieurs segments."
"50860","57520"," Le cardia, le fundus, l'antre et se termine dans le pylore. "
"59560","63620"," Sur le plan histologique, l'estomac comporte plusieurs couches."
"64800","73200"," Couches internes muqueuses, la sourd-muqueuse, une importante couche musculeuse regroupée en 3 faisceaux."
"74060","75820"," Oblique, circulaire et longitudinal. "
"76880","78680"," Et enfin, l'acéreuse."
"79400","84480"," Vous remarquez que dans l'estomac, l'acéreuse est présente à la différence de l'osophage."
"86510","91770"," Toujours sur le plan histologique, la muqueuse en surface comporte un épithélium mucosecrétin régulier. "
"92510","96270"," Et en profondeur, des glandes d'aspects différents."
"97010","101150"," Dans le fundus, on retrouve des cellules bordantes, sécrétant l'HCL."
"101750","105270"," Et dans l'antre, on retrouve des cellules mucosecrétantes. "
"107930","115790"," Concernant l'étude anatomopathologique des tumeurs de l'estomac, le matériel d'étude peut être des biopsies issues d'endoscopie."
"116830","120250"," Ces biopsies doivent être multiples de la lésion, 8 à 10 fragments."
"121130","123490"," Elles concernent principalement les lésions épithéliales. "
"124910","132530"," Les biopsies par endoscopie posent un problème du diagnostic des tumeurs beaucoup plus profondes, comme les tumeurs stromales."
"134190","143610"," Le deuxième matériel d'étude, toujours pour les tumeurs superficielles, comme pour les tumeurs de l'osophage, peut être la mucosectomie."
"145710","150890"," Souvent, dans les tumeurs évoluées, c'est la gastrectomie qui est le matériel d'étude. "
"151910","158390"," Cette pièce de gastrectomie s'accompagne d'un curage ganglionnaire, idéalement jusqu'à 15 ganglions."
"159710","168070"," Elle peut être partielle pour les tumeurs de l'antre ou totale pour les cancers proximaux ou du corps de l'estomac."
"169310","172630"," Cette gastrectomie est également totale pour les lignes gastriques. "
"174000","183460"," Dès qu'il s'agit d'une pièce opératoire, idéalement, la pièce opératoire doit être adressée fraîche ou être conditionnée convenablement."
"185920","201080"," Concernant le compte-rendu anatomopathologique, pour les mucosectomies, on précisera le type histologique, le grade de différenciation, le niveau d'infiltration de la tumeur dans la paroi et la qualité de l'exérèse."
"201080","218220"," Pour la pièce opératoire, le compte-rendu anatomopathologique précisera le type de la pièce, la localisation de la tumeur, le type histologique de la tumeur, le degré de différenciation, la réponse à un éventuel traitement,"
"218220","240160"," le niveau d'infiltration de la tumeur dans la paroi, l'atteinte ganglionaire, le nombre de gonglions prélevés, le nombre de gonglions métastatiques, le stade PTNM, la présence ou l'absence d'embole vasculaire et d'engainement périneur, la qualité de l'exérèse avec mesure des marges d'exérèse,"
"240160","253840"," la distance par rapport à la tumeur, et si une tumeur métastatique, on peut préciser le statut de l'HER2, est-ce que les cellules sont positives ou négatives. "
"255600","287270"," Sur cette diapositive est représentée la classification OMS des tumeurs de l'estomac, principalement les adénocarcinomes, les tumeurs stromales et les lymphomes. Encore une fois, dans le cours, il faudra retenir trois principales tumeurs, l'adénocarcinome, les lymphomes et les tumeurs stromales."
"290310","311770"," On commence par l'adénocarcinome, c'est la tumeur la plus fréquente. Plus de 90% des cancers gastriques sont des adénocarcinomes. L'âge moyen est assez élevé, 7ème décade. Une prédominance masculine est notée, avec 2,5% pour une femme en sexe ratio. "
"313170","330270"," Certaines lésions tissulaires précancéreuses sont reconnues, principalement la gastrite chronique atrophique, avec le cheminement suivant, métaplasie intestinale au niveau de la muqueuse gastrique, puis dysplasie, puis adénocarcinome."
"330270","342290"," Les autres lésions précancéreuses sont l'ulcère gastrite chronique et certains types particuliers, notamment la maladie du menétrier et le polype gastrique adénomate."
"342290","366170"," L'OMS a scindé la dysplasie en plusieurs catégories. La première est l'absence de lésions intraépithéliales ou dysplasies. La deuxième est la présence de lésions indéfinies. On ne peut trancher pour la présence ou l'absence d'une lésion intraépithéliale dysplasique de bas grade. "
"366730","383010"," Ce cas de figure se présente notamment lorsque le terrain inflammatoire est très important et que les atypies qu'on note, on ne peut les séparer entre des atypies précancéreuses de dysplasie ou des atypies inhérentes au simple terrain inflammatoire concomitant."
"383950","400170"," Après, lorsque la dysplasie est vraiment avérée, on la scinde en deux catégories. Dysplasie ou néoplasie intraépithéliale de bas grade ou néoplasie intraépithéliale ou dysplasie de haut grade. "
"402190","418350"," Cette diapositive permet de séparer l'aspect de la dysplasie de bas grade avec celle de la dysplasie de haut grade. Pour la dysplasie de haut grade, les atypies sont franches et nettes. Il n'y a pas d'aspect de cellules normales à côté des cellules atypiques. "
"419270","436030"," Dans la dysplasie de bas grade, nous avons des cellules avec des noyaux atypiques chevauchés et à proximité, nous avons des cellules dont la sécrétion est conservée et les noyaux en position basale. Il s'agit donc ici d'une dysplasie de bas grade."
"437570","461490"," Encore une fois, dysplasie de bas grade avec les noyaux en position basale, un petit peu ascensionnés mais avec une sécrétion qui est encore présente et une dysplasie de haut grade où les noyaux sont dans tous les niveaux, en position basale et en position plus haute, atypiques, augmentés de taille et la micro-sécrétion est quasiment absente. "
"463250","482750"," L'adénocarcinome est plus fréquemment retrouvé dans certains pays du monde, notamment le Japon, le Chili, l'Italie et la Chine. La prédominance masculine est nette. Deux patients sur trois atteints de cancer de l'adénocarcinome de l'estomac sont des hommes. "
"484440","505400"," Assez souvent, on retrouve des antécédents soit de chimiothérapie ou de radiothérapie chez les patients développant un adénocarcinome gastrique. La tumeur reste assez souvent asymptomatique jusqu'à ce qu'elle se révèle par des symptômes qui peuvent être nombreux allant jusqu'au maximum à une métastase suclaviculaire."
"506760","533160"," Il siège plus fréquemment au niveau du pilaure et de l'antre que dans le cardiaque. Plus fréquemment dans la petite courbure que la grande courbure. Un adénocarcinome superficiel chez un patient est de bon pronostic 95% de survie. Lorsque le cancer est plus évolué, plus profond, la survie tombe à 20%. "
"534340","550400"," Ceci a conduit le Japon à mener une politique d'endoscopie de masse pour essayer de diagnostiquer le plus tôt possible l'adénocarcinome. Dans ce pays, 35% des adénocarcinomes gastriques sont des cancers superficiels."
"552220","578860"," Sur le plan macroscopique, l'adénocarcinome se présente par une tumeur ulceroburgeonnante avec un centre ulcéré et une méfiance périphérie avec des borsures élevées et souvent on retrouve des remaniements hémorragiques. Deux photos, l'adénocarcinome de l'estomac superficiel est beaucoup plus évolué en profondeur."
"580560","610120"," Deux aspects particuliers de l'adénocarcinome de l'estomac. Ici l'aspect mucineux, luisant de l'adénocarcinome. Et là, aspect particulier au niveau du siège, au niveau de la jonction oesocastrique. La difficulté ici n'est pas de faire le diagnostic mais plutôt de faire la part entre un adénocarcinome de l'estomac ou un adénocarcinome de l'oesophage."
"611340","633940"," Dans ce cas de figure, on fera un examen approfondi de l'estomac, de l'oesophage pour éventuellement rechercher des signes d'endobrachiosophage qui peuvent nous orienter plutôt vers l'oesophage ou au contraire l'absence de ces signes là qui pourraient alors suggérer que c'est un abdécar de l'estomac. "
"635580","654670"," Sur le plan microscopique, il s'agit d'une prolifération tumorale de type glandulaire, c'est à dire qu'il y a présence de tubes ou de structures glanduliformes qui ressemblent à des glandes, des amas avec plein de trous ressemblant à des glandes."
"656360","684540"," L'aspect histologique se rapproche de celui de l'adénocarcinome colique de type intestinal, donc présence de mucines en surface, des vacuoles de mucines qui sont évidentes notamment à l'HE mais aussi en coloration spéciale. L'aspect peut être variable, du très différencié avec beaucoup de glandes au très peu différencié ou solide où il y a très peu de glandes. "
"685100","708380"," Un aspect particulier de l'adénocarcinome, c'est lorsqu'il est riche en mucines, il y a énormément de sécrétion de mucines en extracellulaire, c'est ce cas de figure là, c'est dite la variante mucineuse. Pour la mettre en évidence encore plus, on peut céder d'une coloration spéciale qui est le bleu à la cion, qui marque la mucine."
"710010","736110"," En termes d'adénocarcinome, on a l'adénocarcinome conventionnel qu'on a vu dans les diapos précédentes, mais on a une forme particulière qu'on appelle la lignite gastrique ou lignite plastique. C'est une forme particulière d'adénocarcinome qui est repérable déjà en macroscopie. Le chirurgien quand il opère, il voit la forme déformée de l'estomac, il suspecte déjà ce type particulier."
"736110","753280"," C'est une tumeur qui n'est pas si fréquente que ça, 5%, mais qui a un très mauvais pronostic. Le diagnostic peut être difficile du fait de la localisation des cellules tumorales comme on verra en histologie."
"754920","775960"," Sur le plan macroscopique, l'estomac est déformé sur sa totalité ou sur une partie seulement de l'estomac. Il est à paroi rigide, épaisse, tunnelé. Cet aspect particulier peut causer une obstruction au niveau du pylore."
"776840","786320"," L'effet extrêmement intéressant c'est que la muqueuse est peu altérée. Il n'y a pas une tumeur évidente au niveau de la muqueuse parce que l'infiltration est beaucoup plus surnoise dans la pavloie. "
"788840","800700"," Sur le plan microscopique, cette prolifération carcinomateuse est particulière. Elle est faite de cellules isolées pour un bague à chatons."
"801320","815820"," C'est des cellules qui sont en apes diffuse avec un noyau qui est refoulé en périphérie et un cytoplasme riche en mucines. Cet aspect particulier donne à la cellule le terme de bague à chatons."
"815820","832300"," Cette infiltration sournoise qui pénètre dans la paroi s'accompagne d'une importante fibrose. Cette fibrose est responsable de la déformation macroscopique particulière de la lignite gastrique. "
"835280","846360"," Après avoir parlé des deux types principaux d'adénocarcinome, l'adénocarcinome conventionnel et la lignite gastrique, on va passer en revue rapidement certaines variantes d'adénocarcinome."
"847200","856600"," Adénocarcinome dit médulaire dont la caractéristique principale est qu'il s'accompagne d'un stroma riche en cellules lymphoïdes dit stroma lymphoïde."
"859380","868380"," Un adénocarcinome où les cellules tumorales ont un aspect similaire aux cellules du foie donc dit adénocarcinome variante hépatoïde. "
"868380","885590"," Une variante intéressante qui allie deux composantes tumorales glandulaire et squameuse ou malpiguienne. On appelle à ce moment là le carcinome adénosquameux."
"886470","898290"," Enfin il existe des situations où l'adénocarcinome est vraiment très très peu différencié qu'on ne peut pas la reconnaître à l'histologie en microscopie optique. "
"899390","908350"," On doit s'aider de l'immunohistochimie pour montrer l'origine glandulaire. A ce moment là c'est un carcinome plutôt indifférencié."
"910490","921690"," Comme pour les tumeurs de l'osophage, l'adénocarcinome lui aussi regroupe une entité superficielle ou cancer superficiel de l'estomac. "
"922470","938270"," C'est lorsque la tumeur est limitée à la muqueuse ou à la sous-muqueuse. Elle est classée T1 sur la classification TNM. Elle se caractérise par un nombre faible de métastases ganglionaires 20%. "
"939710","952030"," La présence d'un cancer superficiel de l'adénocarcinome peut pousser à la réalisation d'une mucosectomie comme pour l'osophage à but diagnostique et thérapeutique."
"952990","966570"," Il faut juste s'assurer que c'est une tumeur qui est limitée à la muqueuse et à une partie résécable de la sous-muqueuse et cela en cédant de l'écho-endoscopie."
"969360","973980"," Aspect histologique de l'adénocarcinome dans sa variante superficielle. "
"974940","988480"," Prolifération tumorale avec des glandes qui est limitée à la muqueuse. La musculaire muqueuse et la sous-muqueuse est un DM de la prolifération. Il s'agit donc d'un cancer superficiel. "
"990730","997050"," C'est la classification TNM en vigueur concernant les tumeurs gastriques."
