"start","end","text"
"2310","8010"," Bonjour, ce cours est dédié au rhématisme abarticulaire."
"10160","12500"," Les objectifs pédagogiques, c'est de connaître la"
"12500","13460"," structure atteinte."
"14060","18040"," Ici, on va parler des atteintes qui touchent"
"18040","21200"," les tendons et les ligaments qui sont autour"
"21200","22220"," de l'articulation. "
"23120","25420"," De connaître les éléments qui orientent vers le"
"25420","27960"," diagnostic positif et le diagnostic éthiologique."
"28600","32040"," De savoir reconnaître les localisations les plus fréquentes,"
"32280","34420"," donc on va commencer par les localisations au"
"34420","37600"," niveau du membre supérieur puis au membre inférieur,"
"38700","41400"," et de connaître les principes du traitement."
"44090","44830"," Alors, qu'est-ce que c'est qu "
"44830","46490","'un rhématisme abarticulaire?"
"46730","50890"," C'est un ensemble d'affections, rhématismales, hétérogènes,"
"51590","55030"," qui intéressent les différents tissus qui entourent l "
"55030","59090","'articulation, d'où le suffixe ""-ab-"" qui veut"
"59090","61490"," dire, en latin, à côté d'eux. "
"61490","64230"," Donc, il peut s'agir d'une structure"
"64230","67250"," tendineuse, et dans ce cas-là, on parle"
"67250","68250"," de tendinopathie."
"69170","72130"," Ça peut être une atteinte qui touche la"
"72130","76030"," gaine synoviale dans laquelle glisse le tendon, et"
"76030","77770"," dans ce cas-là, on parle de tendon"
"77770","80610"," synovite, comme il peut s'agir d'une"
"80610","83770"," atteinte de la bourse qui est située entre"
"83770","85490"," le tendon et l'os, et dans ce"
"85490","88270"," cas, on parle de bursopathie ou bien de"
"88270","88870"," bursite."
"89710","92830"," On ajoute à ces affections que je viens"
"92830","97110"," de citer, également l'atteinte des apolévroses et"
"97110","97670"," des ligaments. "
"100560","102940"," Comment on fait le diagnostic positif?"
"103700","108920"," Les manifestations cliniques dont je vais parler sont"
"108920","112980"," communes à l'ensemble de la pathologie abarticulaire."
"114500","117720"," Le maître symptôme étant la douleur, cette douleur"
"117720","120360"," a un certain nombre de caractéristiques symbiologiques."
"120960","121780"," 1."
"121960","124820"," Elle est localisée à l'insertion tendineuse et"
"124820","128120"," peut parfois irradier sur le trajet du tendon,"
"129820","134180"," selon l'étiologie et les mécaniques mixtes ou"
"134180","139900"," franchement inflammatoires, avec une importance fonctionnelle variable selon"
"139900","142600"," l'intensité de la douleur et selon la"
"142600","143340"," localisation. "
"144120","144680"," 2."
"144680","146900"," A l'examen, et ça c'est quelque"
"146900","151040"," chose qui est commun à toute la pathologie"
"151040","154240"," abarticulaire et surtout à toutes les tendinopathies, c "
"154240","156420","'est que nous avons à l'examen clinique"
"156420","157980"," une douleur à la pression directe de l "
"157980","160900","'endroit douloureux, l'ocodolancie, ça veut dire que"
"160900","163920"," vous appuyez sur l'insertion du tendon, ça"
"163920","166960"," réveille la douleur, la douleur est également réveillée"
"166960","169100"," par la mise en tension du muscle par"
"169100","172740"," la contraction isométrique, et enfin la douleur est"
"172740","174840"," réveillée par des mouvements contrariés."
"175340","179020"," A titre d'exemple, une douleur de l "
"179020","184660","'insertion du muscle du biceps, donc vous aurez"
"184660","187240"," une douleur à la pression directe à l "
"187240","191100","'insertion du tendon, vous avez une douleur lorsque"
"191100","193840"," vous mettez, vous demandez au patient de faire"
"193840","196380"," une flexion de l'avant-bras sur le"
"196380","200460"," bras, la flexion contrariée, et lorsque vous mettez"
"200460","204540"," en contraction isométrique en tension le muscle du"
"204540","206000"," quadriceps, du biceps."
"206900","210520"," Alors parfois, dans certaines pathologies, on peut observer,"
"211320","214640"," qu'on regarde de cette région, un kyste"
"214640","218860"," visible de consistance rémittante parce qu'il est"
"218860","222080"," plein de liquide, parfois en cas de tenoskénovite,"
"222260","225880"," on peut observer une sorte de tumefaction oblongue,"
"225960","230500"," fusiforme, qui crépite à la mobilisation, ce qu "
"230500","233900","'on appelle aïe crépitant, et qui en fait"
"233900","236620"," est due au bruit que fait le tendon"
"236620","241900"," lorsqu'il glisse dans sa gaine synoviale. "
"242740","246180"," Fait important, s'agissant d'une pathologie abarticulaire,"
"246720","250960"," l'articulation demeure livre et indolore à la"
"250960","254640"," mobilité passive et elle est uniquement douloureuse à"
"254640","255500"," la mobilité active."
"256560","261760"," Les examens complémentaires devant une pathologie abarticulaire, on"
"261760","265120"," demande généralement des paramètres de l'inflammation en"
"265120","267080"," cas de doute sur une origine inflammatoire ou"
"267080","271000"," infectieuse, la glycémie lorsqu'il s'agit d "
"271000","273820","'un diabétique, parce qu'on verra que ces"
"273820","277200"," pathologies sont souvent fréquentes chez les diabétiques, un"
"277200","279400"," bilan des menstazes lorsque le malade est sous"
"279400","282880"," antivitamin K si on veut faire une infiltration,"
"283660","286440"," et un bilan éthiologique en fonction de l "
"286440","287880","'éthiologie qu'on suspecte."
"289560","292720"," Pour l'hémangérie, les radiographies standards sont souvent"
"292720","295620"," normales, mais il arrive parfois qu'on note"
"295620","299640"," soit une calcification, une ossification par exemple, vous"
"299640","303940"," voyez en haut une calcification du tendon du"
"303940","307800"," supraépineux, ou bien un épicisme périocyté au niveau"
"307800","310940"," de l'enthèse, comme vous voyez ici, vous"
"310940","315720"," avez une enthésopathie du tendon achilien et une"
"315720","320080"," enthésopathie de la polévrose plantaire, la première est"
"320080","323960"," postérieure, la deuxième est inférieure, parfois on peut"
"323960","327340"," voir des signes indirects de rupture, comme on"
"327340","329500"," l'a vu, une rupture de la coiffe"
"329500","333160"," du rotateur peut donner parfois une ascension de"
"333160","336720"," la tête humérale avec la disparition de l "
"336720","338360","'espace acromio-huméral. "
"339020","340980"," Et là je vous demande de vous référer"
"340980","343080"," au cours sur la douille de l'épaule."
"343980","345740"," Alors l'échographie, c'est un examen qui"
