"start","end","text"
"1670","4250"," Chers étudiants, aujourd'hui nous allons voir les"
"4250","5210"," fractures de la main."
"6530","9490"," La main est capable d'exécuter d'innombrables"
"9490","13770"," actions, une grande richesse fonctionnelle qui lui procure"
"13770","16930"," une surabondance dans les positions, les mouvements et"
"16930","17470"," les actions."
"18370","21550"," Donc vous imaginez devant un traumatisme, devant une"
"21550","24870"," fracture, il va y avoir des modifications de"
"24870","27990"," l'architecture ou bien de l'anatomie, de"
"27990","29670"," la physiologie des métacarpiens. "
"29670","33370"," Ceci va entraîner l'altération de cette fonction."
"34130","36290"," Donc le but de ce cours, c'est"
"36290","39890"," de pouvoir savoir faire le diagnostic mais aussi"
"39890","42330"," la prise en charge des fractures de la"
"42330","43910"," main pour éviter ces complications."
"48300","50280"," Là, il s'agit d'un patient de"
"50280","52380"," 24 ans qui a été admis aux urgences"
"52380","53720"," suite à un accident de moto. "
"54940","58080"," Il a présenté un traumatisme fermé du cinquième"
"58080","58820"," doigt gauche."
"58820","61740"," Donc on voit juste des écorchures qui sont"
"61740","64300"," superficielles, donc il n'y a pas de"
"64300","69280"," lésions apparemment évidentes sous-jacentes."
"70000","72340"," Alors quel est l'objectif ou là quels"
"72340","74920"," sont les objectifs du traitement ?"
"77000","78600"," Donc c'est la connaissance parfaite de l "
"78600","81040","'anatomie de la main et là je pense"
"81040","84820"," qu'on avait déjà vu ça durant les"
"84820","87020"," cours précédents. "
"87020","91380"," Donc le squelette de la main, les éléments"
"91380","100280"," musculotendineux, basculonerveux et cutanés qui constituent les éléments"
"100280","102380"," importants au niveau de la main."
"105320","108700"," Comment poser un diagnostic clinique et radiologique ?"
"108700","114260"," Donc savoir classer les différentes fractures qui siègent"
"114260","116020"," soit au niveau des métacarpiens ou au niveau"
"116020","122720"," des phalanges et bien évidemment traiter une fracture"
"122720","124100"," de la main."
"127539","129460"," Alors les fractures de la main, ce sont"
"129460","133400"," toutes fractures qui vont intéresser on dira la"
"133400","136100"," deuxième rangée du cas mais surtout les métacarpiens"
"136100","137480"," et les phalanges. "
"138360","140760"," Ce sont des lésions qui sont fréquentes, elles"
"140760","144360"," se voient chez l'adulte jeune, actives suite"
"144360","146000"," à des accidents de sport mais on peut"
"146000","149020"," aussi voir suite à des accidents de la"
"149020","152840"," voie publique, suite à des agressions, suite à"
"152840","153760"," des imprudences."
"154700","157620"," Le diagnostic est essentiellement clinique, il est confirmé"
"157620","159920"," par des radiographies et là au niveau de"
"159920","162920"," la main, vu la superposition des métacarpiens, on"
"162920","165600"," ne demandera pas que des radiographies de face"
"165600","167880"," et de profil mais on en rajoutera une"
"167880","170040"," radiographie de trois quarts."
"171620","174380"," Le but du traitement c'est permettre une"
"174380","180500"," stabilisation et qui va permettre une mobilisation précoce,"
"180960","185900"," élément important pour éviter la raideur articulaire ainsi"
"185900","187700"," que les calvitieux rotatoires. "
"188200","191420"," Donc c'est la mobilisation précoce qui est"
"191420","193740"," l'élément le plus important."
"199000","202120"," Le métacarp constitue avec le carp un socle"
"202120","205240"," rigide à partir duquel s'organisent les chaînes"
"205240","208420"," digitales, une région de passage pour les éléments"
"208420","211080"," vasculonerveux et tendineux de la main."
"212280","215540"," Donc on va y avoir les quatre doigts"
"215540","219520"," lents assimilables à une chaîne articulée avec quatre"
"219520","227800"," pièces osseuses, le métacarpien, les trois phalanges ainsi"
"227800","232180"," que trois articulations, l'articulation métacarpophalangienne et l "
"232180","236320","'articulation interfalangienne proximale et distale. "
"239610","242910"," La main possède deux fonctions principales de très"
"242910","246190"," grande précision, c'est la possibilité d'opposition"
"246190","250490"," du pouce, donc la préhension, et la réception"
"250490","253390"," sensorielle qui est le tact ou le toucher."
"254170","256769"," Ceci se fait grâce à des arches qui"
"256769","262830"," sont constituées par une arche longitudinale mobile en"
"262830","269220"," fonction du jeu des surfaces articulaires, celle-là,"
"270120","277020"," interfalangienne et métacarpophalangienne, une arche transversale proximale qui"
"277020","280780"," présente une forte concavité antérieure et une arche"
"280780","284980"," distale qui présente une grande capacité d'adaptation"
"284980","288340"," du fait de la mobilité des métacarpiens externes,"
"288460","290100"," le premier et le cinquième."
"291120","295360"," Donc on doit opposer la mobilité de M4,"
"295460","297400"," M5, M2 et M3. "
"300180","306780"," Un élément important à connaître, c'est la"
"306780","309880"," clé de route des deux arches transversales qu "
"309880","310660","'on a vues tout à l'heure."
"310800","312920"," Elles vont se trouver situées au niveau des"
"312920","318680"," articulations métacarpophalangiennes et donc dans l'épaisseur des"
"318680","322520"," capsules, l'intérieur va empêcher l'hyperextension."
"323160","324700"," C'est la plaque palmaire au niveau des"
"324700","328380"," métacarpophalangiennes qui va limiter l'hyperextension. "
"328380","330580"," Il faut savoir aussi que les doigts en"
"330580","334560"," flexion ne sont pas parallèles, ils vont converger"
"334560","336580"," vers le même plan, qui est le tuvacule"
"336580","338160"," du scaphoid."
"340160","344620"," Chose importante, lors des traitements des fractures de"
"344620","346920"," la main, notamment des métacarpiens ou des phalanges,"
"347600","350320"," il faut toujours faire attention à ce qu "
"350320","352680","'il n'y ait pas d'accourcissement du"
"352680","355680"," rayon, voire disparition du relief de la tête"
