"start","end","text"
"4300","10620"," Bonjour, dans le cadre de la pathologie de"
"10620","15860"," l'appareil locomoteur, de la partie traumatologie, nous"
"15860","18920"," allons étudier les fractures du fémur."
"20020","23500"," Pourquoi nous nous intéressons aux fractures du fémur"
"23500","24080"," ?"
"24760","28140"," D'une part parce que c'est une"
"28140","31299"," pathologie de plus en plus fréquente, vu l "
"31299","34040","'augmentation du nombre d'accidents de la voie"
"34040","38680"," publique, des accidents de travail, on peut le"
"38680","40940"," voir aussi dans le cadre de tentatives de"
"40940","42540"," suicide, de défenestration."
"42540","46920"," En général, ce sont des traumatismes qui surviennent"
"46920","52580"," après un accident ou un traumatisme à haute"
"52580","53140"," énergie. "
"53480","55380"," Ce sont des traumatismes violents."
"55380","58480"," On va voir que le mécanisme peut être"
"58480","64580"," direct sur le fémur, sur la cuisse, et"
"64580","69140"," généralement ça donne énormément de dégâts, que ce"
"69140","73120"," soit vasculos, nerveux, musculaires, ou le mécanisme peut"
"73120","75920"," être indirect, et on va voir les lésions"
"75920","77160"," associées."
"77160","81660"," Généralement, il y a deux pics de fréquence"
"81660","83500"," en fonction de l'âge. "
"84140","87740"," Généralement, c'est les jeunes après un traumatisme"
"87740","88660"," à haute énergie."
"89160","89620"," Pourquoi ?"
"89620","93160"," Parce qu'il faut une énergie importante pour"
"93160","94420"," fracturer un fémur."
"94420","96900"," Sinon, il y a les sujets âgés. "
"97420","99220"," Il y a un deuxième pic à 80"
"99220","104160"," ans qui survient sur un os fragilisé par"
"104160","105200"," l'ostéoporose."
"106920","111740"," C'est un traumatisme violent, généralement, d'où"
"111740","116220"," la nécessité de rechercher les lésions associées qui"
"116220","117980"," sont souvent fréquentes."
"121020","125680"," Devant un patient qui présente un traumatisme du"
"125680","129500"," fémur, généralement, le diagnostic n'est pas difficile. "
"130620","133380"," Pour poser le diagnostic du fémur, c'est"
"133380","136180"," simple, on va le voir, mais c'est"
"136180","139620"," un patient généralement qui est admis en état"
"139620","139960"," de choc."
"139960","143560"," Comme vous le savez, le fémur est un"
"143560","149080"," os lent, volumineux, ce qui fait que les"
"149080","152560"," pertes sanguines sont importantes."
"153100","156760"," On estime qu'un fémur saigne à peu"
"156760","157940"," près un litre et demi. "
"159660","163280"," Le patient peut être admis dans un état"
"163280","165580"," de choc, d'où la nécessité de mise"
"165580","167540"," en condition première du patient."
"168020","170900"," Après, on va faire notre examen classique qui"
"170900","175240"," va être fait de l'anamnèse, les circonstances"
"175240","177160"," du traumatisme."
"177160","181540"," Généralement, c'est très douloureux. "
"181880","184400"," Il y a une impotence fonctionnelle totale."
"184680","189580"," L'examen physique est pauvre en matière d "
"189580","193640","'ostéo-articulaire, en matière de pathologie ostéo-articulaire,"
"193800","195580"," surtout les fractures, parce qu'on ne peut"
"195580","196500"," pas mobiliser."
"197220","202460"," On se limite à l'inspection du segment"
"202460","203840"," concerné. "
"204520","207100"," Généralement, il y a une déformation, un raccourcissement,"
"207360","209400"," une crosse, beaucoup de dents."
"210440","213200"," Lors de l'autre inspection, on va voir"
"213200","215600"," l'état cutané qui est un élément pronostique."
"215600","221740"," Ne jamais oublier l'examen vasculonerveux en aval,"
"222860","226560"," c'est les pots périphériques, la sensibilité des"
"226560","231340"," territoires, que ce soit crural, obturateur, sciatique au"
"231340","232620"," niveau du membre inférieur. "
"232620","239080"," Cet examen va être toujours associé à un"
"239080","246520"," examen général, surtout thoracique, abdominal, crânien, rachidien, parce"
"246520","252180"," qu'en général, on part du principe que"
"252180","256660"," tout traumatisé du fémur ou tout fracturé est"
"256660","260440"," un polytraumatisé jusqu'à preuve du contraire."
"260440","262220"," L'objectif, c'est d'éliminer les lésions"
"262220","266900"," qui peuvent engager le pronostic vital du patient."
"269940","277120"," L'évaluation initiale, elle va rechercher le choc"
"277120","281980"," hypovolymique, les lésions cutanées, je reprends les lésions"
"281980","286760"," cutanées qui représentent 10% de complications, les"
"286760","290460"," lésions vasculaires, les lésions neurologiques et l'examen"
"290460","292000"," à 10%. "
"293890","298990"," Une fois la fracture du fémur suspectée, nous"
"298990","301090"," allons demander un bilan radiologique."
"301610","305550"," Le bilan radiologique est fait d'une radio"
"305550","309450"," du fémur entier, de face et de profil,"
"313230","318650"," associé à un bilan des articulations sus et"
"318650","319290"," sous-jacentes."
"319290","320950"," Sous-jacente, c'est la hanche. "
