"start","end","text"
"1160","3860"," Aujourd'hui je vais vous traiter le chapitre"
"3860","6220"," les traumatismes osteoarticulaires du coude."
"6660","7720"," Alors qu'est-ce qu'on entend par"
"7720","9540"," traumatisme osteoarticulaire du coude ?"
"9540","11840"," C'est l'ensemble des lésions post-traumatiques"
"11840","15300"," intéressants à la fois l'os et les"
"15300","20480"," interlignes articulaires de cette articulation intermédiaire du membre"
"20480","21000"," supérieur."
"21820","24420"," Il comprendra plusieurs sous-chapitres, à savoir les"
"24420","26540"," fractures de la palée pulvérale, les fractures de"
"26540","28440"," l'écran, l'annexation du coude et les"
"28440","30280"," fractures de la tête radiale. "
"31910","36310"," Les objectifs de ce cours, c'est énumérer"
"36310","39650"," les principaux aspects des traumatismes osteoarticulaires du coude,"
"40630","44030"," en faire le diagnostic radioclinique, rechercher les complications"
"44030","48410"," immédiates, décrire les complications évolutives spécifiques pour chacun"
"48410","52810"," des aspects qui peuvent revêtir ces traumatismes et"
"52810","55690"," connaître les principes du traitement pour chaque type"
"55690","58410"," de traumatisme osteoarticulaire du coude."
"59920","62480"," Nous commencerons par un rappel anatomique."
"62700","64340"," Il faut savoir qu'au niveau du coude,"
"66020","67900"," il y a la mise en jeu de"
"67900","70600"," trois os, à savoir l'humerus, l'ulna"
"70600","74380"," et le radius, à la part leurs extrémités,"
"74460","76400"," à savoir l'extrémité inférieure de l'humerus"
"76400","82620"," avec ses surfaces articulaires latoclés, médiales, et le"
"82620","85920"," capitel homme ou surface articulaire du condyle externe. "
"85920","87900"," Et au niveau de l'ulna, la grande"
"87900","94080"," cavité sigmoïde, la partie haut des crânes qui"
"94080","98020"," est non cartilagineuse et la tête radiale cupuliforme,"
"98140","99920"," comme vous le savez très bien."
"101680","104520"," Alors l'articulation du coude, hormis les surfaces"
"104520","105880"," articulaires des extrémités, il y a bien sûr"
"105880","109060"," des moyens d'union, notamment ligament latéral interne,"
"109100","113260"," ligament latéral externe, la capsule qui est très"
"113260","114560"," développée en postérieure."
"116640","118420"," Il y a des rapports anatomiques au niveau"
"118420","121980"," de ce coude, notamment vasculaire, à savoir l "
"121980","125100","'artère humérale, élément très important qui risque d "
"125100","128160","'être lésé pendant ce traumatisme, ou encore des"
"128160","130540"," rapports nerveux et trois nerfs principaux du monde"
"130540","131020"," supérieur. "
"131020","133520"," Alors le nerf inné qui passe en arrière"
"133520","138260"," au niveau de la gouttière épitrocléo-olécranienne et"
"138260","141080"," le nerf médian qui passe au niveau de"
"141080","144360"," la gouttière bicipitale interne et la branche sensitive"
"144360","148620"," du nerf radial, la branche antérieure, qui passe"
"148620","151460"," au niveau de la gouttière bicipitale externe."
"151600","153080"," Tous ces éléments-là risquent d'être lésés"
"153080","155500"," en cas de traumatisme du coude."
"155700","158180"," Il faut retenir et se rappeler ces structures"
"158180","158820"," anatomiques. "
"159580","162600"," Aujourd'hui je vous présente les fractures de"
"162600","163480"," la palette numérale."
"163580","165020"," Alors les fractures de la palette numérale, ce"
"165020","168880"," sont des fractures épiphysaires, peuvent être articulaires comme"
"168880","171400"," elles peuvent ne pas l'être."
"173920","175960"," Ce sont des fractures qui intéressent l'extrémité"
"175960","178140"," inférieure du numérus, elles peuvent être articulaires comme"
"178140","181040"," elles ne peuvent pas être articulaires, avec une"
"181040","184160"," limite supérieure qui est l'insertion distale du"
"184160","186060"," braquial antérieur. "
"187920","191180"," Elles entravent ou mettent en jeu le pronostic"
"191180","195020"," fonctionnel du coude, d'où le risque de"
"195020","197360"," raideur du coude, et chez l'enfant une"
"197360","201040"," particularité c'est la croissance vicieuse au niveau"
"201040","202180"," de cette extrémité inférieure."
"202780","205640"," Au niveau du chapitre à la patte, on"
"205640","207940"," peut dire qu'au niveau des lésions osseuses"
"207940","211120"," on peut avoir des fractures supracondyniennes qui seront"
"211120","218000"," extra-articulaires, les fractures intercondyniennes qui vont donner"
"218000","220400"," une solution entre les deux condyles, les fractures"
"220400","224740"," suces et internes, elles vont détacher la diaphyse"
"224740","231060"," de l'épiphyse avec des fragments épiphysaires en"
"231060","233040"," plus, les fractures condylières n'intéressant qu'un"
"233040","235560"," seul condyle, ou bien encore la fracture de"
"235560","235940"," l'acropole."
"235940","238520"," Voici l'illustration de ce que j'ai"
"238520","241040"," dit lors de la première diapositive, les différents"
"241040","244060"," types avec les fractures a-unicondynelles, le type"
"244060","247500"," condyle externe ou condyle inter, suces et intercondyles"
