"start","end","text"
"1100","3700"," Fractures du scaphoïd sont les fractures les plus"
"3700","5420"," fréquentes des eaux du Carpe."
"7060","9760"," Leur particularité c'est qu'elles se consolident"
"9760","14060"," lentement allant jusqu'à plus de 3 mois."
"14640","17720"," Elles touchent surtout le sujet jeune, actif et"
"17720","20320"," avec un risque très élevé de pseudarthrose. "
"20860","22800"," Les objectifs de ce cours c'est définir"
"22800","25960"," les spécificités des fractures du scaphoïd carpien, en"
"25960","29900"," établir un diagnostic radioclinique, citer et décrire les"
"29900","33740"," complications, citer les formules cliniques, citer les principes,"
"34440","38000"," buts, complications du traitement et en définir le"
"38000","38620"," pronostic."
"39200","43140"," On commencera par un rappel anatomique, notamment la"
"43140","46760"," vascularisation du scaphoïd, c'est une vascularisation de"
"46760","51780"," type terminal et elle vascularise essentiellement la partie"
"51780","54400"," inférieure, de ce fait la partie polaire est"
"54400","57800"," peu vascularisée, d'où la fréquence des nécroses,"
"58480","61020"," des fractures polaires du scaphoïd, on verra ça"
"61020","63140"," dans le chapitre anapath."
"63819","66380"," Sur le plan épidémiologique, la fracture du scaphoïd"
"66380","69420"," constitue la fracture la plus fréquente du cas"
"69420","73620"," fortiquement 70% et suivie par le trichéthrome,"
"73740","75720"," l'âge, c'est surtout le sujet jeune,"
"75780","78900"," adulte, très rare chez l'enfant, exceptionnel sur"
"78900","81380"," le sujet âgé, c'est surtout l'extrémité"
"81380","84180"," inférieure du radius qu'on voit, elles touchent"
"84180","86360"," essentiellement le sexe masculin. "
"86360","90340"," C'est un mécanisme indirect par l'hyper "
"90340","93860","-extension du poignet avec la chute sur la"
"93860","96720"," pointe de la main, avec une inclinaison radiale"
"96720","101020"," et la pronation, le scaphoïd se retrouve sous"
"101960","107080"," l'extrémité inférieure du radius comme une enclume"
"107080","109440"," sur laquelle va s'écraser ce radius."
"112040","115160"," Sur le plan anapath, le trait de fracture,"
"115640","119240"," dans 70% des cas, intéresse le col,"
"119860","123440"," elles peuvent être transversales, horizontales ou verticales, dans"
"123440","126880"," 20% des cas, le CS est au"
"126880","129160"," niveau du pôle supérieur et plus rarement dans"
"129160","131500"," les 10% des cas, la base de"
"131500","131980"," cet os."
"133320","136120"," Les caractéristiques du trait de fracture, c'est"
"136120","139600"," que c'est un trait souvent simple, il"
"139600","141320"," est très exceptionnel de se retrouver avec des"
"141320","144640"," fractures comminutives, le trait est oblique, horizontal dans"
"144640","147860"," 47% des cas, ou perpendiculaire à l "
"147860","150080","'axe de l'os dans 70% des"
"150080","153340"," cas, le trait est oblique vertical dans 3 "
"153340","154960","% des cas, c'est à dire que"
"154960","156960"," c'est l'entité la plus rare. "
"157860","159760"," Il y a plusieurs classifications des fractures du"
"159760","162560"," scaphoïd, je vous présente juste la classification de"
"162560","166260"," Schoenberg, il est réparti en 6 types, le"
"166260","168900"," type 1 c'est polaire supérieur, le type"
"168900","171320"," 2 et 3 c'est corporeal, c'est"
"171320","174640"," à dire le corps du scaphoïd, 2 c "
"174640","177660","'est corporeal haut, 3 c'est corporeal bas,"
"178280","181360"," 4 c'est transtuberositaire pratiquement au milieu, le"
"181360","182820"," type 5 c'est au niveau du pied"
"182820","184780"," et le type 6 c'est surtout les"
"184780","186480"," fractures du tubercule distal."
"187180","189660"," Les fractures du scaphoïd peuvent se déplacer, dans"
"189660","192520"," 50% des cas le déplacement est absent,"
"193080","195440"," dans certains cas on retrouvera une bascule du"
"195440","198780"," fragment distal en avant avec rotation, ce qui"
"198780","201040"," permet de décrire des fractures stables et des"
"201040","202420"," fractures instables."
"203680","205380"," Associées à ces fractures on peut retrouver des"
"205380","208160"," lésions ligamentaires, notamment les lésions de ligaments radiocarpien"
"208160","212960"," ou intercarpien, comme des lésions de type luxation"
"212960","214640"," périlunarienne comme on l'a vu dans le"
"214640","216640"," chapitre de luxation périlunarienne. "
"217600","222040"," A l'étape clinique, l'interrogatoire va retrouver"
"222040","225320"," une notion de traumatisme du poignet, le tableau"
"225320","228300"," clinique est peu parlant, on retrouvera une douleur"
"228300","232520"," discrète du poignet, la notion de chute en"
"232520","235860"," hyperextension, autre particularité c'est qu'il n "
"235860","238820","'y a pas d'importance fonctionnelle importante voire"
"238820","241300"," même absente cette importance fonctionnelle."
"241960","245240"," Au niveau de cet examen clinique, on retrouvera"
"245240","248620"," une douleur dans la tabatière anatomique, une douleur"
"248620","250520"," à la pression de la colonne du pouce,"
"251580","254340"," la douleur peut intéresser aussi la face dorsale"
"254340","257040"," du poignet en regard du scapulaïde ou encore"
"257040","259700"," une douleur en pronation qui est typique et"
"259700","262520"," on ne retrouvera pas de déformation, la particularité"
"262520","263980"," de cette pathologie c'est qu'elle est"
"263980","266880"," peu parlante sur le plan clinique et souvent"
"266880","271740"," on retrouve des radiographies relativement normales au départ."
"273960","279220"," L'examen radiologique est composé de radiographies du"
"279220","282280"," poignet, de face et de profil et qui"
"282280","283980"," sera complété par ce qu'on appelle des"
"283980","286840"," incidences spéciales dites incidences de Schneck, ce sont"
"286840","290380"," des incidences de points fermés en inclinaison cubitale"
"290380","294120"," ou incidences de croissance ou des faces dorsopalmaire,"
"294240","297380"," points fermés en légère abduction ou face dorsopalmaire,"
"297540","300360"," radius décollé de la plaque ou face dorsopalmaire,"
"300560","302920"," luna décollée de la plaque, tout ceci est"
"302920","305180"," l'objectif de faire dérouler ce scaphoïde et"
"305180","307940"," essayer d'enfiler ce trait de fracture qui"
"307940","312700"," peut prendre une topographie variable au niveau de"
"312700","314620"," tout l'os scaphoïde. "
"315460","319460"," Au niveau de cette diapo, on voit les"
"319460","323360"," 4 incidences classiques pour le scaphoïde, la position"
"323360","329840"," standard, on peut ne pas enfiler le trait"
"329840","331220"," de fracture que vous voyez avec la bascule"
"331220","333780"," du scaphoïde, le recours à des positions de"
"333780","336080"," Schneck qui permet de faire ramener ce trait,"
"336820","339940"," de le verticaliser pour que les rayons X"
"339940","342020"," puissent passer à travers et mettre en évidence"
"342020","347680"," cette clarté, soulignant la fracture du scaphoïde."
"350080","352380"," Particularité, c'est que les repères radiographiques du"
"352380","355100"," poignet sont indemnes, sauf s'il y a"
"355100","360420"," lésions associées, notamment lésions périllinariennes du carpe."
"362720","366540"," Le recours à des éléments d'imagerie plus"
"366540","369860"," sophistiqués, notamment la scintigraphie qui permettrait de voir"
"369860","371840"," le trait de fracture, notamment si on est"
"371840","373920"," devant une radiographie qui est normale, ou encore"
"373920","379260"," l'atome d'encyclométrie, actuellement l'échographie peut"
"379260","381680"," mettre en évidence cet hématome, c'est surtout"
"381680","383780"," opérateur dépendant, c'est-à-dire avoir une"
"383780","388260"," certaine expérience dans l'exploration des poignets à"
"388260","389800"," l'échographie. "
"390700","395160"," Classiquement, en cas de doute sur une fracture"
"395160","400340"," du scaphoïde, après tout traumatisme du cas, il"
"400340","403000"," est judicieux de refaire ou de reconvoquer le"
"403000","406080"," patient 15 jours après pour mettre en évidence"
"406080","407840"," s'il y a lieu d'une fracture,"
"408540","411700"," ceci grâce à cette osteoporose, c'est-à "
"411700","414720","-dire cette déminéralisation qui intéresse le trait de"
"414720","417280"," fracture et mettra en évidence cette clarté, ce"
"417280","419400"," qu'on appelle osteoporose post-traumatique."
"420540","423120"," Un exemple de radiographie de face mettant en"
"423120","426660"," évidence la fracture du scaphoïde après cette déminéralisation"
"426660","428020"," post-traumatique, c'est un patient qui a"
"428020","430480"," été revu à plus de deux semaines après"
"430480","433980"," le traumatisme du cas, au départ la lésion"
