"start","end","text"
"200","7380"," Bonjour, le propos de ce diaporama s'articule"
"7380","12560"," autour d'un chapitre très important en matière"
"12560","17660"," de chirurgie maximofaciale, puisqu'il s'agit d "
"17660","23160","'un motif de consultation assez fréquent et qui"
"23160","28220"," est pour voyeurs de complications fâcheuses allant même"
"28220","29590"," jusqu'au décès."
"30200","34940"," Il s'agit donc des cellulites cervicofaciales d "
"34940","35960","'origine dentaire."
"38430","40970"," Pour traiter cette question, nous allons adopter le"
"40970","41610"," plan suivant. "
"42530","46010"," Après un chapitre de définition et de rappel,"
"47190","50710"," nous allons traiter un chapitre clinique avec un"
"50710","54130"," type de description qui est la cellulite périmaxillaire"
"54130","56530"," non conlectée et circonscrite."
"57410","61330"," Ensuite, nous allons procéder à un chapitre d "
"61330","64410","'imagerie et de biologie avant de passer aux"
"64410","67310"," formes cliniques, aux diagnostics différentiels et aux complications,"
"68090","71030"," avant de conclure par le traitement et les"
"71030","72870"," facteurs pronostiques et préventifs."
"75000","78120"," La définition de cette pathologie est assez simple. "
"239710","243440"," Dans la mesure où les cellulites cervicofaciales d "
"243440","250060","'origine dentaire se définissent comme des inflammations profondes"
"250060","257200"," des parties molles, il s'agit d'infections"
"257200","260760"," d'ombre profonde à pronostics potentiellement mortels."
"264520","274730"," Dans la bouche d'une personne normale, et"
"274730","278090"," bien que l'existence d'une flore bactérienne"
"278090","286070"," en soit une réalité certaine, la présence d "
"286070","288990","'un équilibre entre trois éléments d'un trépied"
"288990","294030"," fait qu'au quotidien nous n'arrivons pas"
"294030","297070"," à l'exacerber."
"1955660","1955880"," Sous-titres réalisés para la communauté d'Amara "
"1955880","1955980",".org "
