"start","end","text"
"580","3680"," Bonjour, après un premier cours qui était sur"
"3680","7080"," les généralités sur le traumatisme oculaire, aujourd'hui"
"7080","8540"," on va faire un cours sur les plaies"
"8540","11240"," du globe oculaire avec ou sans corps étranger"
"11240","12160"," intra-oculaire."
"14580","17040"," Alors je vous fais un bref rappel, il"
"17040","19880"," faut savoir éliminer tout d'abord un polytraumatisé,"
"20200","23440"," toujours éliminer les urgences vitales, les urgences vitales"
"23440","25480"," c'est les urgences neurologiques, c'est les"
"25480","29400"," urgences respiratoires et c'est les urgences cardiovasculaires."
"29860","33160"," Toujours, toujours, toujours écrire les constantes vitales sur"
"33160","35280"," le dossier du patient, noir sur blanc. "
"35940","39500"," Donc l'interrogatoire commençait par le terrain du"
"39500","42680"," patient, l'identité, l'âge, le mécanisme du"
"42680","44840"," traumatisme, c'est très très important, on va"
"44840","47140"," voir les détails par la suite, donc le"
"47140","49760"," mécanisme du traumatisme, l'ancienneté, donc c'est"
"49760","52720"," le jour même, l'heure, la veille, tout,"
"52860","54640"," tout doit être marqué sur le dossier du"
"54640","58140"," patient, la symptomatologie, donc après avoir calmé le"
"58140","61440"," patient, savoir le rassurer, rassurer l'entourage, la"
"61440","64560"," famille, généralement ils sont affolés, surtout en présence"
"64560","66620"," du sang, d'une baisse de vision, de"
"66620","71320"," douleur, donc le calmer, le rassurer, pas toujours"
"71320","75300"," évident, mais savoir écouter et entendre les plaintes"
"75300","75840"," du patient."
"76480","80300"," L'examen clinique doit être systématique et complet,"
"80600","84120"," œil par œil, calmement et pour savoir tirer"
"84120","86880"," le maximum de renseignements."
"87400","91260"," Et après on va avoir recours à différents"
"91260","93440"," tableaux cliniques, soit une contusion du globe, on"
"93440","96060"," va voir les définitions, du plaie de l "
"96060","98420","'œil avec ou sans corps étranger, ou un"
"98420","101520"," tableau complètement différent, ce sont les brûlures oculaires,"
"102140","103860"," donc par la suite on va voir la"
"103860","106280"," différence entre une plaie de l'œil et"
"106280","108240"," un éclatement de l'œil. "
"108540","110800"," Donc on va commencer par les définitions, une"
"110800","112920"," rupture, pour simplifier, une rupture c'est une"
"112920","115200"," explosion de l'œil, c'est une plaie"
"115200","117040"," de pleine épaisseur, ça veut dire que toutes"
"117040","119460"," les couches de l'œil, de la sclère"
"119460","122740"," ou de la cornée sont ouvertes, donc une"
"122740","124920"," ouverture de pleine épaisseur de l'œil, causée"
"124920","126920"," par un objet qui est mousse, genre un"
"126920","131040"," ballon, une pierre, un bâton, l'impact il"
"131040","133300"," va provoquer une hyper pression à l'intérieur"
"133300","134980"," de l'œil, donc l'hyper pression elle"
"134980","138420"," est tellement importante qu'elle va entraîner une"
"138420","141420"," explosion de l'œil, donc on dit que"
"141420","144620"," généralement la pression va passer d'une pression"
"144620","146600"," qui est normale de 14, de 16, de"
"146600","152000"," 18 à 60, 70 en fraction minime de"
"152000","156380"," seconde, alors cette explosion, vous imaginez une explosion"
"156380","158460"," de l'œil, donc toutes les structures à"
"158460","160860"," l'intérieur de l'œil vont passer vers"
"160860","162720"," l'extérieur de l'œil et les dégâts"
"162720","164820"," sont maximaux et c'est un traumatisme qui"
"164820","167180"," est très méchant et le pronostic est franchement"
"167180","167680"," réservé."
"168340","174140"," Un deuxième mécanisme ou deuxième type de plaie,"
"174560","176340"," c'est la plaie pénétrante, c'est une"
"176340","179420"," lacération unique, ça veut dire une ouverture unique"
"179420","182200"," de la paroi du globe provoquée généralement par"
"182200","184700"," un objet qui est tranchant, genre un couteau,"
"185000","187360"," un éclat de verre, l'ouverture se fait"
"187360","190380"," de dehors en dedans, l'objet est tellement"
"190380","194860"," tranchant, un ciseau par exemple, une fourchette, un"
"195680","198380"," jouet d'enfant qui est tranchant, mais il"
"198380","200300"," n'y aura pas une douzième ouverture, ça"
"200300","200960"," veut dire qu'il n'y a pas"
"200960","203980"," de porte de sortie, l'ouverture est unique"
"203980","208300"," et le mécanisme se fait de dehors en"
"208300","211280"," dedans, alors le mécanisme est très important, vous"
"211280","214940"," imaginez que les dégâts se font généralement au"
"214940","218440"," niveau du lieu de traumatisme ou de plaie,"
"219260","221740"," à la différence de la rupture, les dégâts"
"221740","223700"," sont généralement moins importants."
"223880","226440"," Troisième type de plaie, c'est la plaie"
"226440","228920"," pénétrante, il y aura deux plaies, ça veut"
"228920","231100"," dire une porte d'entrée et une porte"
"231100","232980"," de sortie et les deux sont de pleine"
"232980","233520"," épaisseur. "
"235620","237520"," Ici sur le schéma, on va voir la"
"237520","241480"," classification de Birmingham, sur la partie gauche, on"
"241480","244280"," va voir des traumatismes à globe fermée et"
"244280","245840"," sur la partie de droite, on va voir"
"245840","247440"," les traumatismes à globe ouvert."
"247700","249640"," Alors sur la partie de gauche, on va"
"249640","252560"," voir d'abord les lacérations lamellaires, donc le"
"252560","257060"," traumatisme va entraîner une ouverture superficielle sur les"
"257060","259940"," couches, sur la paroi de l'oeuf, soit"
"259940","262380"," sur la corneille, soit sur la sclère, mais"
"262380","264820"," l'ouverture n'est pas transfixante, donc vous"
"264820","268240"," imaginez que les couches superficielles de la paroi"
"268240","270340"," qui sont ouvertes, ce qu'on appelle des"
"270340","273680"," lacérations lamellaires, soit il va entraîner un corps"
"273680","276300"," étranger superficiel, peut-être que le corps étranger"
"276300","278980"," va creuser sur les couches superficielles, mais le"
"278980","280940"," corps étranger ne pénètre pas à l'intérieur"
"280940","283040"," de l'oeuf, soit une contusion, comme je"
"283040","285060"," vous ai dit, un jeu de ballon, un"
"285060","287320"," coup de bâton par exemple, mais il n "
"287320","289640","'y aura pas d'ouverture de la paroi"
