"start","end","text"
"2700","6180"," Bonjour, je suis le professeur Ziadi, professeur en"
"6180","10360"," anesthésie et réanimation, responsable du module douleur et"
"10360","12000"," soins palliatifs."
"13300","19200"," Je suis chargée des cours suivants, le cours"
"19200","22280"," d'aujourd'hui qui va porter sur la"
"22280","27340"," douleur et donc la physiopathologie et l'évaluation"
"27340","28380"," de la douleur."
"29560","35740"," Le prochain cours portera sur le traitement de"
"35740","36540"," la douleur aiguë. "
"37100","42340"," Puis, notre dernier cours sera sur l'alimentation"
"42340","44860"," et l'hydratation en soins palliatifs."
"45940","47420"," Donc, comme je viens de le dire, le"
"47420","49760"," cours d'aujourd'hui va porter sur la"
"49760","50160"," douleur."
"50900","53520"," Donc, on va essayer de traiter la physiopathologie"
"53520","57140"," de la douleur et l'évaluation de la"
"57140","57840"," douleur aiguë. "
"60940","63319"," Tout d'abord, il y a quelques définitions"
"63319","67140"," à retenir, notamment la définition de la douleur,"
"68260","71840"," qui est donc une expérience sensorielle et émotionnelle"
"71840","75260"," désagréable associée à une lésion tissulaire réelle ou"
"75260","78720"," potentielle ou décrite en des termes évoquant une"
"78720","79280"," telle lésion."
"81040","83880"," Il faut savoir différencier la douleur de la"
"83880","84700"," nociception."
"85580","88200"," Donc, la nociception qui est un stimulus dont"
"88200","91640"," l'intensité entraîne des réactions de défense visant"
"91640","94620"," à sauvegarder l'intégrité de l'organisme. "
"95760","99860"," L'hyperalgésie est une réponse exagérée à une"
"99860","101380"," simulation douloureuse."
"102860","105040"," L'aloudimie est une douleur qui est provoquée"
"105040","107280"," par un stimulus non douloureux."
"108000","111420"," Donc, ces quatre définitions sont à retenir. "
"116250","120270"," Il faut savoir distinguer et différencier la douleur"
"120270","121750"," aiguë de la douleur chronique."
"121930","124130"," Ce sont deux entités qui sont différentes."
"124970","129930"," Elles sont différentes par leur aspect, par leur"
"129930","136690"," physiopathologie, par leur mécanisme, mais aussi par leur"
"136690","141490"," prise en charge thérapeutique qui est complètement différente. "
"142210","145470"," La douleur aiguë est dite utile et protectrice."
"146270","152570"," Puisqu'il permet de détecter une anomalie, une"
"152570","153890"," atteinte organique."
"155550","157650"," Elle est d'installation récente. "
"157770","158810"," Elle est aiguë."
"159430","161530"," Elle est de mécanisme unifactorien."
"161930","165010"," Donc, l'origine et la cause sont bien"
"165010","165590"," définies. "
"166730","168110"," Elle est associée le plus souvent à une"
"168110","170490"," anxiété puisque c'est une douleur qui n "
"170490","171090","'existait pas."
"171290","172830"," Donc, ça crée de l'anxiété chez le"
"172830","173150"," patient."
"173150","177970"," Son traitement est essentiellement médical et l'objectif"
"177970","179610"," thérapeutique est curatif. "
"179850","184490"," Donc, on cherche à traiter, à faire disparaître"
"184490","185230"," cette douleur."
"186810","188930"," Alors que pour la douleur chronique, elle est"
"188930","189350"," dite inutile."
"189890","192050"," Elle est destructrice puisque c'est une douleur"
"192050","193050"," qui dure dans le temps. "
"193710","195230"," C'est un patient qui a mal depuis"
"195230","197710"," plus de trois mois, de six mois."
"197930","200110"," Parfois, ce sont des patients qui souffrent depuis"
"200110","201090"," plusieurs années."
"201090","203970"," Le mécanisme est plurifactorien. "
"204090","205530"," Il n'y a pas un seul facteur"
"205530","207050"," qui est responsable de cette douleur."
"207770","209070"," Elle est associée le plus souvent à une"
"209070","211110"," dépression puisque ça traîne dans le temps."
"211410","214190"," Et ça a un vrai retentissement sur la"
"214190","215930"," vie sociale de ces patients. "
"217590","219530"," Le traitement est pluridimensionnel."
"219670","221090"," Il est pluridisciplinaire."
"221330","225870"," Sans oublier, bien sûr, l'importance de la"
"225870","229210"," prise en charge psychologique chez ces patients-là. "
"229210","231950"," L'objectif thérapeutique, il est réadaptatif."
"232150","236230"," Donc, on essaie de soulager le patient, de"
"236230","239130"," lui permettre, avec tous les moyens qu'on"
"239130","242350"," utilise, de lui permettre de s'adapter à"
"242350","244790"," cette douleur et de vivre avec."
"250900","253480"," Sur le plan physiopathologique, il y a cinq"
"253480","256959"," grands mécanismes à distinguer qui sont complètement différents. "
"257399","259420"," Le plus souvent, ce sont des mécanismes qui"
"259420","261780"," sont associés."
"266990","268630"," Il y a la douleur par l'excès"
"268630","269750"," de la nociception."
"270090","272210"," Il y a les douleurs dites neurologiques ou"
"272210","273030"," neuropathiques. "
"274010","276170"," Il y a les syndromes douloureux régionaux complexes"
"276170","277730"," tels que les algodistrophies."
"278370","279870"," Il y a les douleurs psychogènes."
"280170","281710"," Il y a les douleurs psychiques ou les"
"281710","282610"," souffrances morales. "
"286690","289990"," Concernant la physiopathologie de la douleur par nociception,"
"290270","292830"," et d'ailleurs, c'est la plus fréquemment"
"292830","299290"," rencontrée, et nous insistons sur cette douleur par"
"299290","300130"," nociception."
"305070","308770"," Sur le plan physiopathologique, il faut savoir qu "
"308770","312250","'il y a des neurones qui vont répondre"
"312250","316450"," de façon sélective à des stimuli engendrés par"
"316450","318150"," des lésions tissulaires."
"318850","321330"," Ces neurones-là s'appellent les nocicepteurs. "
"322070","324710"," D'où vient le nom de la nociception."
"326430","331110"," Ces neurones-là sont constitués par des fibres"
"331110","334550"," nerveuses A-delta et les fibres C."
"335470","337790"," Il y a plusieurs types de fibres nerveuses."
"338910","340970"," Ce sont des fibres qui diffèrent par leur"
"340970","345690"," degré de mélanisation, par leur diamètre et la"
"345690","346710"," vitesse de conduction. "
"348010","350070"," On va voir ça dans un tableau qui"
"350070","353470"," récapitule les différents types de fibres nerveuses."
"354690","358470"," Les fibres A-delta sont principalement des mécanos"
"358470","361990"," nocicepteurs qui interviennent dans la douleur aiguë qui"
"361990","362990"," est bien localisée."
"363890","365530"," Les fibres C, quant à elles, sont des"
"365530","370570"," nocicepteurs polymodaux qui sont responsables de réponses aux"
"370570","373950"," stimuli mécaniques, thermiques et chimiques et qui sont"
"373950","376670"," impliqués dans les douleurs qui sont sourdes, mal"
"376670","377490"," localisées. "
"383330","387470"," Ces fibres nerveuses constituent des terminaisons nerveuses libres"
"387470","389730"," qui se trouvent sur toute la surface du"
"389730","393310"," corps, mais aussi au niveau des muscles, des"
"393310","394970"," tendons et des viscères."
"395530","397210"," On va voir tout à l'heure la"
"397210","400750"," particularité de la douleur d'origine viscérale."
"401590","405510"," La simulation nociceptive de nature mécanique, chimique ou"
"405510","409410"," thermique va recruter ces nocicepteurs qui vont conduire"
"409410","411850"," l'information jusqu'au niveau de la corne"
"411850","415650"," postérieure de la moelle épinière et on les"
"415650","418310"," dénomme ainsi les neurones afférents primaires. "
"420900","423380"," Ces neurones ont des noyaux qui sont situés"
"423380","425860"," dans les corps cellulaires qui forment les ganglions"
"425860","427440"," rachidiens."
"433830","435830"," Au niveau de la corne dorsale ou la"
"435830","439030"," corne postérieure de la moelle épinière, les nocicepteurs"
"439030","443550"," avec des fibres appelées les A-bêta, qui"
"443550","445430"," sont les fibres du toucher et de la"
"445430","449870"," pression, font relais au niveau des neurones secondaires,"
"450030","452790"," spinothalamiques ou les neurones à large spectre, et"
"452790","455950"," se projettent ensuite vers le cerveau."
"456150","457670"," Ce sont les neurones secondaires. "
"457790","459190"," On a vu les neurones primaires et les"
"459190","459970"," neurones secondaires."
