"start","end","text"
"1590","7970"," Bonjour, chers étudiants, je suis professeur Benchenra, votre"
"7970","11470"," enseignant en matière de chirurgie plastique qui s "
"11470","14750","'intègre dans le module des urgences et de"
"14750","15250"," la douleur."
"16670","19430"," Alors, pourquoi la chirurgie plastique dans ce module?"
"19690","21930"," Parce que tout simplement, les objectifs qu'on"
"21930","24850"," va voir, il intéresse le médecin généraliste et"
"24850","28390"," ils prennent une grande partie dans les urgences"
"28390","29330"," et la réanimation."
"29330","32730"," Donc, je vais profiter aussi de cette occasion"
"32730","35730"," pour vous dire que cette matière de chirurgie"
"35730","42250"," plastique et douleur va être traitée selon un"
"42250","45110"," volume horaire de 10 heures, donc cinq séances,"
"46130","50050"," et il va concerner cinq chapitres différents, à"
"50050","53390"," savoir ce chapitre-là concernant les principes de"
"53390","56270"," base et discipline de la chirurgie plastique. "
"56620","59770"," Une deuxième question et qui va intéresser la"
"59770","64010"," cicatrisation cutanée et puis une troisième et va"
"64010","68870"," concerner les pansements, donc les pansements et les"
"68870","69710"," cicatrisants."
"70270","72210"," Et puis, on verra par la suite le"
"72210","74390"," traitement local de la brûlure."
"74530","77490"," Donc, puisque vous allez faire le traitement général,"
"77690","79770"," c'est-à-dire les mesures de réanimation"
"79770","82390"," avec les enseignants de réanimation. "
"83170","85690"," Concernant ma part, je vais vous traiter le"
"85690","87530"," traitement local de la brûlure."
"88150","90870"," Et puis, comme dernier chapitre, les escarts."
"93280","96460"," Donc, quels sont les objectifs de ce cours?"
"96700","100180"," Donc, ce premier cours qui intéresse les principes"
"100180","104280"," de base en chirurgie plastique et puis les"
"104280","107840"," domaines d'action, on va donc essayer de"
"107840","110660"," définir la chirurgie plastique parce qu'il y"
"110660","112800"," a beaucoup de confusion dans cette définition. "
"112960","113960"," Il y a pas mal de gens qui"
"113960","116820"," ne savent pas les principes de base ainsi"
"116820","117880"," que les domaines d'action."
"118100","120840"," Donc, on va s'intéresser en deuxième pour"
"120840","125720"," un deuxième objectif, comme un deuxième objectif, énumérer"
"125720","128360"," les principes de base en chirurgie plastique."
"128720","131280"," Et puis, on va voir quelques domaines d "
"131280","133560","'action, donc pas tous les domaines d'action,"
"133560","136540"," mais quelques-uns qui intéressent la chirurgie plastique,"
"136800","139700"," mais beaucoup plus le médecin généraliste. "
"140820","144300"," Donc, on va essayer de traiter ce cours"
"144300","146020"," selon le plan suivant."
"146160","148240"," Donc, après une introduction, on va faire un"
"148240","151260"," petit rappel sur l'histoire ou l'historique"
"151260","154700"," de la chirurgie plastique depuis ses débuts jusqu "
"154700","157500","'à ces heures-là."
"158000","161340"," Et puis, on va s'intéresser, comme on"
"161340","163760"," a vu dans les objectifs du cours, aux"
"163760","166640"," principes de base en chirurgie plastique. "
"166960","170040"," Comme quatrième sous-titre, on va voir les"
"170040","174640"," différentes disciplines qui intéressent la chirurgie plastique avant"
"174640","175560"," de conclure."
"176900","178400"," Alors, qu'est-ce que c'est la"
"178400","179300"," chirurgie plastique?"
"179460","181580"," Alors, la chirurgie plastique, c'est une spécialité"
"181580","185540"," chirurgicale qui intéresse les téguments et les femmes."
"185540","189680"," Et puisque les téguments constituent l'aspect extérieur"
"189680","192480"," et constituent la surface de tous les corps,"
"192600","195760"," donc, elle va s'intéresser aux formes aussi"
"195760","199480"," parce qu'elle va essayer de rétablir tout"
"199480","201740"," ce qui a été perdu, soit avec des"
