"start","end","text"
"650","2770"," Chers étudiants, bonjour."
"3570","7730"," Comme convenu dans la dernière séance, ce cours"
"7730","12010"," va être consacré à un chapitre très important"
"12010","15810"," en chirurgie plastique, et qui est la cicatrisation"
"15810","16930"," cutanée."
"18230","20730"," Qu'est-ce que c'est la cicatrisation"
"20730","21250"," cutanée?"
"21250","28930"," Cette dénomination ou cette appellation regroupe un ensemble"
"28930","32190"," de processus biologiques qui surviennent à la suite"
"32190","36010"," d'une solution de continuité cutanée, c'est "
"36010","38690","-à-dire que ce soit une plaie, une"
"38690","40690"," brûlure, une perte de substance. "
"41870","46610"," Le résultat de cette cicatrisation cutanée aboutit à"
"46610","50550"," ce qu'on appelle la cicatrice, et qui"
"50550","53710"," est normalement un tissu conjonctif qui n'est"
"53710","58550"," pas spécifique, dont la structure est différente d "
"58550","62250","'un tissu qui est non lésé, mais cette"
"62250","66030"," cicatrice peut être pathologique, ce qui est très"
"66030","68690"," important dans le monde de la prise en"
"68690","71910"," charge de cette cicatrisation cutanée par les moyens"
"71910","74630"," qu'on va voir dans le chapitre pansement."
"76350","81070"," Une bonne connaissance est nécessaire pour que cette"
"81070","84810"," réparation soit menée d'une façon adaptée de"
"84810","87150"," la plaie jusqu'à ce qu'on appelle"
"87150","88910"," la cicatrice mature."
"91250","96490"," Ce cours-là, qui est autour de la"
"96490","103530"," cicatrisation, l'étudiant doit être capable de rappeler"
"103530","107890"," les bases histologiques de la cicatrisation cutanée, il"
"107890","112370"," doit connaître les mécanismes de la cicatrisation cutanée,"
"113110","116750"," il doit aussi distinguer les différents types de"
"116750","121470"," la cicatrisation cutanée, dénumérer les aléas de la"
"121470","128250"," cicatrisation cutanée, et enfin évoquer les bases thérapeutiques"
"128250","131670"," des cicatrices dites pathologiques. "
"132970","137710"," Afin de répondre à tous ces objectifs, nous"
"137710","139950"," allons adopter le plan suivant."
"140770","143090"," D'abord, après cette introduction, on va voir"
"143090","146890"," un chapitre de généralité, et puis dans un"
"146890","150570"," troisième chapitre, on va répondre à la question"
"150570","153850"," des mécanismes de la cicatrisation."
"154950","158670"," Le quatrième chapitre sera réservé aux différents types"
"158670","160030"," de la cicatrisation. "
"161150","164670"," Après, on verra les aléas de la cicatrisation,"
"164850","166310"," c'est-à-dire tout ce qui peut"
"166310","168710"," entraver la cicatrisation cutanée."
"169630","173810"," Avant d'aborder le chapitre thérapeutique, qui va"
"173810","179230"," être bien sûr consacré aux cicatrices pathologiques, aux"
"179230","181910"," cicatrisations pathologiques, avant de conclure."
"183330","188090"," Concernant ce chapitre de généralité, il va traiter"
"188090","191710"," quatre sous-chapitres, notamment les fonctions de la"
"191710","196170"," peau, l'histologie de la peau, la vascularisation"
"196170","199010"," de la peau, ainsi que les lignes de"
"199010","200870"," moindre tension cutanée. "
"203010","205250"," Concernant les fonctions de la peau, tout le"
"205250","208290"," monde sait que la peau assure plusieurs fonctions."
"209250","212010"," La première et la plus importante, c'est"
"212010","212890"," la protection."
"214350","219190"," Protection contre toutes les agressions physiques, chimiques ou"
"219190","220190"," thermiques. "
"221190","224630"," Elle joue aussi le rôle de barrière contre"
"224630","226010"," les pertes hydriques."
"226370","227810"," C'est le cas des brûlures."
"228070","229870"," Quand on se brûle, il y a une"
"229870","232790"," fuite d'eau à l'extérieur du corps"
"232790","238050"," par cette peau-là, qui normalement assure ce"
"238050","238950"," rôle de barrière. "
"239530","242110"," Une barrière calorique et protéique."
"242110","246890"," Normalement, cette brûlure ou cette perte de substance"
"246890","251970"," va aboutir à une déperdition calorique et aussi"
"251970","255730"," une barrière contre les agressions microbiennes ou l "
"255730","257450","'invasion des microbes."
"258829","262070"," La peau joue aussi un rôle important dans"
"262070","266810"," la régulation thermique, dans l'absorption, ainsi que"
"266810","268210"," dans la sensibilité. "
"268210","272810"," Ces rôles-là vont être perdus lors de"
"272810","276130"," solutions de continuité et notamment dans les pertes"
"276130","276870"," de substance."
"277410","280830"," N'oublions pas le rôle esthétique de la"
"280830","283810"," peau, étant donné que c'est le taillement"
"283810","287210"," de couverture ou la charnière de couverture de"
"287210","291150"," tout le corps et qui représente une image"
"291150","295440"," sociale importante dans notre relation inter-humaine."
"295440","302000"," Donc, au total, pour réétablir ces fonctions, il"
"302000","306620"," faut assurer une bonne cicatrisation qui reste le"
"306620","311180"," seul garant pour retrouver le fonctionnement normal de"
"311180","311560"," la peau. "
"314040","318440"," Histologique, la peau est constituée par trois couches"
"318440","321000"," qui sont superposées, d'où son nom d "
"321000","324100","'origine grecque, pelis, c'est-à-dire des"
"324100","324420"," couches."
"324420","328280"," La première couche superficielle, qu'on appelle l "
"328280","331180","'épiderme, c'est la couche la plus superficielle"
"331180","333320"," de la peau dont le rôle est de"
"333320","337940"," protection et joue un rôle de barrière étanche"
"337940","342780"," et qui est formée par plusieurs couches de"
"342780","346620"," cellules qui sont superposées, faisant de cet épiderme"
"346620","351980"," un épithélium stratifié, fait de plusieurs couches qui"
"351980","352500"," sont superposées."
"352500","359040"," La cellule principale est représentée par le kératinocyte"
"359040","360560"," ou cellule de la peau. "
"360800","363340"," À côté du kératinocyte, il y a d "
"363340","367480","'autres cellules, notamment les cellules de Merkel qui"
"367480","369300"," sont des cellules qui jouent un rôle dans"
"369300","372600"," la sensibilité, dans la transmission de la sensibilité."
"373180","376460"," Le mélanocyte ou la cellule de la couleur"
"376460","380320"," qui donne l'aspect de la couleur de"
"380320","382600"," la peau et qui joue un rôle dans"
"382600","386160"," la protection solaire aussi, quand les agressions solaires."
"386880","388460"," Et il y a une autre cellule qui"
"388460","390900"," est la cellule de Langerhans qui est une"
"390900","394420"," cellule qui joue un rôle dans l'immunité"
"394420","396740"," de la peau et dans la défense et"
"396740","399100"," qui est aussi responsable des rejets de la"
"399100","401460"," greffe, c'est-à-dire que le fait"
"401460","405200"," qu'on n'accède pas des greffes homologues"
"405200","408560"," ou hétérologues des fragments de peau prélevés d "
"408560","413000","'une autre personne, le rejet se passe par"
"413000","414860"," la présence de ces cellules-là qui sont"
"414860","416020"," responsables de ce rejet. "
"416980","420140"," Plusieurs couches de cellules superposées et qui reposent"
"420140","422900"," sur un élément très important qui est le"
"422900","426340"," plus profond séparant l'épiderme de la couche"
"426340","429040"," moyenne de derme qui est la membrane basale."
"429660","432880"," Le fait que cette membrane basale présente un"
"432880","437480"," aspect ondulé et qui est incustrée dans le"
"437480","441260"," derme profond donne à la peau un potentiel"
"441260","444940"," de cicatrisation spontanée même si les pertes de"
"444940","447180"," substances arrivent au niveau des couches les plus"
"447180","451540"," profondes du derme par la présence justement de"
"451540","455220"," cette couche qui est la membrane basale suivant"
"455220","458020"," les annexes ce qui fait que les parties"
"458020","461540"," qui sont plus concentrées en ces éléments donc"
"461540","463900"," les cheveux ou les glandes sudorales comme le"
"463900","466760"," scalp par exemple ils ont un potentiel de"
"466760","470980"," cicatrisation important par rapport aux parties qui ne"
"470980","474860"," sont dépourvues ou rarement présentes, ces annexes-là."
"475320","479220"," Donc l'épiderme, une couche avasculaire, rôle dans"
"479220","483580"," la protection, dans l'étanchéité de la peau"
"483580","487000"," donc la couche moyenne qui est appelée le"
"487000","490040"," derme donc le derme qui est elle-même"
"490040","494460"," séparé en deux parties donc une couche superficielle"
"494460","496400"," et une couche profonde qu'on appelle le"
"496400","500060"," derme papillaire, la couche superficielle du derme et"
"500060","503460"," qui est plus concentrée en vaisseau donc rappelez "
"503460","506640","-vous que l'épiderme est une couche avasculaire"
"506640","509600"," mais reposant directement sur cette couche du derme"
"509600","513120"," superficiel le derme papillaire qui est le plus"
"513120","516419"," vascularisé et responsable de la vascularisation de l "
"516419","522900","'épiderme par inhibition plasmatique donc cette couche bien"
"522900","526420"," vascularisée, couche papillaire aussi repose sur une couche"
"526420","529920"," profonde du derme qui est appelée le derme"
"529920","534040"," réticulaire qui est beaucoup plus concentrée en fibres"
"534040","537780"," notamment les fibres de collagène, les fibres élastiques"
"538200","541060"," et qui proviennent d'une cellule qui est"
"541060","543700"," principale et qui joue aussi un rôle important"
"543700","547540"," dans la cicatrisation qui est le fibroblast donc"
"547540","549520"," il faut noter que dans le cas de"
"549520","551580"," la réparation comme on va le voir ou"
"551580","555140"," dans le cas de la cicatrisation il va"
"555140","558040"," y avoir une production très importante de ces"
"558040","561400"," fibres mais malheureusement ils vont se superposer d "
"561400","564500","'une manière anarchique et responsable de l'aspect"
"564500","568610"," fibreux et peut-être rétractile de la cicatrice"
"569340","571620"," on va le voir plus tard donc l "
"571620","573960","'ensemble de ces couches repose aussi sur une"
"573960","576680"," couche la plus profonde et qui est appelée"
"576680","580860"," hypoderme cette couche est plus faite de cellules"
"580860","585120"," graisseuses d'adipocytes et à travers laquelle passent"
"585120","588000"," comme vous voyez ici sur le schéma les"
"588000","591220"," vaisseaux qui sont destinés à la peau ou"
"591220","593920"," qui traversent cette partie de la peau pour"
"593920","597680"," être destinés à d'autres endroits donc cette"
"597680","601560"," couche qui joue un rôle de support mécanique"
"601560","604580"," et support vasculaire de la peau joue un"
"604580","607580"," rôle aussi important dans les phénomènes de la"
"607580","611100"," cicatrisation ainsi que dans les phénomènes dans les"
"611100","614340"," techniques chirurgicales où il faut prendre carrément cette"
"614340","618370"," couche pour conserver la vascularisation de la peau"
"618820","623240"," fonctionner cette composante importante et qui est la"
"623240","627000"," vascularisation cutanée il faut savoir que la peau"
"627000","631800"," est richement vascularisée donc par des vaisseaux qui"
"631800","635580"," sont destinés soit directement à la peau qu "
"635580","637380","'on appelle et qu'on a déjà vu"
"637690","641860"," dans les chapitres généralité ou introduction en chirurgie"
"641860","646520"," plastique donc soit par des vaisseaux directs à"
"646520","648560"," la peau soit par des vaisseaux qui vont"
"648560","653120"," être livrés à la peau à travers le"
"653120","657860"," fascia qui constitue un support vasculaire de la"
"657860","659120"," peau c'est d'où la base des"
"659120","663980"," lombophasies cutanées soit par un réseau au niveau"
"663980","669320"," dermique un plexus dermique cutané et qui est"
"669320","672340"," à la base des lombos livrés au hasard"
"672340","675460"," soit par des perforantes venant du muscle et"
"675460","678100"," c'est ce qui fait appeler les lombos"
"678100","681880"," les musculos cutanés donc vous voyez ici dans"
"681880","685280"," le schéma à droite cette richesse vasculaire et"
"685280","689240"," qui est surtout très concentrée au niveau du"
"689240","694640"," derme superficiel moins concentrée et moins importante au"
"694640","698000"," niveau du derme profond et beaucoup plus évident"
"698000","702840"," sur le plan acheminement des gros vaisseaux des"
"702840","704820"," vaisseaux qui sont destinés à la peau au"
"704820","710410"," niveau de la couche hypodermique donc cette vascularisation"
"710410","711890"," de la peau comme on l'a vu"
"711890","715370"," à la première séance elle peut être sous"
"715370","717870"," forme d'acteurs cutanés directs qui sont à"
"717870","721530"," la base de certains lombos dits lombos axiaux"
"722270","725430"," ou axialisés soit que c'est des vaisseaux"
"725430","729070"," qui vont se superposer pour aller se répartir"
"729070","733350"," au niveau superficiel donc pour être destinés à"
"733350","735150"," la peau dans ce cas c'est le"
"735150","738670"," cas des lombos faciocutanés qui doit faire absolument"
"738670","742170"," prendre ce facial pour garder la vascularisation de"
"742170","746490"," la peau le cas des lombos qui viennent"
"746490","749850"," de perforants déjà destinés aux muscles qui vont"
"749850","753950"," donner des branches perforantes à la peau le"
"753950","759750"," cas exceptionnel et particulier des artères dites neurocutanées"
"759750","762330"," ce sont des petites artères qui vont provenir"
"762330","766690"," de l'artère principale qui vascularise un nerf"
"766690","769370"," sensitif et au moment de son passage il"
"769370","772550"," leur donne des branches destinées à la peau"
"772550","776370"," et c'est le cas de lombos au"
"776370","779570"," niveau de la jambe Une autre composante aussi"
"779570","783630"," importante à signaler dans le phénomène de cicatrisation"
"784210","787510"," à part l'histologie la fonction ainsi que"
"787510","790250"," la vascularisation de la peau ce sont, comme"
"790250","792810"," on a vu la première séance les lignes"
"792810","795630"," de moindre tension cutanée ou ce qu'on"
"795630","797690"," appelle les lignes de Langer et qu'on"
"797690","799530"," a dit que ce sont des lignes de"
