"start","end","text"
"260","4880"," Bonjour, on va commencer l'enseignement de ce"
"4880","11420"," module urgence réanimation par les détresses circulatoires."
"11780","16260"," On va commencer par quelques généralités sur les"
"16260","19020"," états de choc avant d'aborder les différents"
"19020","19740"," états de choc."
"22480","27880"," L'objectif de cet enseignement est d'abord"
"27880","32140"," d'être capable de définir ce que c "
"32140","35160","'est qu'un état de choc, de connaître"
"35160","40140"," les mécanismes et les conséquences physiopathologiques de l "
"40140","44480","'état de choc et connaître les principes thérapeutiques"
"44480","48040"," à initier en cas d'état de choc. "
"48040","50420"," Et là, on le verra tout au long"
"50420","56040"," de cet enseignement, les mesures symptomatiques mais surtout"
"56040","61240"," le traitement étiologique de chaque état de choc."
"63940","68900"," Tout d'abord, l'état de choc est"
"68900","74500"," une urgence à la fois diagnostique et thérapeutique"
"74500","79160"," qui ne tolère pas de retard."
"80260","84740"," L'état de choc est défini cliniquement comme"
"84740","88500"," l'association d'une hypotension avec une pression"
"88500","93300"," artérielle systolique inférieure ou égale à 90 mmHg. "
"93580","96060"," Et on verra tout au long de cet"
"96060","99280"," enseignement qu'il y a des particularités du"
"99280","101080"," patient hypertendu."
"103420","107580"," Et en plus de cette hypotension, des signes"
"107580","111400"," d'hypoperfusion périphérique qu'on va détailler tout"
"111400","111780"," à l'heure."
"113940","119000"," L'état de choc est une défaillance du"
"119000","125280"," système circulatoire qui aboutit à une inadéquation entre"
"125280","130700"," l'apport et les besoins tissulaires périphériques en"
"130700","131180"," oxygène. "
"131180","138340"," Donc retenez cette définition clinique des états de"
"138340","138580"," choc."
"139640","144380"," L'état de choc est défini cliniquement par"
"144380","148460"," l'association d'une hypotension et des signes"
"148460","150580"," d'hypoperfusion périphérique."
"153440","157280"," On classe généralement les états de choc en"
"157280","161240"," fonction de l'origine de l'état de"
"161240","161500"," choc. "
"162060","169080"," En effet, le système circulatoire comprend une pompe"
"169080","177140"," cardiaque qui pompe le sang dans un réservoir"
"177140","183740"," veineux et l'éjecte dans le système circulatoire,"
"184600","187200"," le circuit artériel systémique."
"187200","193580"," Le débit cardiaque est alors distribué aux différents"
"193580","198740"," organes via les circulations régionales qui sont montées"
"198740","200980"," en parallèle."
"200980","207520"," L'état de choc se traduit par une"
"207520","212680"," défaillance initiale d'une de ces composantes, conduisant"
"212680","215580"," à une diminution de l'apport en oxygène"
"215580","220420"," vers les tissus et à une inadéquation entre"
"220420","224860"," les besoins et l'apport en oxygène. "
"227840","236780"," On distingue en fonction de la composante du"
"236780","243380"," système circulatoire qui est défaillante, le choc cardiogénique"
"243380","247800"," qui est une défaillance de la pompe cardiaque,"
"247800","254520"," le choc épivolémique qui est une diminution du"
"254520","258459"," volume sanguin, que ce soit une hémorragie ou"
"258459","263460"," une déshydratation extracellulaire, conduisant à une diminution de"
"263460","271960"," la précharge cardiaque, le choc distributif"
"271960","277580"," qui correspond à une défaillance de la composante"
"277580","280600"," résistive, c'est-à-dire le tonus vasculaire,"
