"start","end","text"
"1290","2370"," Bonjour tout le monde."
"3870","6150"," Le thème que nous allons aborder aujourd'hui"
"6150","10130"," porte sur une entité courante mais peu habituelle."
"11250","12550"," Il s'agit de la prise en charge"
"12550","15030"," des patients en état de mort encéphalique induit"
"15030","15970"," d'un dents d'organe. "
"21590","24690"," L'état de mort encéphalique est défini par"
"24690","27690"," l'arrêt complet de la circulation cérébrale qui"
"27690","30870"," est responsable d'une destruction irréversible de l "
"30870","35070","'ensemble des fonctions encéphaliques, en particulier celle du"
"35070","38030"," tronc cérébral chez un sujet à cœur battant."
"39110","42390"," Ceci sera responsable d'une suppression de la"
"42390","46270"," commande centrale de la respiration ainsi que de"
"46270","50630"," la régulation de l'homéostasie circulatoire, thermique et"
"50630","51590"," endocrinienne."
"52350","53790"," Il faut tout de même savoir qu'il"
"53790","57270"," faut différencier l'état de mort encéphalique avec"
"57270","60630"," les comas prolongés et les états végétatifs. "
"66640","69100"," Le diagnostic de l'état de mort encéphalique"
"69100","71100"," est réalisé dans les services de réanimation et"
"71100","71680"," des urgences."
"73160","75820"," Les organes restent fonctionnels à condition que la"
"75820","78460"," réanimation soit adaptée et agressive."
"79600","84960"," Cette réanimation et l'optimisation des organes du"
"84960","88000"," donneur influencent directement le nombre et la qualité"
"88000","92240"," d'organes prélevés, d'où la grande implication"
"92240","94300"," de toute l'équipe d'anesthésie et de"
"94300","94880"," réanimation. "
"94880","100600"," Sans oublier le rôle primordial également des autres"
"100600","104400"," intervenants et praticiens faisant de cette hantique un"
"104400","108720"," vrai modèle de gestion multidisciplinaire et de professionnalisme."
"116560","119040"," Un peu d'histoire pour dire que le"
"119040","122740"," Russe Voronoi avait pu donner en 1933 la"
"122740","124580"," première greffe rénale à partir d'un rein"
"124580","125140"," de cadavre."
"125540","126680"," L'échec était immédiat. "
"126680","135440"," En 1959, Molare et Goulon ont préconisé le"
"135440","139820"," principe du coma dépassé autorisant ainsi les prélèvements"
"139820","141800"," d'organes et ou de tissus chez le"
"141800","143420"," cadavre à que l'heure va tendre."
"143900","148280"," En 1967, après l'avènement des immunosuppresseurs, le"
"148280","151060"," premier coeur est greffé avec succès par Christian"
"151060","154400"," Bernard et la première transplantation rénale avait eu"
"154400","155240"," lieu en Iran."
"158960","161940"," Vers le début des années 70, la greffe"
"161940","163560"," d'organes est devenue de plus en plus"
"163560","166900"," répandue dans les pays musulmans et en 1986,"
"167580","170080"," la première greffe rénale a été réalisée au"
"170080","171960"," Maroc à partir de donneurs vivants. "
"173060","177560"," En 1987, des critères diagnostiques chez l'enfant"
"177560","180800"," ont vu le jour et puis entre 1994"
"180800","187180"," et 2004, les lois de bioéthique ont précisé"
"187180","191060"," les principes généraux du prélèvement et établit certaines"
"191060","192360"," règles fondamentales."
"196080","198920"," Au Maroc, il y a un manque de"
"198920","199140"," données."
"199640","201940"," En France, selon les données de l'agence"
"201940","204640"," de la biomédecine, les enquêtes d'incidence de"
"204640","207620"," la mort encéphalique en France et dans d "
"207620","209600","'autres pays évaluent celles-ci de 7 à"
"209600","211500"," 13 % des décès en réanimation et en"
"211500","211960"," soins intensifs. "
"211960","215860"," Le nombre de donneurs potentiels serait entre 3300"
"215860","216620"," et 3800."
"217260","221020"," Le nombre de prélèvements effectués est de 1563."
"224870","228070"," Toujours en France, il faut savoir que le"
"228070","232230"," potentiel des donneurs est en nette diminution quantitativement"
"232230","234150"," et qualitativement. "
"234930","237070"," Quantitativement parce qu'il y a une diminution"
"237070","240610"," des décès par accident vasculaire cérébral chez les"
"240610","243770"," moins de 65 ans et une diminution du"
"243770","245270"," nombre de morts sur les routes."
"246130","248850"," Et puis qualitativement puisque les donneurs sont de"
"248850","252310"," plus en plus âgés avec une baisse conséquente"
"252310","254390"," dans la qualité des greffes."
"255170","258269"," Le taux d'opposition reste stable, il est"
"258269","261050"," aux alentours de 30 % et puis on"
"261050","263850"," assiste à une augmentation régulière du nombre de"
"263850","265790"," personnes en attente de greffe. "
"269470","272730"," Pour ce qui est des causes de décès"
"272730","277730"," des donneurs prélevés, elles sont principalement dominées par"
"277730","282270"," les accidents vasculaires cérébraux, le traumatisme crânien grave,"
"282750","286750"," les anoxies cérébrales qui peuvent être présentes dans"
"286750","290190"," plusieurs situations, à savoir l'intoxication au monoxyde"
"290190","292450"," de carbone, les noyades et les pendaisons."
"294270","299720"," Du point de vue physiopathologique, il faut savoir"
"299720","302900"," que l'augmentation de la pression intracrânienne et"
"302900","306400"," la baisse durable de la pression de perfusion"
"306400","309960"," cérébrale, sans qu'il y ait un impact"
"309960","313200"," des thérapeutiques reconnues efficaces sur l'hypertransplant intracrânien,"
"313700","316940"," va entraîner un arrêt complet de la perfusion"
"316940","323540"," cérébrale et donc on aura l'installation inévitable"
"323540","325940"," de la mort neuronale qui est irréversible."
"329060","331880"," Quelles sont maintenant les conséquences de l'état"
"331880","335540"," de mort en céphalique sur l'organisme ?"
"336420","338940"," Il s'agit essentiellement de l'arrêt de"
"338940","342100"," l'interaction des organes avec le cerveau qui"
"342100","344780"," va être responsable de la suppression des afférences"
"344780","348760"," centrales avec une perturbation des systèmes cardiovasculaires et"
"348760","349920"," respiratoires. "
"349960","352880"," Il y aura également la libération des centres"
"352880","356560"," médulaires sous-jacents avec une conservation des réflexes"
"356560","360080"," ostéotandineux, du cimi de Babinski et des réflexes"
"360080","360560"," spinaux."
"361460","364420"," On aura par ailleurs la destruction du centre"
"364420","368780"," thermorégulateur hypothalamique qui est responsable de l'hypothermie"
"368780","371940"," aggravée par la vasopilogie et puis on aura"
"371940","376020"," une destruction des fonctions endocriniennes responsables d'un"
"376020","380180"," diabète insipide et d'une dysfonction antéhypophysaire, cortico "
"380180","382380","-surénalienne et thyroïdienne."
"383580","388350"," Du point de vue hémodynamique, il faut savoir"
"388350","391190"," que les troubles hémodynamiques sont d'origine multifactorielle"
"391190","393630"," avec une évolution biphasique. "
"394230","397310"," La première base, c'est un véritable orage"
"397310","399590"," sympathique qui va s'installer."
"399590","402750"," Il sera en rapport avec une destruction ischémique"
"402750","405810"," du noyau vague et qui sera responsable d "
"405810","408590","'une hypertension artérielle, d'un dachycardie et d "
"408590","409310","'une vasoconstriction."
"410050","412670"," Cet état fait courir le risque d'ischémie"
"412670","415570"," viscérale et de cardiomyopathie aiguë. "
"416830","419330"," La deuxième phase se caractérise quant à elle"
"419330","422430"," par une perte du tonus sympathique avec comme"
"422430","426930"," résultat une vasodilatation, une hypotension artérielle et une"
"426930","430590"," hypoperfusion de tous les organes qui sont en"
"430590","432170"," fait des greffons potentiels."
"439100","441900"," La quinte pulmonaire est multifactorielle."
"443820","446300"," Elle peut être secondaire à l'EDM pulmonaire"
"446300","447340"," d'origine neurogène. "
"448220","451380"," Elle peut être également secondaire au syndrome inflammatoire"
"451380","454420"," de réponse systémique, à la réanimation cardio-pulmonaire,"
"454800","458160"," à la ventilation mécanique, à la pneumopathie et"
"458160","460060"," à l'inhalation du contenu gastrique."
"460760","464240"," Pour ce qui est du diabète asyptique, il"
"464240","466080"," est lié à la nécrose de la post "
"466080","466880","-hypophyse."
"467900","470460"," L'hyperglycémie quant à elle fera suite à"
"470460","473420"," la diminution de la concentration plasmatique en insuline"
"473420","475740"," et à l'insuline résistance. "
"479980","483160"," S'agissant du diagnostic clinique, il est basé"
"483160","485580"," sur l'absence totale de la conscience et"
"485580","489160"," de l'activité motrice spontanée, ce qui définit"
"489160","490780"," un coma profond et réactif."
"491940","494140"," Il est basé également sur l'abolition de"
"494140","496280"," tous les réflexes du tronc cérébral, y compris"
"496280","500560"," le réflexe de tout, et puis sur l "
