"start","end","text"
"840","5120"," Bonjour, on va continuer notre étude des détresses"
"5120","9960"," circulatoires et aujourd'hui, on va voir les"
"9960","11300"," états de choc épivolémique."
"13660","16900"," Dans les états de choc épivolémique, on distingue"
"16900","22340"," deux entités, les états de choc épivolémique en"
"22340","25900"," rapport avec un choc hémorragique qui sont liés"
"25900","29620"," au saignement et les états de choc épivolémique"
"29620","33420"," qui ne sont pas en rapport avec le"
"33420","33820"," saignement."
"36300","41440"," L'objectif de cet enseignement est de pouvoir"
"41440","46480"," définir un état de choc épivolémique qui peut"
"46480","61940"," être hémorragique ou non hémorragique, qui"
"61940","67920"," peut être hémorragique ou non hémorragique, qui peut"
"67920","78320"," être hémorragique ou non hémorragique, qui"
"78320","79880"," peut être hémorragique ou non hémorragique. "
