"start","end","text"
"840","3320"," Alors, il est question qu'on parle aujourd "
"3320","5300","'hui de la prise en charge à la"
"5300","7500"," phase précoce du traumatisme crânien grave."
"10720","12360"," Donc, il faut savoir qu'un traumatisme crânien"
"12360","14520"," grave, qu'il soit isolé ou inscrit dans"
"14520","16440"," le cadre d'un polytraumatisme, est un tournant"
"16440","17700"," dans la vie du patient."
"18460","20400"," Il se définit par la présence d'un"
"20400","23580"," score de Glasgow inférieur strictement à 9 après"
"23580","25140"," stabilisation des fonctions vitales. "
"25140","29080"," C'est avant tout un traumatisme grave avec"
"29080","31740"," une atteinte vertébromédulaire jusqu'à preuve du contraire."
"32560","35020"," Le plus souvent, il fait suite aux accidents"
"35020","38040"," de la voie publique et reste l'apanage"
"38040","41320"," des sujets jeunes, majoritairement de sexe masculin."
"42320","45180"," C'est un véritable problème de santé publique"
"45180","51680"," aux retombées économiques majeures qui engagent à la"
"51680","55080"," fois le prolocythe vital à court terme, mais"
"55080","58280"," également le prolocythe fonctionnel, puisqu'il est source"
"58280","62860"," d'un handicap moteur et neuropsychologique avec un"
"62860","65000"," retentissement social, familial et professionnel. "
"65000","68540"," C'est un sujet qui a grandement bénéficié"
"68540","70720"," des progrès effectués dans la prise en charge"
"70720","74960"," initiale, d'abord pré-hospitalière, puis en milieu"
"74960","75580"," spécialisé."
"77800","81380"," Il a également bénéficié des progrès liés à"
"81380","85040"," la compréhension des mécanismes physiopathologiques qui aboutissent à"
"85040","87900"," la souffrance neuronale, et puis de l'apport"
"87900","90420"," récent des nouvelles techniques de monitorage multimodal."
"90900","93840"," Tout cela a permis de contribuer à l "
"93840","95140","'amélioration de son prolocythe. "
"97100","100160"," Afin de vous donner un aperçu général sur"
"100160","101380"," sa prise en charge à la phase début,"
"101940","105500"," nous avons adopté un plan classique et nous"
"105500","107900"," allons mettre essentiellement l'accent sur les données"
"107900","111840"," physiopathologiques, la démarche diagnostique générale, puis la prise"
"111840","113940"," en charge, que ce soit en pré-hospitalier,"
"114020","115420"," mais également en milieu hospitalier."
"119200","123640"," Un petit mot sur l'épidémiologie, simplement pour"
"123640","125840"," dire que c'est non seulement la première"
"125840","132240"," cause de décès chez l'adulte jeune, mais"
"132240","134660"," également la principale cause de mortalité chez le"
"134660","136560"," polytraumatisé après le choc hémorragique."
"137360","139380"," Son incidence est élevée à travers le monde. "
"140500","142420"," Au Maroc, il n'existe pas de registre"
"142420","142760"," national."
"142760","146040"," En France, on dénombre à peu près 155"
"146040","150100"," 000 cas, soit 280 000 sur 100 000"
"150100","154640"," habitants par an, qui va engendrer environ 8"
"154640","157460"," 000 décès et environ 4 000 comas par"
"157460","157640"," année."
"159940","162540"," Les causes sont dominées par les accidents de"
"162540","164600"," la voie publique, les chutes d'un lieu"
"164600","167900"," élevé, les accidents de travail ou de sport"
"167900","169820"," et les agressions. "
"169820","173420"," Il est extrêmement important de relever lors de"
"173420","177100"," l'interrogatoire, avec détail, les causes en question,"
"177580","181460"," afin de pouvoir comprendre les mécanismes lésionnels, afin"
"181460","183860"," de pouvoir également préciser la gravité du traumatisme"
"183860","186900"," et les lésions associées probables."
"191390","194830"," Alors, du point de vue physiopathologique, deux grands"
"194830","198070"," mécanismes isolés ou associés sont décrits."
"200050","203510"," Les traumatismes avec impact diac sur le crâne"
"203510","207870"," entraînent une déformation, voire une rupture des enveloppes,"
"207950","211230"," et dont l'énergie cinétique sera transmise au"
"211230","214090"," cerveau sous-jacent au point d'impact, et"
"214090","215930"," va être responsable d'une lésion de coupe,"
"216630","221190"," comme les hématomes, extras ou sous-duraux, associés"
"221190","222830"," ou non à des lésions lobaires focales. "
"223490","225390"," Il va y avoir par la suite la"
"225390","227470"," propagation de l'onde de choc au reste"
"227470","229490"," de l'encephale, qui sera à l'origine"
"229490","232970"," de lésions de contre-coup, qui vont être"
"232970","236410"," responsables de lésions focales à distance."
"241090","244130"," D'un autre côté, il existe des traumatismes"
"244130","247890"," sans impact diac sur le crâne, pendant lesquels"
"247890","250470"," le segment céphalique sera soumis à des effets"
"250470","254190"," conjugués d'accélération et de décélération, qui vont"
"254190","257050"," entraîner un déplacement de l'encephale à l "
"257050","259730","'intérieur du crâne, ce qui peut engendrer des"
"259730","262030"," lésions lobaires focales par un pan des hémisphères"
"262030","264870"," cérébraux sur les reliefs internes du crâne, et"
"264870","268030"," surtout des lésions d'étirement et ou de"
"268030","270290"," cisaillement des axones et des vaisseaux au niveau"
"270290","274290"," des zones de densité différentes, appelées lésions axonales"
"274290","274690"," diffuse."
"276670","282760"," Par ailleurs, on doit distinguer les lésions primaires"
"282760","286120"," qui sont immédiatement présentes après le traumatisme et"
"286120","288300"," les lésions secondaires qui vont se développer en"
"288300","289400"," quelques minutes ou heures. "
"290500","295260"," Les premières sont inévitables et non-traitables, par"
"295260","299100"," contre, les secondes doivent être prévenues ou bien"
"299100","303220"," dépistées soigneusement et, si cela est possible, traitées."
"311300","314600"," Pour ce qui est des lésions primaires, il"
"314600","316400"," s'agit souvent de lésions cellulaires et ou"
"316400","319100"," vasculaires qui sont focales ou diffuses selon les"
"319100","319900"," mécanismes en cause."
"321580","327640"," Il s'agit essentiellement de plaies vuscales qui"
"327640","329940"," sont fréquentes et qui présentent un risque hémorragique"
"329940","331740"," et infectieux non négligeable. "
"331740","335100"," Il y a également les lésions osseuses qui,"
"335660","338800"," quand elles concernent la voûte, peuvent être responsables"
"338800","342280"," de fractures simples ou avec enfoncements appelés embarrus"
"342280","346160"," qui vont entraîner des plaies durales ou corticales"
"346160","349140"," qui sont toujours chirurgicales."
"349660","352980"," Les fractures de la base du crâne peuvent"
"352980","355800"," entraîner, quant à elles, des fistules du LCR"
"355800","359940"," et vont favoriser la survenue de complications infectieuses"
"359940","361540"," qui sont lourdes de conséquences."
"362360","365560"," Elles peuvent également entraîner une atteinte des nerfs"
"365560","369760"," crâniens et une atteinte des éléments vasculaires heureusement"
"369760","371900"," rares car elles sont redoutables. "
"375090","378050"," Il y a également l'hématome extradural qui"
"378050","383170"," est une urgence absolue simulant un processus expansif"
"383170","383750"," intracrânien."
"383750","386990"," L'hématome va se produire souvent à la"
"386990","389610"," suite d'une fracture de la voûte coupant"
"389610","392190"," une artère mélingée, en particulier dans les régions"
"392190","393310"," parito-temporales."
"394750","397230"," L'hématome sudural aigu correspond le plus souvent"
"397230","399610"," à la rupture au cortex d'une zone"
"399610","402070"," d'attrition cérébrale. "
"402190","404750"," Son tableau clinique et son pronostic sont très"
"404750","405110"," graves."
"405110","408530"," Il est favorisé par la prise d'anticoagulants"
"408530","411430"," et il peut se rencontrer chez les nourrissants"
"411430","413470"," dans le cadre du syndrome des bébés secoués."
"415270","416810"," Il y a également les hémorragies mélingées qui"
"416810","418110"," sont très fréquentes. "
"421700","425340"," Il existe par ailleurs des lésions encéphaliques focales"
"425340","431300"," type contusion cérébrale ou attrition cérébrale et des"
"431300","436220"," lésions encéphaliques diffuse qui correspondent à des lésions"
"436220","439520"," axonales diffuse qui peuvent siéger dans les hémisphères"
"439520","442280"," cérébraux sur le corps canneux, le tronc cérébral"
"442280","443880"," et le cervelet."
"444520","447680"," Il en résulte une altération voire une interruption"
"447680","450260"," de la transmission nerveuse si l'axone est"
"450260","451060"," complètement détruit."
"452020","454780"," Ceci sera responsable de séquelles neurologiques à long"
"454780","457220"," terme avec un mauvais pronostic. "
"457220","462300"," Le gonflement cérébral quant à lui, précoce, appelé"
"462300","466680"," également grain swelling, apparaît dans les premières heures"
"466680","469140"," surtout chez l'enfant et va se manifester"
"469140","472680"," par un effacement des ventricules et des citernes"
"472680","473360"," de la base."
"476320","479100"," Alors, s'agissons maintenant des lésions secondaires."
"479100","484640"," Leur apparition fait suite aux lésions primaires et"
"484640","486980"," cette apparition va être favorisée par de nombreux"
"486980","490680"," facteurs décrits sous le terme d'agression cérébrale"
"490680","491340"," secondaire. "
"491940","494820"," Ces lésions secondaires, s'ajoutant aux lésions primitives,"
"495340","497600"," vont aggraver le pronostic vital et fonctionnel des"
"497600","500440"," patients présentant un traumatisme crânien grave."
"501120","503920"," Elles peuvent survenir dans les minutes, les heures"
"503920","505700"," ou les jours suivant le traumatisme."
"505700","509640"," Ces aggravations peuvent être d'origine intracrânienne, comme"
"509640","513559"," les hématomes, les tumeurs, l'hypertension intracrânienne, le"
"513559","517840"," vasospase post-traumatique, mais également d'origine extracrânienne. "
"520880","523039"," Je vous ai mis ici l'ensemble de"
"523039","525780"," ces agressions avec leurs différentes éthologies."
"526440","529140"," Il convient de ce fait de les prévenir,"
"529420","531560"," voire de les traiter tout au long du"
"531560","534280"," processus de la prise en charge des traumatisés"
"534280","535020"," crâniens graves."
"538300","540480"," Alors, il faut savoir aussi que leurs mécanismes"
"540480","545280"," sont complexes et intriqués, à savoir la libération"
"545280","547960"," de leurs transmetteurs excitateurs comme le glutamate. "
"547960","552500"," Il s'agit donc souvent d'une auto "
"552500","556420","-aggravation responsable d'une extension des lésions qui"
"556420","560480"," vont aboutir au développement d'un œdème cérébral,"
"560900","563380"," d'une hypertension intracrânienne et d'une ischémie."
"564180","569920"," D'où donc la nécessité absolue d'une"
"569920","572580"," prise en charge médicale initiale précoce qui va"
"572580","574660"," avoir un rôle primordial dans leur prévention."
"577320","583060"," On décrit classiquement plusieurs types d'œdèmes, mais"
"583060","586240"," classiquement on va distinguer l'œdème vasogénique par"
"586240","589300"," rupture de la barrière hémato-encéphalique, et puis"
"589300","594440"," l'œdème cytotoxique qui, lui, sera secondaire à"
"594440","596280"," l'analyse des cellules nerveuses. "
"597500","599980"," Les œdèmes feront le lit donc de l "
"599980","603680","'hypertension intracrânienne, de l'engagement cérébral et de"
"603680","604120"," l'ischémie."
"607770","611070"," Alors, je vous ai mis également ici ce"
"611070","615270"," schéma récapitulatif de la pathogénie des lésions traumatiques"
"615270","616090"," cérébrales."
"620390","624370"," Alors, justement, afin de bien comprendre l'enjeu"
"624370","628230"," de cette hypertension intracrânienne, il est très intéressant"
"628230","631090"," d'étudier la dynamique intracrânienne. "
"631930","634290"," Et donc, il faut savoir qu'il existe,"
"634890","638170"," au sein de la boîte crânienne inextensible, un"
"638170","641270"," véritable conflit d'espace entre contenu et contenu."
"643010","646050"," Au sein de cette boîte crânienne, les composantes"
"646050","650750"," sont le parenchyme cérébral, le liquide céphalo-rachidien"
"650750","651210"," et l'eau."
"652670","654190"," Et, bien évidemment, le volume sanguin. "
"654190","656650"," Il faut savoir que le contenu crânien d "
"656650","658170","'un adulte est de l'ordre de 1000"
"658170","661910"," à 1500 millilitres et que ce contenu, il"
"661910","664910"," est constant et va générer une pression intracrânienne"
"664910","669030"," qui, idéalement, doit rester constante mais elle peut"
"669030","671550"," varier selon la modification des trois volumes."
"673470","678630"," Et donc, selon la loi de Monrokelli, toute"
"678630","683590"," augmentation de l'une des composantes intracrâniennes doit"
"683590","685290"," s'accompagner d'une baisse de l'autre"
"685290","688550"," afin de sauvegarder une pique, c'est-à "
"688550","690090","-dire une pression intracrânienne constante."
"690730","693430"," Autrement dit, en situation normale, il existe un"
"693430","696650"," véritable équilibre dynamique entre les trois composantes. "
"696650","699910"," Ceci nous amène à parler de la courbe"
"699910","702610"," de l'angphite qui est la courbe de"
"702610","703710"," la compliance cérébrale."
"704730","707530"," Elle a une forme hyperbolique et stipule que"
"707530","709750"," toute augmentation du volume de l'un des"
"709750","712530"," composants du cerveau qui est non compensée par"
"712530","714730"," la baisse du volume de l'autre va"
"714730","716910"," s'accompagner d'une augmentation de la pression"
"716910","719730"," intracrânienne et c'est ça qui va définir"
"719730","721810"," l'hypertension intracrânienne."
"723750","728190"," Et puisque la pression de superfusion cérébrale n "
"728190","731130","'est autre que la différence entre la pression"
"731130","735470"," artérielle moyenne et la pression intracrânienne, toute élévation"
"735470","737590"," de la pression intracrânienne au-delà de 15,"
"738030","742710"," qui définit normalement l'hypertension intracrânienne, aura comme"
"742710","745410"," retentissement une réduction de la pression de superfusion"
"745410","748610"," cérébrale et aura également comme corollaire une augmentation"
"748610","752190"," compensatrice de la pression artérielle moyenne c'est"
"752190","754790"," le fameux réflexe de Cushing qu'on retrouve"
"754790","756750"," en cas d'hypertension intracrânienne. "
"760430","764910"," Cette hypertension intracrânienne aura comme principale conséquence un"
"764910","769170"," déplacement par enchemateux, un engagement cérébral, une compression"
"769170","772310"," des structures vitales et une ischémie."
"772310","776830"," Sur ce schéma, tous les engagements intracérébraux sont"
"776830","777830"," représentés."
"778770","781370"," Il peut s'agir d'un engagement sous "
"781370","783610","-falcoriel, il peut également s'agir d'un"
"783610","786730"," engagement central, mais également d'un engagement temporal"
"786730","787750"," et occipital. "
"791470","795290"," Alors, cette même pression de perfusion cérébrale détermine"
"795290","798650"," le débit sanguin cérébral qui, de par son"
"798650","803010"," importance cruciale, est soumis à une autorégulation qui"
"803010","805930"," va lui permettre de préserver la perfusion cérébrale"
"805930","807590"," malgré les changements de la pression de perfusion"
"807590","808170"," cérébrale."
"808650","810170"," C'est ce qui définit la courbe d "
"810170","812270","'autorégulation du débit sanguin cérébral."
"813210","817030"," Chez le traumatisme crânien grave, cette autorégulation pourrait"
"817030","819870"," être altérée, ce qui veut dire que le"
"819870","822870"," débit sanguin cérébral va devenir complètement dépendant de"
"822870","824190"," la pression de perfusion cérébrale. "
"824650","826630"," On le voit très bien sur cette courbe"
"826630","830590"," et c'est exactement ce que vous voyez"
"830590","831230"," sur cette courbe."
"831750","839090"," Enfin, certains facteurs vont modifier le débit sanguin"
"839090","841770"," cérébral, à savoir la PACO2."
"843030","845670"," La PAO2, et comme vous le voyez très"
"845670","850670"," bien sur cette courbe, toute hypercapnie et hypoxie"
"850670","854550"," s'accompagnent d'une élévation du débit sanguin"
"854550","855210"," cérébral. "
"859060","864240"," Alors, pour récapituler, tout agressant cérébral va générer"
