"start","end","text"
"1220","6900"," Bonjour, nous allons voir aujourd'hui un chapitre"
"6900","15000"," concernant une pathologie gynécologique assez mystérieuse, surtout sur"
"15000","19320"," le plan éthiopathogénique, c'est les endométrioses."
"21960","28680"," L'endométriose se définit comme étant l'implantation"
"28680","34000"," et le développement en dehors de la cavité"
"34000","37060"," utérine du tissu endométrial."
"37280","40740"," Ça veut dire que, en général, le tissu"
"40740","44700"," endométrial, l'endomètre, capisse la cavité de l "
"44700","45280","'utérus. "
"45280","51740"," Dans les endométrioses, le tissu endométrial se trouve"
"51740","55680"," à l'extérieur de la cavité utérine, que"
"55680","58620"," ce soit au niveau du myomètre, c'est "
"58620","61220","-à-dire au niveau de la paroi musculaire"
"61220","64440"," lisse de l'utérus, et dans ce cas,"
"64740","71540"," l'endométriose est appelée endométriose interne ou adenomyose,"
"72220","76160"," ou bien le tissu endométrial se trouve en"
"76160","79440"," dehors de l'utérus, plus souvent au niveau"
"79440","84440"," du pelvis, mais il peut être implanté au"
"84440","87580"," niveau de la vissie, au niveau du sigmoïde,"
"87900","90020"," au niveau même du poumon, et dans ce"
"90020","93500"," cas, il est appelé endométriose externe."
"94780","98440"," La définition de l'endométriose est une définition"
"98440","101320"," purement histologique, puisqu'il n'y a pas,"
"101360","104360"," jusqu'à maintenant, de définition clinique."
"109270","117230"," On voit ici une échographie endovaginale d'un"
"117230","120930"," utérus normal, où il y a le myomètre,"
"121130","122610"," où il y a l'endomètre. "
"122730","125090"," L'endomètre se trouve au niveau de la"
"125090","128690"," cavité, le myomètre c'est la paroi musculaire"
"128690","129669"," de l'utérus."
"129669","138070"," A droite, on voit une vue stéréoscopique qui"
"138070","142150"," montre l'utérus, les trempes, le cul de"
"142150","145630"," sac de doublas, et le verre gauche d "
"145630","147690","'un côté et le verre droit, et en"
"147690","150210"," arrière, on voit le colon sigmoïde."
"154510","158450"," Dans le schéma à gauche, c'est tout"
"158450","160730"," ce qui est normal, c'est l'endomètre"
"160730","162650"," qui est en rouge et qui se trouve"
"162650","164770"," à l'intérieur de la cavité de l "
"164770","165310","'utérus. "
"165310","168950"," Par contre, à droite, on voit un tissu"
"168950","172110"," endométriosique, que ce soit au niveau du vagin,"
"172410","175110"," c'est l'endométriose vaginale, ou bien au"
"175110","177790"," niveau de l'ovaire, c'est l'endométriose"
"177790","180690"," ovarienne, ou bien au niveau de la trempe,"
"181090","183470"," c'est l'endométriose tumère."
"187220","192320"," Sur le plan épidémiologique, l'endométriose, puisque l "
"192320","195180","'endomètre n'est fonctionnel qu'en période d "
"195180","199480","'activité génitale, donc cette pathologie ne concerne que"
"199480","202660"," les femmes en période d'activité génitale."
"203660","207560"," Il faut savoir que 10 à 15%"
"207560","213160"," des femmes porteuses d'endométriose sont des femmes"
"213160","215480"," qui ne présentent aucun symptôme. "
"223220","229580"," Plus de 30% de femmes infertiles ou"
"229580","233380"," des femmes qui présentent des douleurs pélviennes chroniques"
"233380","235960"," ont cette pathologie."
"236580","239460"," C'est une pathologie de la femme de"
"239460","245380"," peau blanche et surtout, également, les femmes japonaises."
"245380","249360"," Vous voyez que, puisqu'il y a beaucoup"
"249360","252360"," de cas qui sont asymptomatiques et que la"
"252360","256579"," définition est purement histologique, donc la prévalence de"
"256579","259740"," cette pathologie n'est pas bien connue. "
