"start","end","text"
"1220","4660"," Bonjour, je suis le professeur Apoel Falah, service"
"4660","8020"," de gynécologie occitrique du CIHU de Marrakech."
"8900","12300"," Le cours d'aujourd'hui concerne les morts"
"12300","13560"," fétales in utero."
"16160","19700"," La mort fétale in utero est définie par"
"19700","23340"," le décès du foetus qui survient entre 22"
"23340","26960"," semaines d'aménorrhée et le début du travail. "
"26960","29960"," Donc elle fait partie de la mortalité périnatale."
"31520","33540"," Il s'agit d'un indicateur d'évaluation"
"33540","39320"," des systèmes de soins et demeure un problème"
"39320","41820"," de santé publique au Maroc."
"42540","47540"," Le diagnostic positif est facile, il se fait"
"47540","48330"," par l'échographie. "
"48330","53070"," Mais le bilan éthiologique afin de prévenir les"
"53070","56970"," grossesses ultérieures et les morts fétales in utero"
"56970","59230"," doit être exhaustif."
"59970","63910"," Les morts fétales in utero exposent un risque"
"63910","67350"," de complication parfois très grave chez la maman."
"68190","71250"," C'est pourquoi une fois le diagnostic fait,"
"72150","75330"," il faut assurer une évacuation utérine. "
"75330","80890"," Bien évidemment, l'intérêt du bilan éthiologique doit"
"80890","85390"," déboucher dans les grossesses ultérieures sur une prévention."
"88290","92850"," Au plan épidémiologique, la fréquence des morts fétales"
"92850","96230"," in utero est très variable en fonction des"
"96230","100530"," pays et des régions, en fonction du niveau"
"100530","101750"," socio-économique."
"101750","105090"," Elle varie de 1 à 10% en"
"105090","106830"," fonction du contexte. "
"107490","112290"," L'éthiologie, on retrouve trois ordres de causes."
"113490","116750"," Tout d'abord les causes maternelles, les causes"
"116750","119670"," annexielles et les causes fétales."
"119910","121910"," On va commencer par les causes maternelles qui"
"121910","127389"," sont les plus fréquentes et représentées essentiellement par"
"127389","129910"," les hypertensions artérielles gravidiques. "
"129910","133650"," Surtout dans notre contexte marocain."
"134650","138170"," Puis on peut retrouver aussi comme causes maternelles"
"138170","141090"," le diabète quand il est déséquilibré, les néphropathies."
"142390","146070"," Toutes les hépatopathies, en particulier les hépatopathies gravidiques,"
"146310","151330"," la cholestase gravidique, la stéatose hépatique aiguë gravidique"
"151330","154030"," qui peut être aussi bien très grave pour"
"154030","156230"," la maman ou pour le fœtus. "
"156230","158630"," Et puis à chaque fois qu'il y"
"158630","166170"," a une cardiopathie, une bronchopathy chronique, déséquilibrée, les"
"166170","169910"," infections materno-fétales, la syphilis, la rubeo, la"
"169910","173470"," toxoplasmose, le cytomégalovirus, le parvovirus."
"175010","178130"," La mort fétale interne peut survenir aussi suite"
"178130","180090"," à un traumatisme, en particulier un accident de"
"180090","181670"," la voie publique, une chute."
"181670","185950"," Et puis toutes ces causes-là peuvent favoriser"
"185950","187930"," la survenue de la mort fétale interne ou"
"187930","191810"," en particulier une anémie chronique, la démétrition, le"
"191810","197190"," surmenage ou des conduites addictives, en particulier le"
"197190","197810"," tabac. "
"200470","204350"," Les causes annexielles, on retrouve essentiellement l'hématome"
"204350","209990"," rétro-placentaire, tous les placentas prévia-hémorragiques."
"209990","213810"," L'hémorragie du bénéficiaire, c'est un repas"
"213810","218970"," d'un vaisseau d'origine fétale avec une"
"218970","222490"," hémorragie aiguë chez le fœtus."
"223470","227670"," Toutes les insuffisances placentaires, surtout dans le cadre"
"227670","230690"," des hypertensions ou des maladies de système. "
"230690","234430"," La sénescence placentaire lorsque la grossesse se prolonge."
"235350","238890"," Toutes les ischimies, les infarctus placentaires, les tumeurs"
"238890","242690"," bénies, la chorio-angie en placentaire, toutes les"
"242690","246690"," chaînes vasculaires, les anomalies du cordon circulaire serré,"
"247070","250670"," un nœud, une procédance du cordon, une aplasie,"
"250910","256190"," une artère ombilicale et puis la rupture prématurée"
"256190","257070"," des membranes."
"257070","261070"," Les causes fétales. "
"261350","265750"," On retrouve les anomalies chromosomiques dans 5 à"
"265750","267590"," 10% des morts fétales in utero."
"269370","272570"," Essentiellement, les trisomies 21, 13 et 18."
"273430","277430"," Bien évidemment, quand on a fait le prélèvement"
"277430","280580"," fétal, il faut faire le cariotype. "
"281550","284490"," Et normalement, ça doit déboucher sur un conseil"
"284490","285170"," génétique."
"285650","288150"," Il faut un laboratoire de ces études génétiques"
"288150","288830"," spécialisées."
"289350","294250"," On trouve aussi toutes les malformations fétales dans"
"294250","295510"," les syndromes polymalformatifs. "
"297090","302030"," Les infections chorio-amniotiques et fétales ascendantes au"
"302030","305850"," transplacentaire, essentiellement liées au streptococque et à l "
"305850","306490","'hystéreuse."
"307470","308650"," Les maladies hémolithiques."
"309270","313750"," Malheureusement, dans notre contexte marocain, l'incompatibilité fétomaternelle"
"313750","317470"," dans le système rhésus reste élevée par l "
"317470","318470","'absence de prévention. "
"319350","320810"," La bête de thalassémie."
"321170","325370"," Dans les grossesses multiples, on peut avoir une"
"325370","327510"," mort fétale in utero suite à un syndrome"
"327510","329310"," transfigure-transfigure."
"329830","333430"," Quand on a fait un bilan exhaustif, la"
"333430","337310"," cause reste idiopathique dans 30% des cas. "
"341320","342680"," Concernant le diagnostic positif."
"343380","347240"," Sur le plan clinique, les circonstances de découverte,"
"347520","349540"," c'est soit que cette mort fétale in"
"349540","351080"," utero est redoutée."
"351080","353340"," C'est-à-dire qu'on a des"
"353340","356740"," antécédents lors de la surveillance d'une grossesse"
"356740","357580"," à haut risque. "
"357660","359780"," Par exemple, surveillance d'un retard de croissance,"
"360180","360580"," etc."
"361680","363940"," Ou la mort fétale in utero peut survenir"
"363940","367540"," d'une manière brutale, inattendue."
"368380","369240"," Les signes d'appel. "
"370740","373960"," Souvent, il y a une disparition de la"
"373960","376040"," perception du mouvement actif du foetus."
"376860","378100"," Apparition de la mort antélèteuse."
"379280","380580"," Et puis il y a l'examen physique. "
"381080","383800"," La hauteur utérine est diminuée par rapport à"
"383800","386840"," la hauteur qui doit exister."
"387840","393240"," Perception négative des BCF, des brûlures du cœur"
"393240","393720"," fétal."
"394360","396320"," Et si on fait un toucher vaginal, on"
"396320","399420"," va trouver un chevauchement des os du crâne"
"399420","402120"," et une crépitation osseuse. "
"405800","410360"," Le diagnostic repose surtout sur les examens par"
"410360","410800"," clinique."
"410800","415120"," La radiographie du contenu utérin est abandonnée."
"415520","417560"," Elle n'a plus d'intérêt avec l "
"417560","418700","'échographie actuellement. "
"419480","424440"," L'échographie obstétrique réalisée va montrer l'absence"
"424440","425800"," d'activité cardiaque."
"426680","429800"," Donc il faut bien visualiser l'air cardiaque."
"430840","434480"," Et éventuellement céder par le Doppler en cas"
"434480","435280"," de difficulté. "
"435780","438180"," Et bien évidemment, on n'aura pas de"
"438180","439120"," mouvement actif."
"439120","442460"," On peut avoir un décollement cutané, un chevauchement"
"442460","444560"," des os du crâne, une image à double"
"444560","445100"," contour."
"445520","448580"," Surtout quand la morphe fétale mutéro est ancienne. "
"453270","456710"," Sur le plan étiologique, il faut faire une"
"456710","460110"," enquête exhaustive à la recherche d'une étiologie."
"460850","463070"," Bien évidemment, il faut commencer par l'interrogatoire"
"463070","465950"," pour préciser l'âge de la patiente, sa"
"465950","467250"," justice, sa parité."
"468190","471470"," Ses conditions socio-économiques, son niveau d'instruction. "
"473130","475550"," Rechercher s'il y a des conduites addictives,"
"475950","477190"," des antécédents médicaux."
"477290","479810"," En particulier la recherche de pathologies vasculaires ou"
"479810","481950"," des maladies systémiques qui peuvent être une cause"
"481950","483810"," directe de cette morphe fétale."
"484990","488010"," Un examen général en précisant le poids, l "
"488010","489690","'état négationnel de la patiente. "
"490770","492990"," Il faut mesurer sa tension artérielle, faire une"
"492990","497470"," bandelette multiréactive et un examen somatique complet."
"498430","500770"," Et demander un certain nombre de bilans, en"
"500770","502450"," particulier sur l'imagerie."
"503110","504750"," En particulier l'échographie obstétrique. "
"506090","509930"," Surtout il faut faire une échographie morphologique à"
"509930","513309"," la recherche d'un syndrome polymalformatif."
"514370","516450"," Faire un Doppler utérin."
"517210","520830"," Si le Doppler utérin est pathologique, est beaucoup"
"520830","525630"," plus orienté vers une origine maternelle, vasculaire. "
"526370","529790"," Faire une radiographie du fœtus."
"533160","537200"," Et puis sur le plan biologique, on doit"
"537200","540540"," demander un groupage résus, un hémogramme, une glycémie"
"540540","542820"," agent et une glycémie postplantiale."
"543520","546260"," Et une protéinerie de 24 heures, l'urée,"
"546520","547140"," la créatine. "
"547320","550660"," Un bilan hépatique, un bilan immunologique et éventuellement"
"550660","551960"," un bilan infectieux."
"551960","554940"," Et puis si on est plus orienté vers"
"554940","557260"," une étiologie d'origine fœtale."
"558040","560340"," Et en cas de récidive de ces morts"
"560340","565020"," fœtales, on peut faire un caréutype fœtale, un"
"565020","565900"," caréutype de parent. "
"566700","570480"," Et des fois, en cas d'anomalie génétique,"
"570840","572960"," on peut faire une étude moléculaire."
"574020","576960"," Et dans des centres équipés, on doit faire"
"576960","582120"," de la fœtopathologie avec une étude anathémopathologique du"
"582120","583860"," fœtus et du placenta."
"587930","590890"," Donc une fois le diagnostic écographique et fait"
"590890","593670"," de morts fœtales immunitaires, il faut voir le"
"593670","599190"," contexte clinique et écographique qui peuvent être évocateurs. "
"599190","605770"," Soit dans le cadre d'un tableau vasculaire,"
"606210","610350"," une pathologie maternelle connue telle que le lupus,"
"610430","612390"," le syndrome des antiphosphélippides."
"613090","618030"," Ou une pathologie vasculo-placentaire type pré-eclampsie,"
"618810","621590"," elb-syndrome ou de la Sherpé."
"621590","623830"," Là, il faut faire ce bilan, l'immigration"
"623830","629230"," ionogamme, la protéine, un bilan hépatique et un"
"629230","632210"," bilan de thrombophélie à distance. "
"633510","635430"," Et puis des fois, on a une cause"
"635430","638930"," évidente, par exemple un diabète déséquilibré."
"639650","643730"," Et puis si vous avez un saignement concomitant,"
"644690","647030"," il faut voir s'il y a une"
"647030","649710"," notion de traumatisme."
"649710","654270"," Et des fois vous avez un contexte infectieux,"
"654790","657830"," par exemple une rupture primitivement ombrane, un choc"
"657830","662450"," septique suite à un chorio-amniotite, un tableau"
"662450","665510"," grippal, un hasard à l'échographie. "
"665730","668390"," Donc là, il faut faire tous les prélèvements"
"668390","669970"," dans ce sens-là."
"673210","678010"," Et puis en absence d'éléments d'orientation,"
"678150","679930"," donc il n'y a pas de contexte"
"679930","685230"," évocateur, il faut faire un bilan initial systématique."
"685630","691350"," Donc une immigration TPTCK, un immunogramme, des hémocultures,"
"691470","696550"," un ECBU et puis toutes les sérologies possibles. "
"696550","698910"," Et on peut à ce moment-là retrouver"
"698910","699830"," des sérologies."
"700670","702690"," Sinon, on peut aller jusqu'à l'examen"
"702690","707510"," phétopathologique avec éventuellement des analyses génétiques."
"711880","715000"," Quelles sont maintenant les complications maternelles ?"
