"start","end","text"
"5040","7620"," Ceci est un cours sur les avortements spontanés"
"8560","11700"," destiné aux étudiants de 5e année des études"
"11700","14060"," médicales de la faculté de médecine et de"
"14060","16340"," pharmacie de Marrakech dans le cadre du module"
"16340","18300"," de gynécologie obstétrique."
"19240","23100"," C'est un cours qui revêt une importance"
"23100","26660"," capitale vu la fréquence de ce phénomène qui"
"26660","31400"," est les avortements spontanés, de son retentissement sur"
"31400","33680"," la vie reproductive des femmes et des couples"
"33680","36220"," et aussi le retentissement psychologique."
"37800","40520"," L'avortement spontané est défini comme étant l "
"40520","44200","'interruption spontanée de la grossesse avant la période"
"44200","48080"," de viabilité qui est définie actuellement entre 22"
"48080","49120"," et 24 semaines. "
"49940","54580"," La fréquence de ce phénomène est élevée et"
"54580","57840"," dépend de la méthode diagnostique."
"57840","61360"," Quand on parle des avortements uniquement cliniques, ça"
"61360","64360"," représente 10 à 25 % de toutes les"
"64360","64920"," grossesses."
"65580","68420"," Quand on parle des avortements précliniques, c'est "
"68420","70900","-à-dire avant les signes cliniques de la"
"70900","74820"," grossesse, presque 50 % des fécondations ne vont"
"74820","76620"," pas aboutir à une naissance vivante. "
"77480","80380"," Sur le plan nosologique, on distingue les avortements"
"80380","83760"," précoces ou avortements du premier trimestre avant 12"
"83760","86540"," semaines et qui sont de loin les plus"
"86540","89760"," fréquents et les avortements tardifs ou les avortements"
"89760","93160"," de deuxième trimestre qui sont moins fréquents mais"
"93160","94980"," qui sont particuliers."
"95900","99360"," Le phénomène de reproduction dans l'espèce humaine"
"99360","102520"," est un phénomène très sélectif comme le montre"
"104220","111680"," cette pyramide qui représente les pertes embryonnaires et"
"111680","113840"," fétales depuis la conception, c'est-à-dire"
"113840","118160"," depuis la fécondation jusqu'à la naissance vivante."
"118160","122120"," Vous voyez qu'uniquement 30 % des œufs"
"122120","124360"," fécondés vont aboutir à une naissance d'un"
"124360","127240"," nouveau-né en bonne santé et que 30"
"127240","132740"," % vont s'avorter avant même les signes"
"132740","135360"," cliniques, c'est-à-dire après l'implantation. "
"135480","137960"," 30 % ne vont pas s'implanter et"
"137960","142260"," 10 % vont donner un avortement après le"
"142260","144000"," diagnostic de la grossesse."
"146390","149090"," Les facteurs de risque des avortements spontanés, que"
"149090","152250"," ce soit les avortements pour la première fois"
"152250","156190"," ou à répétition, sont globalement l'âge maternel"
"156190","159690"," qui est un facteur capital avec un seuil"
"159690","163230"," de 35 % et une augmentation considérable au "
"163230","166410","-delà de 40 ans."
"167110","169350"," Les antécédents d'avortement, une femme qui a"
"169350","172050"," déjà un ou deux antécédents d'avortement a"
"172050","175610"," plus de risque d'avoir un troisième avortement"
"175610","177870"," et ceci est lié au nombre d'avortements"
"177870","178770"," dans les antécédents. "
"179290","181790"," Les grossesses multiples sont aussi un facteur de"
"181790","184150"," risque, le diabète maternel, surtout s'il est"
"184150","186850"," mal équilibré, et les maladies de système."
"187870","194730"," Sur le plan des étiologies, la première cause"
"194730","199070"," d'avortement du premier trimestre est essentiellement les"
"199070","202170"," anomalies génétiques du conceptus de l'embryon, que"
"202170","205010"," ce soit les anomalies chromosomiques ou les anomalies"
"205010","208950"," géniques, et aussi les anomalies structurelles, les malformations"
"208950","213070"," majeures avec ou sans substratum génétique."
"213650","218030"," Les anomalies endocriniennes viennent en deuxième lieu, les"
"218030","223390"," malformations utérines, les pathologies immunologiques, les infections, et"
"223390","225250"," dans un certain nombre de cas, on ne"
"225250","226970"," retrouve aucune étiologie. "
"228530","232130"," Les causes génétiques peuvent être subdivisées, comme on"
"232130","234770"," l'a dit, en causes chromosomesiques, qui sont"
"234770","237790"," responsables de 60% des avortements du premier"
"237790","242070"," trimestre et pratiquement 80% des œufs clairs,"
"242670","244890"," et comme vous le voyez, c'est de"
"244890","248270"," loin la cause la plus fréquente et qui"
"248270","251570"," témoigne d'un processus de sélection et qui"
"251570","253750"," est la conséquence le plus souvent d'anomalies"
"253750","255930"," au cours de la fécondation ou des premières"
"255930","261150"," divisions mythotiques et qui témoignent aussi le plus"
"261150","264890"," souvent d'un état ovocitaire de mauvaise qualité."
"265310","268630"," Il existe évidemment des causes géniques, mais qui"
"268630","271410"," sont moins fréquentes et en tout cas plus"
"271410","273350"," difficiles à mettre en évidence."
"274030","278790"," Les anomalies chromosomesiques incluent toutes les anomalies de"
"278790","281290"," nombre, que ce soit les triploïdies, qui vont"
"281290","285250"," donner en général des molles et datiformes, les"
"285250","290130"," tétraploïdies, qui représentent 6%, ou les trisomies, les"
"290130","292310"," plus fréquentes sont les 16, les 22, les"
"292310","293890"," 21, les 13, les 18. "
"294070","297610"," Les monosomies X, aux syndromes de Turner, peuvent"
"297610","300910"," aussi être une cause d'avortement précoce et"
"300910","304570"," il existe évidemment des anomalies chromosomesiques qualitatives, comme"
"304570","307750"," les délessions et surtout les translocations."
"309380","314660"," Deuxième chapitre, dans les étiologies des avortements spontanés"
"314660","321520"," du premier trimestre, sont les malformations utérines et"
"321520","326060"," qui sont représentées essentiellement par l'utérus cloisonné,"
"326280","328460"," qui est responsable des avortements dans 10 à"
"328460","330200"," 15% des cas."
"330600","334400"," Les utérus bicornes ou plus rarement les utérus"
"334400","338200"," hypoplasiques, qui peuvent être mis en évidence en"
"338200","341140"," échographie, ou par une hystérométrie, ou à l "
"341140","342440","'hystérosalpingographie. "
"342820","346340"," Il existe évidemment des causes anatomiques acquises, comme"
