"start","end","text"
"2940","6500"," Ceci est un cours destiné aux étudiants de"
"6500","9180"," 5ème année des études médicales de la Faculté"
"9180","11460"," de médecine de pharmacie de Marrakech dans le"
"11460","14880"," cadre du module de gynécologie obstétrique."
"16500","19040"," Il s'agit du cours sur l'utérus"
"19040","21660"," cicatriciel qui est un chapitre très important vu"
"21660","24020"," le nombre de plus en plus augmenté de"
"24020","26840"," l'utérus cicatriciel dans la pratique obstétrique en"
"26840","30320"," raison de l'augmentation des taux de césarienne"
"30320","31940"," et de chirurgie sur l'utérus."
"31940","36700"," L'utérus cicatriciel est défini comme étant tout"
"36700","41360"," utérus porteur d'une plaie survenant pendant ou"
"41360","45160"," en dehors de la grossesse et ayant intéressé"
"45160","49200"," en partie ou en totalité la paroi utérine"
"49200","50860"," ou le col de l'utérus. "
"50860","55200"," C'est une situation fréquente en obstétrique du"
"55200","56920"," fait, comme on a dit, de l'élevation"
"56920","59500"," des taux de césarienne, mais aussi de la"
"59500","62600"," fréquence de plus en plus élevée de la"
"62600","64800"," chirurgie sur l'utérus, que ce soit par"
"64800","68960"," voie laparoscopique, par voie hystéroscopique ou aussi par"
"68960","71600"," voie conventionnelle de la parotone."
"71600","75440"," L'accouchement sur un utérus porteur d'une"
"75440","78980"," cicatrice est un accouchement à risque vu le"
"78980","82460"," risque essentiel de rupture utérine avec des conséquences"
"82460","84840"," materno-fétales, parfois très graves."
"86790","89270"," En pratique obstétricale, il y a un taux"
"89270","92430"," élevé de césarienne systématique, c'est à dire"
"92430","96210"," de faire césarienne systématiquement chez toutes les femmes"
"96210","99150"," porteuses d'un utérus cicatriciel. "
"100890","104150"," Malgré que cette pratique ne soit pas fondée"
"104150","106250"," sur des bases scientifiques solides et que l "
"106250","110110","'accouchement par voie basse reste possible sans augmenter"
"110110","113390"," les risques materno-fétales, en respectant, bien sûr,"
"113590","117010"," une méthodologie de sélection des patients qui repose"
"117010","120250"," sur la définition des critères de choix du"
"120250","123370"," mode d'accouchement et en respectant les conditions"
"123370","125550"," strictes de l'épreuve utérine."
"128110","131270"," Avant de passer au vif du sujet, quelques"
"131270","136910"," mots de terminologie à connaître afin de pouvoir"
"136910","144570"," échanger entre collègues sur ce type de pathologie"
"144570","146250"," et de situation obstétrique."
"146250","150050"," On parle de césarienne itérative lorsqu'on fait"
"150050","154850"," des césariennes sur utérus cicatriciel, qu'elles soient"
"154850","155970"," systématiques ou non. "
"156450","159570"," On parle d'épreuve utérine lorsqu'on tente"
"159570","162270"," de faire un accouchement par voie basse chez"
"162270","165070"," une patiente porteuse d'un utérus cicatriciel."
"165070","169510"," On parle de rupture utérine lorsque, de manière"
"169510","175070"," accidentelle, survient une solution de continuité de toute"
"175070","178510"," la paroi utérine et qui va faire communiquer"
"178510","181390"," la cavité amniotique avec la cavité abdominale."
"181390","184790"," Une forme de cette rupture utérine est la"
"184790","188650"," déhiscence utérine, qui correspond à une rupture sous "
"188650","191190","-péritoniale, c'est-à-dire avec une serreuse"
"191190","194690"," qui reste intacte, condition qui est de plus"
"194690","197850"," bon pronostic que la rupture franche intéressant tous"
"197850","203270"," les éléments de la paroi utérine. "
"212040","215440"," Sur le plan épidémiologique, la fréquence de l "
