"start","end","text"
"3740","6240"," Ceci est un cours destiné aux étudiants de"
"6240","10200"," 5e année des études médicales de la faculté"
"10200","12360"," de médecine et de pharmacie de Marrakech dans"
"12360","15260"," le cadre du module de gynécologie obstétrique."
"17080","20840"," C'est le cours sur le prolapsus urogenital,"
"21080","22160"," diagnostic et traitement."
"25440","27280"," Le prolapsus, c'est un trouble de la"
"27280","30580"," statique pelvienne qui correspond à une descente des"
"30580","32160"," organes pelviens féminins. "
"32160","34340"," C'est une pathologie qui est fréquente."
"34500","37600"," Elle va toucher presque plus de la moitié"
"37600","38680"," de toutes les femmes."
"39460","42120"," Donc, c'est une pathologie qui est complexe"
"42120","46400"," par de sa physiopathologie et qui engendre plutôt"
"46400","50040"," des difficultés thérapeutiques alors que le diagnostic est"
"50040","53300"," souvent aisé et il s'agit d'un"
"53300","54280"," diagnostic clinique. "
"55560","57260"," La symptomatologie est variable."
"57260","61380"," Il est non spécifique au prolapsus et aussi"
"61380","64840"," non corrélé à la sévérité des lésions anatomiques."
"65040","68220"," On peut retrouver des prolapsus sévères sur le"
"68220","73180"," plan anatomique alors qu'ils engendrent une manifestation"
"73180","75960"," clinique moindre et vice versa. "
"76860","78640"," C'est une pathologie, comme on a dit,"
"78940","82520"," qui est complexe, qui touche les organes génitaux"
"82520","85640"," avec des retentissements aussi urologiques et digestifs."
"85640","88080"," Et de ce fait là, il nécessite une"
"88080","93620"," prise en charge multidisciplinaire qui inclut les gynécologues,"
"93740","97700"," les urologues, les chirurgiens digestifs, les radiologues et"
"97700","98820"," les rééducateurs."
"104760","109620"," Cette pathologie bénigne et fonctionnelle correspond à une"
"109620","111540"," ptose, c'est à dire une descente à"
"111540","115020"," des degrés divers et en association variable, c "
"115020","117980","'est à dire entre les différentes composantes des"
"117980","121400"," organes génitaux qui sont mal soutenus, qui va"
"121400","125980"," réaliser au maximum une extériorisation totale de l "
"125980","129520","'appareil génital féminin interne à l'extérieur, comme"
"129520","131760"," on le voit sur cette image là. "
"134140","136500"," La prévalence de cette pathologie reste mal connue"
"136500","141200"," du fait du caractère peu symptomatique de certaines"
"141200","146080"," formes et aussi du retard de consultation des"
"146080","146680"," patientes."
"147180","149300"," Elle est estimée dans certaines études à plus"
"149300","151660"," de la moitié de la population féminine."
"152340","155800"," Et par exemple, au Canada, elle représente 13 "
"155800","159280","% des indications des hystérectomies et aux Etats "
"159280","163520","-Unis, il y a 500.000 interventions environ"
"163520","169640"," par an qui concernent la pathologie du prolapsus. "
"171120","174140"," Le risque cumulé de chirurgie pour troubles de"
"174140","177200"," la statique pelvienne, c'est à dire prolapsus"
"177200","181000"," ou incontinence urinaire d'effort chez toute femme"
"181000","187220"," est estimé en général 11% vers 80"
"187220","188320"," ans."
"192380","195500"," Les facteurs de risque de cette pathologie restent"
"195500","197200"," multiples et diverses."
"197360","200380"," Les facteurs congénitaux restent les moins fréquents. "
"200580","202640"," Il s'agit de toute pathologie qui va"
"202640","205840"," altérer la qualité des tissus de soutien et"
"205840","208600"," de soutènement, notamment du tissu conjonctif et des"
"208600","212040"," tissus élastiques comme la maladie de Marfon, le"
"212040","216420"," syndrome d'Ehlers-Danlos ou des anomalies anatomiques"
"216420","222440"," qui vont altérer les contraintes mécaniques sur les"
"222440","226600"," différents ligaments utérins, comme par exemple une profondeur"
"226600","228580"," anormale du cul de sac de Douglas, des"
"228580","230580"," anomalies dans la courbure du rachis."
"231360","234000"," Il existe aussi des facteurs généraux, des facteurs"
"234000","236500"," de risque généraux comme l'âge, l'obésité,"
"236860","241320"," la multiparité, le tabac et la bronchopathie et"
"241320","244400"," aussi la constipation du fait de l'augmentation"
"244400","249780"," permanente et fréquente de la pression intra-abdominale"
"249780","252160"," qui va exercer un effet de poids sur"
"252160","253240"," les organes génitaux."
"253950","258700"," Les traumatismes, notamment les traumatismes obstétricaux, l'accouchement"
"258700","262280"," par voie basse, les élongations ligamentaires au cours"
"262280","265240"," des accouchements traumatiques comme par exemple lors de"
"265240","269000"," l'accouchement de macrosomes ou d'extractions instrumentales"
"269000","272380"," qui peuvent entraîner soit des élongations ligamentaires, des"
"272380","277860"," déchets musculaires, des dénervations musculaires, des élongations, des"
"277860","282420"," compressions et des dénervations des nerfs des différents"
"282420","283860"," sphincters. "
"284700","286360"," Il y a aussi des facteurs de risque"
"286360","290020"," physiologique comme la ménopause qui va participer et"
"290020","295960"," aggraver la dégradation des tissus musculaires, tissus conjonctifs"
"295960","298540"," et aussi de l'inervation."
"299180","302540"," Il y a aussi des facteurs de risque"
"302540","308020"," iatrogène comme par exemple la chirurgie pélvienne, notamment"
"308020","313440"," l'hystérectomie qui va réaliser une section des"
"313440","317140"," ligaments de l'utérus avant son exerèse et"
"317140","321500"," de ce fait va affaiblir le système de"
"321500","325820"," soutènement et surtout de suspension du dôme vaginal."
"327220","330340"," Parmi ces facteurs de risque, il existe trois"
"330340","333620"," facteurs qui sont validés statistiquement et qui sont"
"333620","334760"," les plus importants. "
"334760","337000"," C'est l'antécédent d'accouchement par voie"
"337000","339860"," basse, c'est l'âge avancé et c "
"339860","340520","'est l'obésité."
"341020","343480"," Les autres facteurs de risque sont la grossesse"
