"start","end","text"
"1220","6260"," Bonjour, aujourd'hui nous allons voir un chapitre"
"6260","12700"," fort intéressant concernant les hypertension artérielle gravidique, c "
"12700","17540","'est-à-dire toute hypertension artérielle associée à"
"17540","18720"," la grossesse."
"18720","27520"," C'est un chapitre intéressant puisqu'il est"
"27520","32200"," parmi les principales causes de mortalité maternelle."
"32740","37720"," La mortalité maternelle, il y a soit les"
"37720","42760"," hémorragies de la délivrance, soit les complications des"
"42760","46720"," hypertension artérielle gravidique, soit les infections puérpérales. "
"46720","52160"," L'hypertension artérielle gravidique représente 10% de"
"52160","53280"," toutes les grossesses."
"55580","59600"," C'est une pathologie de mauvais pronostic, que"
"59600","62680"," ce soit pour la mère que pour le"
"62680","63180"," fœtus."
"63860","67500"," Sa physiopathologie n'est pas très bien connue,"
"67980","70320"," mais il est dû à la présence de"
"70320","72040"," fœtus en intra-utérins. "
"72040","77680"," Ici, je parle de la physiopathologie de l "
"77680","81840","'hypertension artérielle gravidique avec protéinerie, ça veut dire"
"81840","86360"," une pré-éclampsie ou toxémie gravidique."
"89650","94130"," Les objectifs de ce chapitre sont connaître bien"
"94130","98210"," la définition des hypertension artérielle gravidique, la physiopathologie,"
"98370","102630"," la classification, le diagnostic, dresser un bilan de"
"102630","109650"," gravité, rechercher ou guetter les complications, et bien"
"109650","114270"," sûr une prise en charge thérapeutique et éventuellement"
"114270","115290"," préventive."
"116410","124700"," Par définition, les hypertension artérielle gravidique sont une"
"124700","129020"," pression artérielle systolique supérieure ou égale à 140"
"129020","135960"," mmHg et ou une pression artérielle diastolique supérieure"
"135960","137940"," ou égale à 90 mmHg. "
"139040","143420"," Il faut les prendre en deux reprises à"
"143420","145340"," quatre heures d'intervalle."
"148930","153790"," La classification des hypertension artérielle, nous avons quatre"
"153790","157270"," types d'hypertension artérielle."
"157570","159770"," La première, c'est la pré-éclampsie ou"
"159770","164770"," toxémie gravidique, c'est la plus grave. "
"165610","170070"," Elle survient pendant la deuxième moitié de la"
"170070","173150"," grossesse après 20 semaines et surtout au troisième"
"173150","174510"," trimestre de la grossesse."
"174510","181570"," Elle associe une pression artérielle systolique supérieure ou"
"181570","187650"," égale à 190 mmHg, une pression artérielle diastolique"
"187650","193150"," supérieure ou égale à 90 mmHg, associée à"
"193150","199050"," une protéinerie, avec ou sans œdème, les œdèmes"
"199050","203490"," ne sont pas pris en considération dans le"
"203490","208110"," diagnostic de la pré-éclampsie."
"210090","213430"," Cette pré-éclampsie survient au cours de la"
"213430","216670"," grossesse et le plus souvent, elle disparaît après"
"216670","218550"," la grossesse, mais il y a le risque"
"218550","222010"," accru de hypertension artérielle chronique. "
"222910","227190"," L'hypertension artérielle chronique, surtout la première partie"
"227190","229550"," de la grossesse, se sent le plus souvent"
"229550","233530"," des femmes multipares et il y a les"
"233530","238450"," cas d'hypertension artérielle chronique associant les maladies"
"238450","240130"," vasculos-rénales."
"243490","246830"," Il y a la toxinus surajoutée, c'est"
"246830","252710"," une patiente présentant une hypertension artérielle chronique qui"
"252710","254890"," va développer au cours de la grossesse une"
"254890","255709"," protéinerie."
"256170","259510"," Et il y a les hypertensions artérielles transitoires"
"259510","262090"," sans protéinerie qui apparaissent à chaque grossesse et"
"262090","263930"," disparaissent après la grossesse. "
"266310","271130"," Sur le plan épidémiologique, hypertension artérielle gravidique complique"
"271130","273030"," 10 à 15% des grossesses."
"273570","275930"," Les facteurs de risque sont les âges extrêmes,"
"276310","278450"," moins de 18 ans, au-delà de 40"
"278450","282510"," ans, la primiparité, surtout pour la pré-éclampsie,"
"283290","287750"," les antécédents familiaux d'hypertension artérielle, les antécédents"
"287750","293650"," personnels, hypertension artérielle chronique, diabète, néphropathie chronique."
"294390","297690"," Et, bien entendu, des antécédents obstétricaux tels qu "
"297690","302210","'une hypertension artérielle gravidique, une éclampsie, un nématome"
"302210","308150"," rétro-placentaire, une mort fœtale intra-utérine ou"
"308150","309970"," un retard de croissance in utero. "
"314240","317060"," La physiopathologie, je ne vais pas parler de"
"317060","320180"," l'hypertension artérielle chronique ou essentielle, mais je"
