"start","end","text"
"970","3850"," Chers étudiants, j'ai le plaisir de vous"
"3850","6250"," présenter aujourd'hui ce cours sur les troubles"
"6250","9290"," psychiques de la grossesse et du postpartum."
"11260","13440"," La grossesse est un événement majeur dans la"
"13440","14160"," vie d'une femme."
"14680","16340"," C'est une période marquée par des changements"
"16340","21000"," importants sur le plan psychique, hormonal, somatique, familial"
"21000","21780"," et social. "
"22940","25380"," L'adaptation au nouveau rôle de maman et"
"25380","29380"," de ses importantes responsabilités peut entraîner un déséquilibre"
"29380","33640"," psychologique, notamment en cas de vulnérabilité psychique."
"37200","39120"," Les troubles psychiques de la grossesse et du"
"39120","42540"," postpartum s'étendent de la conception à la"
"42540","45900"," première année du postpartum et constituent un enjeu"
"45900","49260"," majeur de santé publique, de par leurs conséquences"
"49260","52080"," négatives sur la santé de la maman, le"
"52080","54460"," développement de l'enfant et sur la qualité"
"54460","55600"," de vie du couple."
"58060","62040"," Du point de vue épidémiologique, les femmes ont"
"62040","64660"," plus de risque de présenter une maladie mentale"
"64660","67260"," sévère dans les trois mois qui suivent l "
"67260","67700","'accouchement. "
"69220","71200"," Elles ont deux fois plus de risque d "
"71200","74180","'être hospitalisées en milieu psychiatrique dans l'année"
"74180","75240"," qui suit la naissance."
"77820","81820"," La dépression du postpartum est la complication postnatale"
"81820","84480"," la plus fréquente dans les pays développés."
"86500","90300"," En outre, la dépression du postpartum a une"
"90300","94420"," fréquence élevée estimée à 13%, surtout dans les"
"94420","97140"," premières semaines du postpartum où le risque est"
"97140","98560"," multiplié par 3."
"99580","102760"," Le risque de récidive est élevé, estimé entre"
"102760","105160"," 30 et 50% lors d'une grossesse"
"105160","105780"," ultérieure. "
"107830","111210"," La fréquence du blues du postpartum est estimée"
"111210","115690"," entre 26 et 85% dès accoucher."
"116750","120770"," Quant à la psychose purpurale, sa prévalence est"
"120770","123730"," de 1 à 2 cas pour 1000 accouchements."
"126750","129789"," Les troubles psychiques de la grossesse comprennent les"
"129789","135030"," réactions physiologiques mineures, les manifestations psychosomatiques, les"
"135030","139410"," manifestations anxieuses, les états dépressifs et les troubles"
"139410","140190"," psychotiques. "
"143040","149280"," Les réactions psychologiques mineures sont souvent transitoires, comprennent"
"149280","153560"," une irritabilité, l'habilité émotionnelle, des modifications des"
"153560","157120"," conduites alimentaires avec grignotage et envie et des"
"157120","157920"," troubles du sommeil."
"160410","163230"," Les nausées et vomissements gravidiques sont considérés comme"
"163230","165610"," étant des troubles psychiques de la grossesse."
"166690","168610"," Ils se voient dans 50% des cas"
"168610","171150"," sans retentissement sur l'état général. "
"171150","175210"," Ces troubles disparaissent spontanément au deuxième trimestre."
"176270","178970"," Dans certains cas, ils peuvent s'aggraver et"
"178970","182990"," persister avec un retentissement à type de déshydratation"
"182990","185370"," et troubles hydroélectrolytiques."
"188970","193130"," Les manifestations anxieuses comprennent les inquiétudes et préoccupations"
"193130","195450"," se rapportant directement à la grossesse. "
"196830","198830"," Elles sont plus fréquentes au premier et au"
"198830","200550"," dernier trimestre de la grossesse."
