"start","end","text"
"1350","4730"," Bonjour, notre cours d'aujourd'hui portera sur"
"4730","6450"," les troubles du spectre autistique."
"8210","10150"," Au terme de ce cours, vous serez capables"
"10150","12910"," de définir l'autisme, de connaître les différentes"
"12910","16010"," présentations cliniques de ce trouble, d'orienter les"
"16010","18670"," évaluations diagnostiques à la prise en charge et"
"18670","21010"," d'accompagner correctement l'enfant et sa famille."
"23910","26350"," Pour cela, nous allons suivre le plan suivant. "
"26350","32490"," L'autisme, qu'il soit au singulier ou"
"32490","35150"," pluriel avec S, ou trouble du spectre autistique"
"35150","39130"," abrégé en TSA, est défini comme étant un"
"39130","41770"," ensemble de troubles caractérisés par la présence d "
"41770","44670","'anomalies précoces, très tôt dans le développement, et"
"44670","46690"," persistantes, c'est-à-dire présentes tout le"
"46690","47970"," temps, dans deux domaines."
"48310","50530"," L'interaction sociale et la communication, qu'elle"
"50530","53930"," soit verbale ou non verbale, et le comportement"
"53930","56670"," et les intérêts restreints, limités et stéréotypés."
"57730","59970"," L'autisme remonte à très loin dans l "
"59970","60610","'histoire humaine. "
"60990","64810"," En 1798, un médecin français Jean-Marc Hétard"
"64810","67070"," avait décrit pour la première fois un cas"
"67070","69550"," d'éducie de la naissance par privation et"
"69550","71410"," manque de soins chez un tout petit enfant"
"71410","73490"," qui s'appelait Victor, l'enfant sauvage."
"74710","77650"," Après, Eugène Bleulaire a introduit en psychiatrie le"
"77650","79050"," terme d'autos, c'est-à-dire le"
"79050","81450"," repli sur soi, et ainsi plusieurs cas d "
"81450","85010","'autisme étaient appelés schizophrénie infantile précoce."
"85270","87090"," Le père de l'autisme est Léo Kanner"
"87090","90790"," qui, en 1943, a introduit pour la première"
"90790","93990"," fois la nomination d'autisme infantile précoce à"
"93990","95030"," propos de 11 cas. "
"96050","98150"," L'autisme s'appelait, il y a quelques"
"98150","101750"," années, troubles envahissant développement, mais depuis 2015, par"
"101750","103550"," l'arrivée de la cinquième version de la"
"103550","107770"," classification internationale des troubles mentaux, il s'appelle"
"107770","109790"," troubles du spectre autistique."
"110890","114430"," L'autisme est un trouble largement médiatisé, vous"
"114430","116290"," allez entendre parler partout."
"116770","118670"," C'est un diagnostic fréquent qui touche 1"
"118670","120570"," à 2% de la population mondiale. "
"121230","123510"," Un enfant sur 100 en France est diagnostiqué"
"123510","126390"," autiste, un enfant sur 66 en Belgique est"
"126390","127850"," aussi diagnostiqué autiste."
"128470","130530"," Au Maroc, et par rapport à l'enquête"
"130530","133830"," nationale des personnes en situation de handicap qui"
"133830","136650"," a été faite en 2018, cette enquête avait"
"136650","139850"," recensé 340 000 personnes avec autisme."
"140570","143250"," Nous notons une prédominance masculine, 4 garçons pour"
"143250","143630"," une fille. "
"144190","145810"," Par rapport à l'âge, les anomalies sont"
"145810","147510"," présentes avant l'âge de 6 ans avec"
"147510","149750"," un pic de fréquence entre 2 ans et"
"149750","150190"," 3 ans."
