"start","end","text"
"1029","2970"," Chers étudiants, j'ai le plaisir de vous"
"2970","6290"," retrouver pour ce cours sur les manifestations psychiatriques"
"6290","7310"," de la neurosyphilis."
"9810","12370"," La neurosyphilis, c'est une mélingue en céphalite"
"12370","13010"," d'origine syphilitique."
"14510","17710"," Elle apparaît dix à vingt ans après une"
"17710","18240"," primo-infection. "
"21330","25050"," Elle est en recrudescence depuis plusieurs années."
"25250","27290"," L'âge de sujet atteint est de plus"
"27290","27970"," en plus jeune."
"28930","32870"," Le diagnostic positif repose sur les réactions sérologiques. "
"33850","37670"," Le traitement est efficace, surtout si diagnostiqué au"
"37670","37970"," début."
"38970","40690"," Et on note l'intérêt aussi de la"
"40690","42170"," prévention de la neurosyphilis."
"46070","47910"," En type de description, il y a ce"
"47910","49450"," qu'on appelle la paralysie générale. "
"51190","53390"," Généralement, c'est un sujet de 40 ans."
"54490","58190"," La phase de début est insidieuse par un"
"58190","61050"," affaiblissement intellectuel global et progressif."
"62130","64730"," Atteint avec atteinte de la tension, de la"
"64730","69310"," mémoire, avec amnésie de fixation, qui est contrebalancée"
"69310","71790"," par défabulation et des troubles du jugement. "
"72650","76790"," Un changement de caractère et de personnalité, une"
"76790","82950"," humeur instable, une excitation hypomaniaque, une mégalomanie, un"
"82950","88090"," comportement absurde ou délictueux, de légers troubles neurologiques"
"88090","93390"," récidivants, tels des accidents aphasiques régressifs, des paralysies"
"93390","95130"," oculomotrices et autres."
"98520","104440"," Phase d'état, le syndrome neurologique est caractéristique"
"105720","109160"," avec des artrits, tremblements, troubles de l'écriture"
"109160","111620"," et de la lecture, le syndrome d'Argaël"
"111620","115300"," Robertson, des crises épileptiques et autres."
"118940","120660"," Deuxièmement, le syndrome démentiel. "
"120660","122320"," Il s'agit là, en phase d'état,"
"122440","125480"," d'une démence profonde, progressive et globale."
"126500","128520"," Il y a d'abord un déficit des"
"128520","132220"," fonctions intellectuelles, les troubles de la tension sont"
"132220","136080"," constants, les troubles de la mémoire sont à"
"136080","138240"," type d'amnésie de fixation qui s'aggrave,"
"139280","142780"," le langage devient pauvre et imprécis avec un"
"142780","146200"," ralentissement du cours de la pensée, des troubles"
"146200","148660"," de jugement avec une perte de l'autocritique,"
"151440","154560"," les troubles psychiatriques sont à type de troubles"
"154560","158360"," de l'humeur, surtout de fourries, parfois une"
"158360","161660"," humeur dépressive ou un état mélancolique grave."
"162900","167920"," Un syndrome délirant composé de délires polymorphes, polythématiques,"
"168660","172580"," mégalomanie, grandeur, persécution, délires mystiques, de transformation"
"172580","176420"," corporelle, c'est un délire mobile et contradictoire,"
"177140","181160"," parfois associé à des hallucinations auditives, synesthésiques et"
"181160","187660"," visuelles, avec autres troubles, notamment de l'agressivité,"
"187840","190940"," des troubles des conduites alimentaires, des conduites érotiques"
"190940","191800"," et autres. "
"195540","199440"," Le bilan paraclinique est fait par la sérologie"
"199440","202360"," syphilitique, le thémarcha védérale qui est positif dans"
"202360","208280"," le sang et dans l'ESR, avec une"
"208280","212000"," TDM cérébrale qui peut montrer une atrophie diffuse"
"212000","213560"," à prédominance frontale."
"217500","221300"," Plusieurs formes cliniques peuvent être notées, à part"
"221300","224340"," la paralysie générale qu'on a vu tout"
"224340","224780"," à l'heure."
"225240","228480"," D'abord, les formes à début aiguës, réalisant"
"228480","231120"," un tableau d'excitation hypomaniaque, mais qui est"
"231120","231700"," atypique. "
"232820","237000"," Une mélancolie ou une dépression à forme hypochondriaque,"
"237960","243280"," des actes médico-légaux initiaux, un syndrome confusionnel"
"243280","245940"," et des accidents neurologiques."
"247500","249980"," Il y a aussi la forme infanto-juvénile,"
"250900","254380"," la forme vasculaire et la forme asymptomatique."
"257890","261910"," Au stade de démence, il faut éliminer les"
"261910","267350"," démences primaires, d'Alzheimer surtout, et secondaires à"
"267350","268150"," type vasculaire. "
"269450","272950"," Dans les formes aiguës, il faut éliminer un"
"272950","273970"," trouble bipolaire."
"277590","281190"," Si le tableau aiguë réalise un syndrome confusionnel,"
"281310","283610"," il faut éliminer les autres éthiologies de la"
"283610","284050"," confusion."
"285070","287690"," Il faut penser aussi à un processus expansif"
"287690","291350"," ou à un début de paranoïa délirant. "
"296430","299110"," L'agent responsable est le tréponema pallidum, qui"
"299110","302850"," réalise des lésions ménagées, des lésions vasculaires et"
"302850","304390"," des lésions par enchimateuse."
"307450","309730"," Sans traitement, l'évolution est lente vers la"
"309730","310670"," démence, avec des lésions par enchimateuse."
"310670","314930"," Avec impotence, incontinence, désescarre. "
"315470","316510"," Cachexie est mort."
"317530","321390"," Avec traitement, s'il est instauré au début,"
"321630","323250"," on obtient une amélioration clinique."
"323730","326170"," Si tardif, on vise la stabilisation de l "
"326170","326830","'état du patient. "
"328030","332190"," Le traitement repose sur la pénigémie."
"334390","338530"," Avec des traitements symptomatiques pour les troubles psychiatriques,"
"338530","343270"," notamment les anxiolytiques, les neuroleptiques, les antidépresseurs, les"
"343270","345130"," timorégulateurs, si nécessaire."
"347880","350400"," Au stade de démence, les mesures hygiénodétiques sont"
"350400","350960"," de mise. "
"351900","354720"," Les mesures psychosociales aussi, les thérapies de soutien"
"354720","358020"," et secondairement, les thérapies cognitives ou comportementales."
"358940","363360"," En conclusion, il faut mettre l'accent sur"
"363360","367420"," l'intérêt important du dépistage systématique de la"
"367420","370200"," neurosyphilis chez tout patient ayant des troubles du"
"370200","370780"," comportement."
"371460","372240"," Je vous remercie. "
