"start","end","text"
"2120","4700"," Bonjour, aujourd'hui on va voir les risques"
"4700","6080"," et conduites suicidaires."
"8360","9580"," A la fin de ce cours, vous devez"
"9580","12260"," être capable d'évaluer le risque suicidaire, déterminer"
"12260","14860"," le groupe à haut risque suicidaire, déterminer le"
"14860","17560"," facteur de risque suicidaire chez l'adolescent, évaluer"
"17560","20360"," l'urgence devant un suicidaire et déterminer la"
"20360","22840"," conduite à tenir devant un risque ou une"
"22840","24620"," conduite suicidaire."
"27670","31270"," En introduction, quelques messages très importants. "
"31470","34190"," Il ne faut jamais négliger une idée suicidaire."
"35030","38750"," Tenir compte toujours des idées suicidaires, même si"
"38750","40450"," c'est dans le cadre d'un chantage."
"41050","43670"," Un suicide réussi, il est toujours possible. "
"44790","46710"," Même si le sujet le fait dans un"
"46710","48890"," cadre de chantage, même s'il fait des"
"48890","51730"," menaces fréquentes, il peut toujours un jour réussir"
"51730","52390"," son suicide."
"52910","55010"," La fréquence des tentatives de suicide chez une"
"55010","57470"," même personne ne doit pas être banalisée."
"57950","59790"," Il signale une souffrance psychique. "
"59790","61790"," Ça ne veut pas dire que le sujet"
"61790","64710"," le répète plusieurs fois, il le dit plusieurs"
"64710","67030"," fois, il essaie plusieurs fois et il ne"
"67030","68210"," va pas passer à l'acte."
"68530","70990"," Donc la fréquence, il ne faut pas banaliser"
"70990","73410"," la fréquence des tentatives de suicide."
"73870","76750"," Toute tentative de suicide expose à la répétition. "
"77410","79570"," Donc si quelqu'un a fait déjà un"
"79570","83050"," antécédent de tentative de suicide, le risque de"
"83050","85010"," répéter est toujours possible."
"85710","87990"," La menace de suicide est l'ultime tentative"
"87990","88750"," de communication."
"88750","91710"," Des fois, le sujet essaie d'attirer l "
"91710","95790","'attention de l'entourage, de montrer sa souffrance"
"95790","98330"," de plusieurs façons, mais quand on ne le"
"98330","100410"," comprend pas, la seule façon qu'il lui"
"100410","102230"," reste pour communiquer, c'est la menace de"
"102230","102950"," se suicider. "
"103550","106130"," Il faut toujours faire attention aux équivalents suicidaires."
"106550","109690"," Les toxicomanies à répétition, l'alcoolisme à répétition,"
"110110","111910"," les conduites à risque répétée."
"112290","115130"," Conduire les voitures avec une grande vitesse et"
"115130","116950"," prendre ces risques dans sa vie. "
"116950","120050"," Donc en mettant en danger sa vie, ce"
"120050","121630"," sont des équivalents suicidaires."
"122350","125630"," Des contre-attitudes négatives du médecin peuvent aggraver"
"125630","128850"," la situation, voire précipiter un passage à l "
"128850","129550","'axe suicidaire."
"129970","132290"," Un médecin qui ne fait pas attention, un"
"132290","134330"," médecin qui néglige, qui ne fait pas attention"
"134330","136510"," aux idées suicidaires, qui n'écoute pas la"
"136510","139710"," souffrance de son patient, il peut précipiter le"
"139710","141110"," passage à l'axe suicidaire. "
"142800","145700"," Des définitions aussi à retenir."
"146300","150080"," On parle d'un suicide quand on veut"
"150080","154660"," dire que la mort, elle est volontaire."
"155940","158540"," Une tentative de suicide, c'est une conduite"
"158540","161140"," pour but de se donner la mort sans"
"161140","162140"," y aboutir. "
"162740","163960"," Donc c'est une tentative."
"163960","167360"," Une menace de suicide, c'est une conduite"
"167360","171620"," faisant craindre la réalisation à court terme d "
"171620","172940","'une tentative de suicide."
"173120","175940"," Le sujet menace, il peut le verbaliser. "
"176740","180120"," Crise suicidaire, c'est une crise psychique dont"
"180120","182520"," le risque majeur est le suicide."
"183220","185600"," Donc ça se manifeste par des symptômes."
"186040","188140"," Donc on le voit à travers des symptômes,"
"188580","191580"," une tension psychique qui montre que le sujet"
"191580","193220"," peut passer à l'acte. "
"196390","199070"," Un suicidé, c'est un individu qui s "
"199070","201750","'est déjà donné la mort volontairement."
"202030","205610"," Un suicidant, c'est un individu survivant à"
"205610","206930"," une tentative de suicide."
"207670","210830"," Un sujet suicidaire est un individu ayant des"
"210830","215270"," idées ou exprimant verbalement ou par son comportement"
"215270","217390"," des menaces de suicide. "
"221020","223980"," Malheureusement, on a peu de chiffres au Maroc,"
