"start","end","text"
"1480","6280"," Chers étudiants, nous allons continuer notre série de"
"6280","11680"," cours par un deuxième trouble anxieux appelé le"
"11680","13680"," trouble anxiété généralisé."
"20160","25580"," Le trouble anxiété généralisé se caractérise par un"
"25580","29740"," état de tension anxieuse qui est permanente et"
"29740","33180"," par une appréhension par des préoccupations et des"
"33180","38560"," soucis excessifs qui vont concerner différents événements ou"
"38560","40860"," situations de la vie quotidienne."
"43300","46360"," Ces soucis, cet état d'anxiété va se"
"46360","49080"," prolonger sur une durée de deux à six"
"49080","49800"," mois et plus. "
"51420","53440"," Il s'agit d'une pathologie qui peut"
"53440","57360"," être très gênante et qui altère le fonctionnement"
"57360","63180"," habituel du sujet et peut être très handicapante"
"63180","65960"," en termes de qualité de vie."
"67640","69700"," Il s'agit d'un motif fréquent de"
"69700","74860"," consultation en médecine générale, souvent pour des symptômes"
"74860","80500"," d'ordre physique, ce qui fait que c "
"80500","85000","'est une pathologie aussi qui consomme énormément le"
"85000","89220"," système du soin du fait de la multiplication"
"89220","92780"," des consultations auprès des médecins avant de pouvoir"
"92780","95800"," poser le diagnostic de trouble anxiété généralisé."
"96540","99480"," L'évolution du trouble se fait sur plusieurs"
"99480","101980"," années et c'est un trouble dont les"
"101980","106600"," comorbidités sont très importantes, notamment en termes de"
"106600","107200"," dépression. "
"111560","116500"," Sur le plan épidémiologique, c'est un trouble"
"116500","120040"," comme pour la plupart des troubles anxieux touchent"
"120040","124620"," plus les femmes que les hommes, 6%"
"124620","127039"," des femmes et 3% des femmes en"
"127039","128280"," population générale."
"129300","133580"," L'enquête réalisée au Maroc en 2003 trouve"
"133580","135980"," un taux de prévalence de 9,3%."
"136700","141180"," L'âge de début est plus retardé par"
"141180","142360"," rapport au trouble panique. "
"143360","147480"," C'est surtout une pathologie de l'adulte,"
"147480","150060"," avec un pic vers l'âge de 35"
"150060","151580"," ans pour les femmes et vers l'âge"
"151580","152840"," de 45 ans pour les hommes."
"153540","155580"," Elle est considérée comme le trouble anxieux le"
"155580","157260"," plus fréquent chez les sujets âgés."
"160500","163420"," Les comorbidités sont fréquentes, comme on vient de"
"163420","167120"," citer, notamment avec la dépression, et certains facteurs"
"167120","170240"," sont considérés comme des facteurs de risque, notamment"
"170240","173520"," les situations de silipas, de veuvage et le"
"173520","174900"," chômage ou les séparations. "
"179680","184300"," Sur le plan clinique, le trouble anxiété généralisée"
"184300","187460"," est caractérisé par une anxiété et par des"
"187460","188500"," soucis excessifs."
"189680","192460"," Ce sont les deux principales composantes de la"
"192460","194900"," clinique du trouble anxiété généralisée, donc un fond"
"194900","198640"," d'anxiété et des soucis et des préoccupations"
"198640","199880"," qui sont excessifs."
"200620","202180"," D'abord, ces soucis. "
"203400","206280"," Les soucis du trouble anxiété généralisée sont proches"
"206280","209800"," ou sont identiques aux préoccupations que chacun de"
"209800","213320"," nous ou des inquiétudes que tout le monde"
"213320","217060"," peut avoir dans sa vie quotidienne."
"218020","223920"," Il se distingue des soucis considérés comme étant"
"223920","226300"," normaux par leur permanence."
"226520","229840"," Ils sont présents pratiquement toute la journée et"
"229840","233680"," pratiquement tous les jours pendant une durée très"
"233680","234180"," prolongée. "
"235000","236680"," C'est la durée de six mois qui"
"236680","240120"," est retenue pour poser le diagnostic du trouble"
"240120","241120"," anxiété généralisée."
"241120","243820"," Et c'est aussi des soucis qui sont"
"243820","247920"," incontrôlables, que le sujet n'arrive pas à"
"247920","249020"," contrôler."
"249220","252020"," Donc, ils vont envahir son esprit et ils"
"252020","256060"," vont tourner en sorte de monologue interne sans"
"256060","256440"," fin. "
"258380","260980"," Ce sont des soucis que la personne n "
"260980","263480","'arrive pas à gérer ou à stopper."
"265500","270700"," Ces soucis, ils sont maintenus et entretenus ou"
"270700","275180"," renforcés par une certaine intolérance à l'incertitude"
"275180","280220"," qui est présente chez ces patients présentant un"
"280220","281740"," trouble anxiété généralisée."
"286140","289600"," Donc, les soucis sont considérés pour des soucis"
