"start","end","text"
"5510","6750"," Chers étudiants, bonjour."
"7690","9370"," Je suis ravi de vous retrouver pour ce"
"9370","11510"," deuxième cours qui s'intitule les thymorégulateurs."
"14050","16670"," Un certain nombre d'objectifs pédagogiques ont été"
"16670","20370"," fixés, et au terme de cette question, un"
"20370","22830"," étudiant en 5e année de médecine sera en"
"22830","25970"," mesure de définir un thymorégulateur, de connaître les"
"25970","29770"," mécanismes d'action des thymorégulateurs, cerner leurs indications,"
"30550","33790"," leurs contre-indications, ainsi que leurs effets secondaires. "
"34540","37550"," Il sera aussi capable de maîtriser les modalités"
"37550","38190"," de prescription."
"45660","49180"," Pour cela, j'ai établi ce plan qui"
"49180","51680"," est pratiquement identique à celui du cours sur"
"51680","52660"," les antidépresseurs."
"53460","57640"," Je vais définir les thymorégulateurs, décrire certains enjeux"
"57640","60780"," pertinents de cette question, passer en revue les"
"60780","64519"," différents mécanismes d'action des thymorégulateurs, pour s "
"64519","67080","'intéresser dans le troisième chapitre aux classifications des"
"67080","72520"," thymorégulateurs, parler des indications, des contre-indications, ainsi"
"72520","74880"," que des effets secondaires, et s'attarder sur"
"74880","77060"," les modalités de prescription des thymorégulateurs. "
"80280","83500"," Un normothymique ou un thymorégulateur est un agent"
"83500","86900"," psychotrope, un médicament qui est capable de traiter"
"86900","91580"," et prévenir les symptômes maniaques et dépressifs dans"
"91580","92480"," les troubles bipolaires."
"93940","95820"," C'est un médicament qui est destiné à"
"95820","98640"," réguler l'humeur et à maintenir le thymie."
"99420","102920"," Trois classes importantes sont à envisager durant ce"
"102920","106720"," cours, les selles de lithium, les anticonvulsivants, ainsi"
"106720","108160"," que les antipsychotiques atypiques. "
"111400","115060"," Cette question est importante étant que vous le"
"115060","117320"," savez, le trouble bipolaire est un trouble typique"
"117320","119160"," 1 à 2% de la population générale."
"120020","122480"," C'est un trouble invasif qui a des"
"122480","126700"," comorbidités importantes, notamment les psychiques, les addictions et"
"126700","127479"," les troubles mentaux."
"129060","131160"," Il altère considérablement la qualité de vie des"
"131160","135140"," personnes avec des symptômes résiduels, des troubles cognitifs"
"135140","138200"," majeurs, ainsi que des manifestations traumatiques, notamment"
"138200","139140"," cardiovasculaires. "
"141240","143200"," Si l'indication et le choix du traitement"
"143200","147740"," sont efficaces, le suivi et l'éducation du"
"147740","149580"," patient impliquent tous les pratiques."
"157000","159600"," Pour le deuxième chapitre des mécanismes d'action"
"159600","162520"," des neuromusculaires, il faut savoir que les modalités"
"162520","165980"," d'action des thymies régulateurs sont des systèmes"
"165980","168880"," nerveux qui sont analoges et chirurgiques."
"169940","171620"," Ils agissent à plusieurs niveaux de la transmission"
"171620","174200"," nerveuse, soit par un effet direct sur les"
"174200","178580"," neurotransmetteurs, soit en stabilisant les membranes, soit en"
"178580","181160"," inhibant le système de transduction, ou par un"
"181160","182340"," effet anti-kindly. "
"182880","186100"," En cinquième point, on s'intéressera à l "
"186100","188140","'effet de ces médicaments sur certains organes."
"189060","191500"," Chacun de ces mécanismes repose sur une action"
"191500","193340"," directe ou indirecte."
"203560","209140"," Au niveau des neurotransmetteurs centraux, les thymies régulateurs"
"209140","211980"," augmentent par exemple le catabolisme de la sérotonine,"
"212700","213840"," ce qui peut être à l'origine d "
"213840","216700","'une action anti-agressive, anti-dépressive et anti "
"216700","217120","-suicide. "
"217120","221520"," Au niveau dopamine, ils ont une action et"
"221520","225500"," une activité antagonistes dopaminergiques, ce qui peut être"
"225500","227740"," à l'origine d'une action anti-maniaque."
"229340","235060"," Le lithium diminue la libération des catécholamines, il"
"235060","238640"," accélère leur dégradation pré-synaptique en augmentant leur"
"238640","239200"," captation."
"240080","242800"," Il diminue la sensibilité des récepteurs post-synaptiques,"
"242800","247300"," ce qui explique un effet hypotenseur, une somnolence"
"247300","249180"," et des troubles de l'attention induits par"
"249180","249520"," le lithium. "
"251900","254740"," Les thymies régulateurs facilitent aussi le système GABA,"
"255240","257720"," ce qui peut entraîner un effet anxiolytique."
"263330","267450"," Cette diapo résume que le lithium facilite la"
"267450","272350"," neurotransmission sérotoninergique, il a une action antagoniste dopaminergique,"
"272350","275270"," facilite comme les autres l'activité du système"
"275270","278290"," GABA et diminue la libération des catécholamines."
"284280","287780"," L'effet stabilisateur de membrane passe par la"
"287780","292040"," modification des canaux sodiques voltage dépendant, avec une"
"292040","295680"," activation de la pompe sodium-potassium et un"
"295680","298900"," blocage des canaux calciques et potassiques, avec modification"
"298900","300820"," de leur taux périmembrané. "
"307190","311670"," Les thymies régulateurs modulent les systèmes de transduction,"
"312330","314390"," avec un effet sur les systèmes de second"
"314390","319810"," messager, l'impeciclique et l'inositol, et créent"
"319810","321750"," une croissance neurétique."
"329290","331930"," Pour le quatrième mécanisme, il s'agit du"
"331930","335170"," kindling, ce qui est appelé aussi l'embrasement"
"335170","335770"," cellulaire."
"336630","337590"," C'est ce qui est à l'origine"
"337590","339770"," du modèle et du concept d'épileptogènes. "
"339770","344090"," L'administration répétée et intermittente d'un stimulus"
"344090","348510"," inférieur au seul épileptogène, dans l'épilepsie, va"
"348510","351970"," induire une crise épileptique généralisée, et la génération"
"351970","355170"," de plusieurs crises induit la génération de crises"
"355170","356950"," spontanées sans le moindre stimulus."
"357790","358590"," C'est ce qui se passe dans le"
"358590","359270"," trouble bipolaire."
"360070","364050"," Les épisodes thymiques répétés créent une vulnérabilité biologique,"
"364590","366530"," ce qui facilite les récidives. "
"368070","371770"," Les antiépileptiques préviendraient le kindling au niveau du"
"371770","372430"," lombe limbique."
